Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/29/1989,1472.722046,92.268997,92.268997,0.0,509.441986,,,349.414001,,,,,109.941002,,,,1061.06604,310.380005,,,0.0,,101.276001,,,,,101.276001,411.656006,,175.235992,175.235992,,179.156006,,,,,170.394012,,,170.394012,524.786011,267.122009,,,,,,,,267.122009,791.90802,0.0,,,,0.0,,680.814026,680.814026,0.0,680.814026,1472.722046,
12/29/1989,1460.682007,57.681,57.681,0.0,510.602997,,,310.066986,,,,,113.684998,,,,992.036011,349.937012,,,0.0,,118.709,,,,,118.709,468.646011,,136.983994,136.983994,,15.696,,,,,172.562011,,,172.562011,325.242004,430.140991,,,,,,,,430.140991,755.382996,0.0,,,,0.0,,705.299011,705.299011,0.0,705.299011,1460.682007,
03/30/1990,1568.797974,222.746002,222.746002,0.0,488.351013,,,258.276001,,,,,133.826996,,,,1103.199951,340.973999,,,0.0,,124.624001,,,,,124.624001,465.598,,92.268997,92.268997,,13.787,,,,,238.93201,,,238.93201,344.988007,459.467987,,,,,,,,459.467987,804.455994,0.0,,,,0.0,,764.34198,764.34198,0.0,764.34198,1568.797974,
06/30/1990,1778.57605,393.562988,393.562988,0.0,523.315979,,,204.832993,,,,,175.656006,,,,1297.368042,424.651001,723.466003,-298.815002,0.0,,56.556999,,,,,56.556999,481.208,,165.686996,165.686996,,27.207001,,,,,300.008011,,,300.008011,492.902008,358.907013,,,,0.0,,,0.0,358.907013,851.809021,0.0,629.098022,,,0.0,,297.669006,926.767028,0.0,926.767028,1778.576049,
09/28/1990,2093.298096,495.10199,495.10199,0.0,598.460999,,,225.904007,,,,,198.072998,,,,1517.540039,363.813995,,,0.0,,211.944,,,,,211.944,575.757996,,161.945007,161.945007,,30.163,,,,,331.129969,,,331.129969,523.237976,401.0,,,,,,,,401.0,924.237976,0.0,,,,0.0,,1168.332031,1168.332031,0.0,1168.332031,2092.570007,
12/28/1990,2180.444092,570.231018,570.231018,0.0,598.497986,,,237.031998,,,,,207.563995,,,,1613.324951,366.919006,,,0.0,,200.199997,,,,,200.199997,567.119003,,158.604004,158.604004,,43.967999,,,,,349.084003,,,349.084003,551.656006,416.540009,,,,,,,,416.540009,968.196014,0.0,,,,0.0,,1212.248047,1212.248047,0.0,1212.248047,2180.444061,
03/29/1991,2364.337891,696.031982,696.031982,0.0,657.22998,,,242.957993,,,,,222.384003,,,,1818.604004,352.501007,,,0.0,,193.233002,,,,,193.233002,545.734009,,184.895996,184.895996,,43.925999,,,,,404.355007,,,404.355007,633.177002,416.343994,,,,,,,,416.343994,1049.520996,0.0,,,,,,1314.817017,1314.817017,0.0,1314.817017,2364.338013,
06/30/1991,2326.334961,834.348,773.197998,61.150002,514.455017,,,223.916,,,,,228.278,,,,1800.996948,407.425995,820.815002,-413.389008,0.0,,117.912003,,,,,117.912003,525.337998,,211.703995,211.703995,,79.927002,,,,,420.981003,,,420.981003,712.612,351.434998,,,,49.737,,,49.737,401.171998,1113.783998,0.0,905.033997,,,-180.449005,,487.966003,1212.550995,0.0,1212.550995,2326.334993,
09/27/1991,2317.575928,728.596024,637.840027,90.755997,506.363007,,,325.681,,,,,232.121002,,,,1792.760986,345.080994,726.526001,-381.445007,0.0,,179.733994,,,,,179.733994,524.814987,,199.908997,199.908997,,114.762001,,,,,386.126976,,,386.126976,700.797974,344.869995,,,,,,,,344.869995,1045.667969,0.0,,,,,,1271.907959,1271.907959,0.0,1271.907959,2317.575928,
12/27/1991,2341.093018,766.271019,678.132019,88.139,535.853027,,,262.968994,,,,,245.363998,,,,1810.457031,347.352997,761.036987,-413.68399,0.0,,183.283005,,,,,183.283005,530.636002,,142.192001,142.192001,,71.313004,,,,,456.63501,,,456.63501,670.140015,344.795013,,,,,,,,344.795013,1014.935028,0.0,,,,,,1326.157959,1326.157959,0.0,1326.157959,2341.092987,
03/27/1992,2466.351074,927.93103,785.090027,142.841003,532.182007,,,233.328995,,,,,245.684998,,,,1939.126953,349.524994,781.041992,-431.516998,0.0,,177.699005,,,,,177.699005,527.223999,,154.815994,154.815994,,77.754997,,,,,454.619011,,,454.619011,687.190002,345.891998,,,,,,,,345.891998,1033.082001,0.0,,,,,,1433.178955,1433.178955,0.0,1433.178955,2466.260956,
