Date,Level 2 Assets,Total FV Assets,Level 2 Liabilities,Level 3 Liabilities,Total FV Liabilities,Level 2 Assets/Total Equity,Total FV Assets/Total Equity,Level 2 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
03/31/2008,1.931,1.931,64.917,,64.917,0.025106,0.025106,0.013332,0.013332,
06/30/2008,,,93.858,,93.858,,,,,
09/30/2008,,,64.81,,64.81,,,,,
12/31/2008,1.455,1.455,2.233,,2.233,0.365896,0.365896,0.185786,0.185786,
03/31/2009,39.898,39.898,20.189,,20.189,0.469623,0.469623,0.235454,0.235454,
06/30/2009,54.11,54.11,42.147,,42.147,0.612616,0.612616,0.311592,0.311592,
09/30/2009,39.403,39.403,,56.468,56.468,0.405523,0.405523,0.210877,0.210877,
12/31/2009,,,,,,0.432511,0.432511,0.218338,0.218338,
03/31/2010,,,,70.573,70.573,,,,,
06/30/2010,,,,152.326,152.326,,,,,
09/30/2010,,,,62.315,62.315,,,,,
09/30/2011,7392.647,,,,,74.69906,,35.769818,,
06/30/2012,8312.0,8312.0,,,,96.527697,96.527697,38.298853,38.298853,
09/30/2012,8342.0,,,,,93.57263,,36.618234,,
06/30/2013,7619.0,7619.0,,,,90.283209,90.283209,33.664723,33.664723,
06/30/2014,8083.0,8083.0,,,,100.409938,100.409938,37.055884,37.055884,
06/30/2015,6642.0,6642.0,,,,106.323035,106.323035,37.665873,37.665873,
09/30/2015,,,5675.0,,5675.0,,,,,
12/31/2015,5095.0,5095.0,,,,116.72394,116.72394,34.51897,34.51897,
12/31/2016,,,,,,325.870406,325.870406,53.213834,53.213834,
03/31/2017,7390.0,7390.0,,,,437.019515,437.019515,60.763032,60.763032,
06/30/2017,7018.0,7018.0,,,,460.498688,460.498688,58.230999,58.230999,
09/30/2017,7231.0,7231.0,,,,522.471098,522.471098,60.193124,60.193124,
12/31/2017,7060.0,7060.0,,,,-1236.42732,-1236.42732,72.432543,72.432543,
03/31/2018,6376.0,6376.0,,,,-710.022272,-710.022272,68.309406,68.309406,
06/30/2018,6951.0,6951.0,,,,-529.801829,-529.801829,77.413966,77.413966,
09/30/2018,6710.0,6710.0,,,,-444.960212,-444.960212,75.922154,75.922154,
12/31/2018,4455.0,4455.0,,,,-121.522095,-121.522095,67.489774,67.489774,
03/31/2019,5310.0,5310.0,,,,-129.322942,-129.322942,81.454211,81.454211,
06/30/2019,3855.0,3855.0,,,,-87.833219,-87.833219,60.413728,60.413728,
09/30/2019,2617.0,2617.0,,,,-50.095712,-50.095712,41.382037,41.382037,
12/31/2019,2252.0,2252.0,,,,77.229081,77.229081,30.878925,30.878925,
03/31/2020,1260.0,1260.0,,,,67.63285,67.63285,20.437956,20.437956,
06/30/2020,,,,,,111.954023,111.954023,27.010538,27.010538,
