Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2004,19.018,,,0.0,19.018,,-16.164,,,,,,2.854,0.154,-0.154,0.0,-0.154,,0.0,0.0,3.008,-0.092,,,2.916,0.0,,,2.916,0.0,2.916,-2.848,0.0,0.068,0.068,,3.295931,0.02,0.02,0.02,3.295931,0.02,0.02,0.02,
06/30/2004,18.118,,,0.0,18.118,,-13.976,,,,,,4.142,0.116,-0.116,0.0,-0.116,,0.0,0.0,4.258,38.794,,,43.052,0.0,,,43.052,0.0,43.052,-2.848,0.0,40.204,40.204,,3.300453,12.18,12.18,12.18,29.981009,1.44,1.44,1.44,
09/30/2004,18.547,,,0.0,18.547,,-13.797,,,,,,4.75,0.171,-0.171,0.0,-0.171,,0.0,0.0,4.921,4.163,,,9.084,0.0,,,9.084,0.0,9.084,-2.879,0.0,6.205,6.205,,3.316386,1.87,1.87,1.87,29.921357,0.3,0.3,0.3,
12/31/2004,19.232,,,0.0,19.232,,-14.544,,,,,,4.688,0.441,-0.441,0.0,-0.441,,0.0,0.0,5.129,-2.594,,,2.535,0.0,,,2.535,0.0,2.535,-1.064,0.0,1.471,1.471,,18.478,0.08,0.08,0.08,32.791,0.04,0.04,0.04,
03/31/2005,20.708,,,,,0.0,-15.935,1.997,0.693,,,13.938,4.773,0.6,,,-0.6,,,0.0,5.373,-2.316,,,3.057,,,,3.057,,3.057,,0.0,3.057,3.057,,27.427508,0.11,0.11,0.11,35.482963,0.09,0.09,0.09,
06/30/2005,18.505,,,0.0,18.505,,-16.467,1.812,0.589,,,14.655,2.038,0.777,-0.777,0.0,-0.777,,0.0,0.0,2.815,-0.991,,,1.824,0.0,,,1.824,0.0,1.824,0.0,0.0,1.824,1.824,,27.727594,0.07,0.07,0.07,35.424799,0.05,0.05,0.05,
09/30/2005,18.26,,,,,0.0,-17.347,2.417,0.503,,,14.93,0.913,0.828,,,-0.828,,,0.0,1.741,-0.57,,,1.171,,,,1.171,,1.171,,0.0,1.171,1.171,,28.316845,0.04,0.04,0.04,35.508128,0.03,0.03,0.03,
12/31/2005,17.927,,,0.0,17.927,,-17.25,,,,,,0.677,0.955,-0.955,0.0,-0.955,,0.0,0.0,1.632,0.458,,,2.09,0.0,,,2.09,0.0,2.09,0.0,0.0,2.09,2.09,,29.154,0.07,0.07,0.07,35.633,0.06,0.06,0.06,
03/31/2006,19.378,,,,,0.0,-18.941,2.37,0.378,,,16.571,0.437,0.962,0.0,0.0,0.0,,0.0,-0.962,1.399,-0.313,,,1.086,0.0,,,1.086,0.0,1.086,0.0,0.0,1.086,1.086,,29.814296,0.04,0.04,0.04,35.67298,0.03,0.03,0.03,
06/30/2006,19.038,,,0.0,19.038,,-18.736,2.322,0.477,,,16.414,0.302,1.084,,0.0,,,0.0,-1.084,1.386,-0.586,,,0.8,0.0,,,0.8,0.0,0.8,0.0,0.0,0.8,0.8,,29.837704,0.03,0.03,0.03,34.944312,0.02,0.02,0.02,
09/30/2006,19.508,,,,,0.0,-18.544,2.519,0.338,,,16.025,0.964,1.266,0.0,0.0,0.0,,0.0,-1.266,2.23,-0.933,,,1.297,0.0,,,1.297,0.0,1.297,0.0,0.0,1.297,1.297,,31.319771,0.04,0.04,0.04,34.792783,0.04,0.04,0.04,
12/31/2006,20.797,,,,,0.0,-18.491,2.919,0.576,,,15.572,2.306,1.283,,0.0,,,0.0,-1.283,3.589,-1.351,,,2.238,0.0,,,2.238,0.0,2.238,0.0,0.0,2.238,2.238,,31.43,0.07,0.07,0.07,35.225,0.06,0.06,0.06,
03/31/2007,22.543,,,,,0.0,-19.296,1.534,0.353,,,17.762,3.247,1.222,,,,,0.0,-1.222,4.469,-2.019,,,2.45,0.0,,,2.45,0.0,2.45,0.0,0.0,2.45,2.45,,30.813478,0.08,0.08,0.08,34.526548,0.07,0.07,0.07,
06/30/2007,24.046,,,,,0.0,-19.265,1.85,0.53,,,17.415,4.781,1.258,,,,,0.0,-1.258,6.039,-2.487,,,3.552,0.0,,,3.552,0.0,3.552,0.0,0.0,3.552,3.552,,32.927868,0.11,0.11,0.11,34.631142,0.1,0.1,0.1,
09/30/2007,20.866,,,,,0.0,-18.555,1.962,0.481,,,16.593,2.311,1.332,,,,,0.0,-1.332,3.643,-1.233,,,2.41,0.0,,,2.41,0.0,2.41,0.0,0.0,2.41,2.41,,32.828978,0.07,0.07,0.07,34.575086,0.07,0.07,0.07,
12/31/2007,20.946,,,,,0.0,-19.276,2.448,0.541,,,16.828,1.67,1.43,,,,,0.0,-1.43,3.1,-1.192,,,1.908,0.0,,,1.908,0.0,1.908,0.0,0.0,1.908,1.908,,32.601,0.06,0.06,0.06,34.074,0.06,0.06,0.06,
03/31/2008,21.948,,,,,0.0,-19.975,2.151,0.583,,,17.824,1.973,0.991,,,,,0.0,-0.991,2.964,-1.368,,,1.596,0.0,,,1.596,0.0,1.596,0.0,0.0,1.596,1.596,,32.413129,0.05,0.05,0.05,33.394866,0.05,0.05,0.05,
06/30/2008,24.876,,,,,0.0,-20.878,2.178,0.683,,,18.7,3.998,0.761,,,,,0.0,-0.761,4.759,-1.911,,,2.848,0.0,,,2.848,0.0,2.848,0.0,0.0,2.848,2.848,,32.931838,0.08,0.08,0.08,34.758643,0.08,0.08,0.08,
09/30/2008,21.718,,,,,0.0,-20.583,2.427,0.646,,,18.156,1.135,0.963,,,,,0.0,-0.963,2.098,-0.579,,,1.519,0.0,,,1.519,0.0,1.519,0.0,0.0,1.519,1.519,,32.952012,0.04,0.04,0.07,37.438054,0.04,0.04,0.06,
12/31/2008,21.065,,,,,0.0,-18.816,2.433,0.869,,,16.383,2.249,0.763,,,,,0.0,-0.763,3.012,-1.076,,,1.936,0.0,,,1.936,0.0,1.936,0.0,0.0,1.936,1.936,,33.027,0.05,0.05,0.05,37.373,0.05,0.05,0.05,
03/31/2009,24.3,24.124,0.176,,,0.0,-19.901,1.871,0.645,1.226,1.791,16.239,4.399,0.332,,,,-0.332,,0.0,4.731,-1.892,0.068,1.824,2.839,0.0,0.0,0.0,2.839,0.0,2.839,,0.0,2.839,2.839,0.0,33.183476,0.08,0.08,0.08,37.516962,0.08,0.08,0.08,
06/30/2009,25.605,25.43,0.175,,,0.0,-20.103,2.081,0.708,1.373,1.679,16.343,5.502,0.234,,,,-0.234,,0.0,5.736,-2.549,0.572,1.977,3.187,0.0,0.0,0.0,3.187,0.0,3.187,,0.0,3.187,3.187,0.0,33.255901,0.09,0.09,0.09,37.853809,0.08,0.08,0.08,
09/30/2009,29.695,29.409,0.286,,,0.0,-21.466,2.305,0.651,1.654,1.654,17.507,8.229,0.314,,,,-0.314,,0.0,8.543,-3.903,0.772,3.131,4.64,0.0,0.0,0.0,4.64,0.0,4.64,,0.0,4.64,4.64,0.0,33.287464,0.13,0.13,0.13,38.196823,0.12,0.12,0.12,
12/31/2009,33.617,33.199,0.418,,,0.0,-22.92,2.635,0.878,1.757,1.666,18.619,10.697,0.342,,,,-0.342,,0.0,11.039,-5.603,0.359,5.244,5.436,0.0,0.0,0.0,5.436,0.0,5.436,,0.0,5.436,5.436,0.0,33.328,0.15,0.15,0.15,38.76,0.14,0.14,0.14,
03/31/2010,34.593,34.105,0.488,,,0.0,-23.799,2.757,0.628,2.129,1.616,19.426,10.794,0.291,,,,-0.291,,0.0,11.085,-4.384,0.653,3.731,6.701,0.0,0.0,0.0,6.701,0.0,6.701,-0.632,0.0,6.069,6.459,0.39,33.625512,0.18,0.18,0.192086,39.305474,0.17,0.17,0.179922,
06/30/2010,35.011,34.433,0.578,,,0.0,-23.47,2.609,0.759,1.85,1.622,19.239,11.541,0.315,,,,-0.315,,0.0,11.856,-4.687,0.731,3.956,7.169,0.0,0.0,0.0,7.169,0.0,7.169,,0.0,7.169,7.169,0.0,33.732905,0.19,0.19,0.19,39.513609,0.18,0.18,0.18,
09/30/2010,37.112,36.21,0.902,,,0.0,-23.889,2.513,0.679,1.834,1.56,19.816,13.223,0.301,,,,-0.301,,0.0,13.524,-4.913,0.682,4.231,8.611,0.0,0.0,0.0,8.611,0.0,8.611,,0.0,8.611,8.351,-0.26,32.944706,0.24,0.24,0.253485,38.74359,0.22,0.22,0.213289,
12/31/2010,38.32,37.761,0.559,,,0.0,-24.16,3.161,1.009,2.152,1.552,19.447,14.16,0.285,,,,-0.285,,0.0,14.445,-5.498,-0.363,5.861,8.947,0.0,0.0,0.0,8.947,0.0,8.947,-0.863,0.0,8.084,8.084,0.0,32.334,0.25,0.25,0.25,38.642,0.23,0.23,0.23,
03/31/2011,43.31,42.582,0.728,,,0.0,-25.943,1.975,0.974,1.001,1.562,22.406,17.367,0.299,,,,-0.299,,0.0,17.666,-6.886,0.04,6.846,10.78,0.0,0.0,0.0,10.78,0.0,10.78,,0.0,10.78,10.325,-0.455,36.507,0.3,0.3,0.282822,39.301,0.27,0.27,0.258423,
06/30/2011,45.481,44.779,0.702,,,0.0,-25.886,3.058,1.248,1.81,1.627,21.201,19.595,0.31,,,,-0.31,,0.0,19.905,-7.968,2.387,5.581,11.937,0.0,0.0,0.0,11.937,0.0,11.937,0.0,0.0,11.937,11.937,0.0,36.762,0.32,0.32,0.32,39.49,0.3,0.3,0.3,
09/30/2011,46.261,45.432,0.829,,,0.0,-24.268,3.022,1.28,1.742,1.799,19.447,21.993,0.303,,,,-0.303,,0.0,22.296,-8.852,1.615,7.237,13.444,0.0,0.0,0.0,13.444,0.0,13.444,0.0,0.0,13.444,13.444,0.0,37.126,0.36,0.36,0.36,39.828,0.34,0.34,0.34,
12/31/2011,44.818,44.16,0.658,,,0.0,-26.269,4.773,1.38,3.393,1.793,19.703,18.549,0.317,,,,-0.317,,0.0,18.866,-7.323,3.55,3.773,11.543,0.0,0.0,0.0,11.543,0.0,11.543,0.0,0.0,11.543,12.14428,0.60128,37.629,0.31,0.31,0.322737,39.814,0.29,0.29,0.305102,
03/31/2012,50.432,49.681,0.751,,,0.0,-27.987,3.554,1.447,2.107,1.854,22.579,22.445,0.303,,,,-0.303,,0.0,22.748,-9.255,4.645,4.61,13.493,0.0,0.0,0.0,13.493,0.0,13.493,0.0,0.0,13.493,13.493,0.0,36.934,0.37,0.37,0.37,38.695,0.35,0.35,0.35,
06/30/2012,48.557,47.7,0.857,,,0.0,-27.625,3.75,1.732,2.018,1.961,21.914,20.932,0.268,,,,-0.268,,0.0,21.2,-8.571,-2.883,11.454,12.629,0.0,0.0,0.0,12.629,0.0,12.629,0.0,0.0,12.629,12.629,0.0,36.128,0.35,0.35,0.35,37.44,0.34,0.34,0.34,
09/30/2012,48.006,47.254,0.752,,,0.0,-27.048,3.135,1.067,2.068,2.081,21.832,20.958,0.251,,,,-0.251,,0.0,21.209,-7.727,8.442,-0.715,13.482,0.0,0.0,0.0,13.482,0.0,13.482,0.0,0.0,13.482,13.807,0.325,36.5,0.37,0.37,0.378274,37.541,0.36,0.36,0.368657,
12/31/2012,50.151,49.35,0.801,,,0.0,-28.858,3.626,1.224,2.402,2.337,22.895,21.293,0.236,,,,-0.236,,0.0,21.529,-1.064,6.23,-5.166,20.465,0.0,0.0,0.0,20.465,0.0,20.465,0.0,0.0,20.465,20.855,0.39,36.501,0.56,0.56,0.571354,37.589,0.54,0.54,0.550375,
03/31/2013,53.651,52.122,1.529,,,0.0,-28.98,3.432,0.935,2.497,2.286,23.262,24.671,0.0,,,,0.0,,0.0,24.671,-9.126,5.202,3.924,15.545,0.219,0.219,0.0,15.326,0.0,15.326,0.0,0.0,15.326,15.935,0.39,36.774,0.42,0.42,0.433322,37.673,0.41,0.41,0.420352,
06/30/2013,63.463,62.875,0.588,,,0.0,-32.085,3.318,1.371,1.947,4.405,24.362,31.378,0.044,,,,-0.044,,0.0,31.422,-12.133,11.244,0.889,19.289,-0.054,-0.054,0.0,19.343,0.0,19.343,0.0,0.0,19.343,18.769,-0.52,36.868,0.52,0.52,0.509086,37.819,0.51,0.51,0.49625,
09/30/2013,61.021,60.504,0.517,,,0.0,-34.745,3.121,1.195,1.926,3.46,28.164,26.276,0.112,,,,-0.112,,0.0,26.388,-8.129,8.877,-0.748,18.259,0.046,0.046,0.0,18.213,0.0,18.213,0.0,0.0,18.213,18.259,0.0,36.919,0.49,0.49,0.49,37.965,0.48,0.48,0.48,
12/31/2013,60.31,59.859,0.451,,,0.0,-35.643,3.623,1.131,2.492,3.972,28.048,24.667,0.132,,,,-0.132,,0.0,24.799,-9.329,7.72,1.609,15.47,-7.663,-7.663,0.0,23.133,0.0,23.133,0.0,0.0,23.133,15.47,0.0,36.982,0.63,0.42,0.42,38.093,0.61,0.41,0.41,
03/31/2014,63.252,62.104,1.148,,,0.0,-35.69,3.407,1.209,2.198,4.121,28.162,27.562,0.146,,,,-0.146,,0.0,27.708,-10.233,5.913,4.32,17.475,0.0,0.0,0.0,17.475,0.0,17.475,0.0,0.0,17.475,17.475,0.0,37.121,0.47,0.47,0.47,38.096,0.46,0.46,0.46,
