Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2005,2979.98291,,,,,,,,,,,,,,,,,,,,,,,,,,76.040039,,,76.040039,76.040039,,920.110337,0.081963,0.081963,,,,,,
06/30/2005,3708.485986,,,,,,,,,,,,,,,,,,,,,,,,,,406.599108,,,406.599108,406.599108,,949.983907,0.424971,0.424971,,,,,,
12/31/2005,3856.095388,,,,,,,,,,,,,,,,,,,,,,,,,,196.133088,,,196.133088,196.133088,,969.89962,0.208078,0.208078,,,,,,
03/31/2006,3360.380762,,-1416.100307,,1944.280455,,-1245.253881,,,,,699.026575,-206.940742,,,,206.940742,492.085833,-92.642076,,399.443757,0.0,,,399.443757,-199.721878,199.721878,0.0,,199.721878,199.721878,,969.899628,0.203087,0.203087,0.203087,,,,,
06/30/2006,4256.425542,,-1731.256738,,2525.168804,,-1519.882369,1560.144154,1224.209888,335.934265,-40.261785,1005.286435,-120.785354,,,,120.785354,884.501081,-179.91985,,704.581231,0.0,,,704.581231,-208.858008,495.723223,0.0,0.0,495.723223,495.723223,-3.322101,969.89962,0.511279,0.511279,0.507683,969.89962,0.511279,0.511279,0.507683,
09/30/2006,4514.040051,,-1814.791935,,2699.248116,,-1471.969582,1517.849153,1187.771126,330.078027,-45.879571,1227.278535,-214.104666,,,,214.104666,1013.173868,-207.732504,,805.441364,,,,805.441364,-194.988178,610.453186,0.0,0.0,610.453186,610.453186,40.38014,973.159351,0.629427,0.629427,0.668784,973.159351,0.629427,0.629427,0.668784,
12/31/2006,4630.369021,,-1934.694577,,2695.674444,,-1542.596476,1585.159757,1193.061656,392.098101,-42.563281,1153.077968,-185.730679,,,,185.730679,967.347288,-192.179661,,775.167627,0.0,,,775.167627,-296.653168,478.514459,0.0,0.0,478.514459,478.514459,8.513946,977.747031,0.488647,0.488647,0.498113,977.747031,0.488647,0.488647,0.498113,
03/31/2007,3051.0,,-1273.0,,1778.0,,-1072.0,1106.0,878.0,,-34.0,708.0,-142.0,,136.0,0.0,6.0,566.0,-101.0,,465.0,,,,465.0,-185.0,280.0,,,280.0,280.0,,978.925901,0.287581,0.287581,0.287581,978.925901,0.287581,0.287581,0.287581,
06/30/2007,5015.748683,,-2072.367131,,2943.381552,,-1643.601517,1746.073802,1395.510722,350.56308,-102.472285,1299.780035,-176.62986,,,,176.62986,1123.150176,-223.821043,,899.329132,0.0,,,899.329132,-226.517682,672.81145,0.0,0.0,672.81145,672.81145,-25.810746,978.925901,0.686993,0.686993,0.660929,978.925901,0.686993,0.686993,0.660929,
09/30/2007,5193.267571,,,,,,,,,,,,,,,,,,,,,,,,,-268.048485,713.421352,,,713.421352,713.421352,,976.667333,0.730465,0.730465,,,,,,
