Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net",Inventories,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/1989,1965.974976,52.609001,52.609001,0.0,566.718018,,458.385986,,,11.827,,,,,1089.540039,566.937988,,,0.0,,309.497009,,,,,309.497009,876.434998,,454.725006,454.725006,,,,8.8,,,,,,134.60097,,,,134.60097,598.125977,649.335022,,,,,41.773998,,,,,41.773998,691.10902,1289.234997,0.0,119.125999,,,0.0,,557.614014,676.740013,0.0,676.740013,1965.97501,
12/30/1989,2008.150024,50.736,50.736,0.0,566.075012,,472.005005,,,12.855,,,,,1101.671021,592.377014,,,0.0,,314.10199,,,,,314.10199,906.479004,,443.096985,443.096985,,,,37.515999,,,,,,127.030998,,,,127.030998,607.643982,648.937012,,,,,43.324001,,,,,43.324001,692.261013,1299.904995,0.0,121.487,,,0.0,,586.757996,708.244995,0.0,708.244995,2008.14999,
03/31/1990,1991.843994,47.601002,47.601002,0.0,563.867004,,440.239014,,,11.942,,,,,1063.649048,613.93103,,,0.0,,314.264008,,,,,314.264008,928.195038,,443.65799,443.65799,,,,9.759,,,,,,152.403018,,,,152.403018,605.820007,606.844971,,,,,44.924,,,,,44.924,651.76897,1257.588978,0.0,123.554001,,,0.0,,610.700989,734.25499,0.0,734.25499,1991.843967,
06/30/1990,1992.069946,56.030998,56.030998,0.0,548.289001,,431.86499,,,11.13,,,,,1047.314941,635.896973,,,0.0,,308.858002,,,,,308.858002,944.754975,,418.664001,418.664001,,,,15.116,,,,,,139.875028,,,,139.875028,573.655029,583.495972,,,,,64.089996,,,,,64.089996,647.585968,1221.240997,0.0,126.098999,,,0.0,,644.72998,770.828979,0.0,770.828979,1992.069976,
09/29/1990,2128.50708,59.471001,59.471001,0.0,617.72699,,473.679993,,,15.79,,,,,1166.667969,645.622009,,,0.0,,316.21701,,,,,316.21701,961.83902,,491.088013,491.088013,,,,15.379,,,,,,152.227995,,,,152.227995,658.695007,589.84198,,,,,69.089996,,,,,69.089996,658.931976,1317.626984,0.0,133.173996,,,0.0,,677.705994,810.87999,0.0,810.87999,2128.506973,
12/29/1990,2146.262939,54.062,54.062,0.0,618.695984,,481.959015,,,15.886,,,,,1170.603027,664.677979,,,0.0,,310.981995,,,,,310.981995,975.659973,,467.434998,467.434998,,,,22.773001,,,,,,136.998972,,,,136.998972,627.20697,595.03302,,,,,74.089996,,,,,74.089996,669.123016,1296.329987,0.0,136.373001,,,0.0,,713.559998,849.932999,0.0,849.932999,2146.262985,
03/30/1991,2106.663086,53.022999,53.022999,0.0,592.051025,,461.46701,,,15.319,,,,,1121.859985,675.393982,,,0.0,,309.408997,,,,,309.408997,984.802979,,468.618011,468.618011,,,,30.622,,,,,,142.983988,,,,142.983988,642.223999,506.612,,,,,79.089996,,,,,79.089996,585.701996,1227.925995,0.0,140.255997,,,0.0,,738.481018,878.737015,0.0,878.737015,2106.66301,
06/29/1991,2160.131104,70.200996,70.200996,0.0,600.596008,,460.286011,,,12.83,,,,,1143.912964,699.101013,,,0.0,,317.117004,,,,,317.117004,1016.218017,,445.94101,445.94101,,,,13.562,,,,,,152.280987,,,,152.280987,611.783997,543.176025,,,,,86.544998,,,,,86.544998,629.721023,1241.50502,0.0,142.216003,,,0.0,,776.409973,918.625976,0.0,918.625976,2160.130996,
09/28/1991,2259.326904,55.622002,55.622002,0.0,656.476013,,502.321991,,,16.802,,,,,1231.222046,710.106018,,,0.0,,317.998993,,,,,317.998993,1028.105011,,506.869995,506.869995,,,,14.587,,,,,,147.814001,,,,147.814001,669.270996,535.578979,,,,,92.044998,,,,,92.044998,627.623978,1296.894974,0.0,150.522003,,,0.0,,811.909973,962.431976,0.0,962.431976,2259.32695,
12/28/1991,2263.156982,52.342999,52.342999,0.0,649.278015,,501.613007,,,19.627001,,,,,1222.860962,716.658997,,,0.0,,323.636993,,,,,323.636993,1040.29599,,467.528015,467.528015,,,,39.382,,,,,,118.444965,,,,118.444965,625.35498,538.067017,,,,,97.544998,,,,,97.544998,635.612015,1260.966995,0.0,153.0,,,0.0,,849.190002,1002.190002,0.0,1002.190002,2263.156998,
03/28/1992,2270.599121,58.763,58.763,0.0,657.031006,,498.139008,,,18.476,,,,,1232.409058,716.39502,,,0.0,,321.795013,,,,,321.795013,1038.190033,,508.561005,508.561005,,,,18.789,,,,,,127.899996,,,,127.899996,655.25,479.526001,,,,,103.044998,,,,,103.044998,582.570999,1237.820999,0.0,156.755005,,,0.0,,876.02301,1032.778015,0.0,1032.778015,2270.599014,
06/27/1992,2301.608887,74.353996,74.353996,0.0,660.30603,,491.63501,,,14.154,,,,,1240.448975,734.422974,,,0.0,,326.737,,,,,326.737,1061.159974,,488.765991,488.765991,,,,12.979,,,,,,153.70203,,,,153.70203,655.447021,488.828003,,,,,100.487999,,,,,100.487999,589.316002,1244.763023,0.0,186.584,,,-19.802999,,890.065023,1056.846024,0.0,1056.846024,2301.609047,
