Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2009,11150.0,11129.0,21.0,-10360.0,10193.0,167.0,790.0,13.0,-552.0,220.0,332.0,251.0,20.0,,0.0,,,-14.0,-6.0,271.0,-103.0,,,168.0,0.0,0.0,0.0,168.0,,168.0,0.0,0.0,168.0,177.1,9.1,,,,,,,,,
12/31/2009,12116.0,12096.0,20.0,-11645.0,11451.0,194.0,471.0,25.0,-632.0,219.0,413.0,-136.0,20.0,,,,,-14.0,-6.0,-116.0,64.0,,,-52.0,0.0,0.0,0.0,-52.0,,-52.0,0.0,0.0,-52.0,-43.55,8.45,,,,,,,,,
03/31/2010,12179.0,12179.0,,-11916.0,11696.0,220.0,263.0,0.0,-682.0,206.0,476.0,-419.0,2.0,,,,,,-2.0,-417.0,128.0,-15.0,-113.0,-289.0,0.0,0.0,0.0,-289.0,,-289.0,0.0,0.0,-289.0,-289.65,-0.65,,,,,,,,,
06/30/2010,14487.0,14454.0,33.0,-13124.0,12855.0,269.0,1363.0,10.0,-755.0,228.0,527.0,618.0,22.0,,,,,-18.0,-4.0,640.0,-235.0,,,405.0,0.0,0.0,0.0,405.0,0.0,405.0,0.0,0.0,405.0,356.25,-48.75,712.0,0.57,0.57,0.500351,716.0,0.565,0.565,0.496914,
09/30/2010,14546.0,14519.0,27.0,-13196.0,12962.0,234.0,1350.0,8.0,-933.0,226.0,707.0,425.0,14.0,5.0,5.0,0.0,4.0,-18.0,-5.0,439.0,-162.0,,,277.0,0.0,0.0,0.0,277.0,0.0,277.0,0.0,0.0,277.0,286.75,9.75,712.0,0.39,0.39,0.402739,716.0,0.385,0.385,0.398618,
12/31/2010,16096.0,16080.0,16.0,-14637.0,14419.0,218.0,1459.0,11.0,-1133.0,260.0,873.0,337.0,24.0,,,,,-14.0,-10.0,361.0,-131.0,,,230.0,0.0,0.0,0.0,230.0,0.0,230.0,0.0,0.0,230.0,228.05,-1.95,712.0,0.32,0.32,0.320295,716.0,0.32,0.32,0.317277,
03/31/2011,16633.0,16610.0,23.0,-14841.0,14625.0,216.0,1792.0,19.0,-1001.0,217.0,784.0,810.0,12.0,31.0,31.0,0.0,,-9.0,-34.0,822.0,-293.0,,,529.0,0.0,0.0,0.0,529.0,0.0,529.0,0.0,0.0,529.0,566.05,37.05,712.0,0.745,0.745,0.795014,716.0,0.74,0.74,0.791746,
06/30/2011,19491.0,19463.0,28.0,-16931.0,16713.0,218.0,2560.0,13.0,-1265.0,288.0,977.0,1308.0,25.0,41.0,42.0,-1.0,,-17.0,-49.0,1333.0,-531.0,,,802.0,0.0,0.0,0.0,802.0,0.0,802.0,0.0,0.0,802.0,647.3,-154.7,712.0,1.125,1.125,0.909129,716.0,1.12,1.12,0.903938,
09/30/2011,19287.0,19285.0,2.0,-17186.0,16959.0,227.0,2101.0,17.0,-374.0,299.0,75.0,1744.0,0.0,44.0,45.0,-1.0,-6.0,-15.0,-23.0,1744.0,-611.0,,,1133.0,0.0,0.0,0.0,1133.0,0.0,1133.0,0.0,0.0,1133.0,962.05,-170.95,712.0,1.59,1.59,1.351194,714.0,1.58,1.58,1.340574,
12/31/2011,18113.0,18111.0,2.0,-17934.0,17704.0,230.0,179.0,10.0,-356.0,288.0,68.0,-167.0,-13.0,41.0,46.0,-5.0,,-9.0,-19.0,-180.0,105.0,,,-75.0,0.0,0.0,0.0,-75.0,0.0,-75.0,0.0,0.0,-75.0,109.6,184.6,712.0,-0.105,-0.105,0.153932,712.0,-0.105,-0.105,0.153932,
