Date,Revenue,Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,General & Administrative,Depreciation & Amortization,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,Income from Uncon JVs,Disposal of Con Assets,Other FFO Adjustments,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Straight-Line Rent,Stock-Based Compensation,Amortization of Financing Costs,Recurring Capital Expenditure,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
03/31/1998,8.598,6.26,0.0,0.0,0.0,2.338,-0.862,,0.862,1.755,0.0,1.305,2.338,-1.791,1.791,,,0.547,-0.188,,0.0,,0.0,0.359,,0.359,,,0.344,0.344,,29.668,0.011595,0.011595,,29.668,0.011595,0.011595,,,,,,,,,,,,,,,,,0.0,,,,
03/31/2002,186.616,126.601,0.0,0.0,0.0,60.015,-63.78,56.951,6.829,75.083,,57.017,-9.264,-69.079,63.77,,5.309,-78.343,22.214,,0.0,,0.0,-71.771,,-71.771,,,-634.389,-634.389,7.985,195.288,-3.248479,-3.168382,-3.168382,195.288,-3.248479,-3.168382,-3.168382,,,,,,,,,,,,,,,,,,,,
06/30/2002,165.837,132.017,0.0,0.0,0.0,33.82,-63.536,57.062,6.474,79.804,,29.948,-7.451,-87.56,65.537,,22.023,-95.011,27.312,,0.0,,0.0,-101.168,,-101.168,,,-101.168,-101.168,7.969,195.361,-0.517852,-0.346533,-0.30574,195.361,-0.517852,-0.346533,-0.30574,,,,,,,,,,,,,,,,,,,,
09/30/2002,174.946,138.16,0.0,0.0,0.0,36.786,-63.427,56.605,6.822,78.699,,35.06,-2.24,-148.782,62.718,,86.064,-151.022,3.168,,0.0,,0.0,-353.877,,-353.877,,,-353.877,-353.877,84.392,195.565,-1.809511,-0.756035,-0.3245,195.565,-1.809511,-0.756035,-0.3245,,,,,,,,,,,,,,,,,,,,
12/31/2002,147.683,148.128,0.0,0.0,0.0,-0.445,-66.272,56.168,10.104,79.28,,-3.434,5.565,-7.088,62.421,,-55.333,-63.944,15.089,,0.0,,0.0,-615.063,,-615.063,,,-52.445,-52.445,9.895,195.602,-0.268121,2.626573,2.677161,195.602,-0.268121,2.626573,2.677161,,,,,,,,,,,,,,,,,,,,
03/31/2003,161.467,161.467,0.0,0.0,,,-61.344,54.696,6.648,79.654,,14.712,5.757,-105.27,71.742,,33.528,-99.513,19.275,,0.0,,0.0,-91.623,,-91.623,,,-91.623,-91.623,12.187,195.703,-0.468174,-0.409999,-0.34772,195.703,-0.468174,-0.409999,-0.34772,,,,,,,,,,,,,,,,,,,,
06/30/2003,175.282,151.916,0.0,0.0,0.0,23.366,-61.17,54.205,6.965,79.624,,21.5,12.988,-110.772,71.201,,39.571,-97.784,17.585,,0.0,,0.0,-107.715,,-107.715,,,-107.715,-107.715,43.834,202.913,-0.530843,-0.395238,-0.17921,202.913,-0.530843,-0.395238,-0.17921,,,,,,,,,,,,,,,,,,,,
09/30/2003,186.874,158.193,0.0,0.0,0.0,28.681,-63.251,56.758,6.493,77.687,,26.274,19.662,-70.953,68.906,,2.047,-51.291,13.593,,0.0,,0.0,-52.862,,-52.862,,,-52.862,-52.862,4.391,213.788,-0.247264,-0.176334,-0.176334,213.788,-0.247264,-0.176334,-0.176334,,,,,,,,,,,,,,,,,,,,
12/31/2003,108.87,163.126,0.0,0.0,0.0,-54.256,-77.782,71.021,6.761,93.449,,-52.993,-9.368,-13.049,67.934,,-54.885,-90.351,27.343,,0.0,,0.0,-69.418,-3.703,-73.121,,,-73.121,-73.121,17.441,219.988,-0.332386,-0.303248,-0.223967,219.988,-0.332386,-0.303248,-0.223967,,,,,,,,,,,,,,,,,,,,
03/31/2004,168.791,164.576,0.0,0.0,0.0,4.215,-65.755,58.876,6.879,81.345,,3.561,18.13,-76.674,69.157,,7.517,-58.544,13.018,,0.0,,0.0,-48.238,,-48.238,,,-48.238,-48.238,11.967,220.408,-0.218858,-0.206553,-0.1389,220.408,-0.218858,-0.206553,-0.1389,,,,,,,,,,,,,,,,,,,,
