Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/1999,7.605,,-2.032,,5.573,,-7.189,,,,,,-1.616,0.097,,,0.0,-0.097,-1.519,0.0,-1.519,0.0,,,-1.519,0.0,-1.519,0.0,,-1.519,-1.519,,,,,,,,,,
09/30/1999,13.762,,-3.139,,10.623,,-8.637,,,,,,1.986,0.348,,,0.0,-0.348,2.334,0.0,2.334,0.0,,,2.334,0.0,2.334,0.0,,2.334,2.334,,36.240002,0.065,0.065,0.065,44.759998,0.055,0.055,0.055,
12/31/1999,19.173,,-5.683,,13.49,,-9.988,,,,,,3.502,0.741,-0.741,,0.0,0.0,4.243,0.0,4.243,0.0,,,4.243,0.0,4.243,0.0,,4.243,4.243,,40.854,0.105,0.105,0.105,46.122002,0.09,0.09,0.09,
03/31/2000,23.604,,-6.845,,16.759,,-13.431,,,,,,3.328,0.818,-0.818,,0.0,0.0,4.146,0.0,4.146,0.0,,,4.146,0.0,4.146,0.0,,4.146,4.146,,42.396,0.1,0.1,0.1,46.21,0.09,0.09,0.09,
06/30/2000,29.221001,,-8.27,,20.951001,,-16.653,,,,,,4.298,0.855,-0.855,,0.0,0.0,5.153,-1.308,3.845,0.0,,,3.845,0.0,3.845,0.0,,3.845,3.845,,42.708,0.09,0.09,0.09,46.008,0.085,0.085,0.085,
09/30/2000,36.646996,,-11.772999,,24.873997,,-23.15,,,,,,1.724,0.489,-0.786,,0.0,0.297,2.213,-0.797,1.416,0.0,,,1.416,0.0,1.416,0.0,0.0,1.416,1.416,2.308,42.27398,0.03,0.03,0.08,46.132,0.03,0.03,0.08,
12/31/2000,24.733,,-11.67,,13.063,,-23.796,,,,,,-10.733,-0.634,,,0.0,0.634,-11.367,2.437,-8.93,0.0,,,-8.93,0.0,-8.93,0.0,0.0,-8.93,-8.93,,43.354,-0.205,-0.205,-0.235,43.354,-0.205,-0.205,-0.235,
03/31/2001,27.066999,,-10.991,,16.075999,,-23.375,,,,,,-7.299,-3.703,,,0.0,3.703,-11.002,2.26,-8.742,0.0,,,-8.742,0.0,-8.742,0.0,0.0,-8.742,-8.742,,43.834,-0.2,-0.2,-0.095,43.834,-0.2,-0.2,-0.095,
06/30/2001,29.000999,,-10.609,,18.391999,,-19.936001,,,,,,-1.544,0.562,,,0.0,-0.562,-0.982,-0.629,-1.611,0.0,,,-1.611,0.0,-1.611,0.0,0.0,-1.611,-1.611,,44.388,-0.035,-0.035,-0.035,44.388,-0.035,-0.035,-0.035,
09/30/2001,26.566,,-12.235,,14.331,,-22.496,,,,,,-8.165,4.821,,,0.0,-4.821,-3.344,-8.163,-11.507,0.0,,,-11.507,0.0,-11.507,0.0,0.0,-11.507,-11.507,,49.534,-0.23,-0.23,-0.05,49.534,-0.23,-0.23,-0.05,
12/31/2001,27.025,,-8.657,,18.368,,-20.754999,,,,,,-2.387,0.505,,,0.0,-0.505,-1.882,-0.189,-2.071,0.0,,,-2.071,0.0,-2.071,0.0,0.0,-2.071,-2.071,,49.765999,-0.04,-0.04,-0.04,49.765999,-0.04,-0.04,-0.04,
03/31/2002,27.101,,-7.831,,19.27,,-21.212,,,,,,-1.942,0.273,,,0.0,-0.273,-1.669,-0.101,-1.77,0.0,,,-1.77,0.0,-1.77,0.0,0.0,-1.77,-1.77,,50.405998,-0.035,-0.035,-0.035,50.405998,-0.035,-0.035,-0.035,
06/30/2002,27.065001,,-7.585,,19.48,,-21.195999,,,,,,-1.716,-2.484,,,0.0,2.484,-4.2,-0.146,-4.346,0.0,,,-4.346,0.0,-4.346,0.0,0.0,-4.346,-4.346,,51.074001,-0.085,-0.085,-0.025,51.074001,-0.085,-0.085,-0.025,
09/30/2002,27.075001,,-6.406,,20.669001,,-20.891001,,,,,,-0.222,-0.148,,,0.0,0.148,-0.37,-0.053,-0.423,0.0,,,-0.423,0.0,-0.423,0.0,0.0,-0.423,-0.423,,51.34,-0.01,-0.01,0.0,53.056,-0.01,-0.01,0.0,
12/31/2002,27.056,,-6.218,,20.838,,-20.57,,,,,,0.268,0.462,,,0.0,-0.462,0.73,-0.21,0.52,0.0,,,0.52,0.0,0.52,0.0,0.0,0.52,0.52,,51.765999,0.01,0.01,0.01,53.869999,0.01,0.01,0.01,
03/31/2003,28.017,,-6.478,,21.539,,-20.851999,,,,,,0.687,0.312,,,0.0,-0.312,0.999,-0.184,0.815,0.0,,,0.815,0.0,0.815,0.0,0.0,0.815,0.815,,52.327999,0.015,0.015,0.015,54.987999,0.015,0.015,0.015,
06/30/2003,29.188999,,-6.781,,22.407999,,-21.209,,,,,,1.199,0.352,,,0.0,-0.352,1.551,-0.152,1.399,0.0,,,1.399,0.0,1.399,0.0,0.0,1.399,1.399,,53.276001,0.025,0.025,0.025,56.933998,0.025,0.025,0.025,
09/30/2003,31.632999,,-7.428,,24.204999,,-22.17,,,,,,2.035,-0.375,,,0.0,0.375,1.66,-0.307,1.353,0.0,,,1.353,0.0,1.353,0.0,0.0,1.353,1.353,,54.25,0.025,0.025,0.025,59.042,0.025,0.025,0.025,
12/31/2003,36.081001,,-8.311,,27.770001,,-23.754999,,,,,,4.015,0.184,,,0.0,-0.184,4.199,-0.398,3.801,0.0,,,3.801,0.0,3.801,0.0,0.0,3.801,3.801,,60.318,0.065,0.065,0.065,66.241996,0.055,0.055,0.055,
