Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1991,1116,,-1225.0,,-109.0,,-18.0,,,,,-127.0,-366.0,,39.0,,,,327.0,-493.0,185.0,,,-308.0,0.0,,,-308.0,0.0,-308.0,0.0,,-308.0,-308.0,,50.855,-6.06,-6.06,,50.855,-6.06,-6.06,-6.06,
06/30/1991,1161,,-1166.0,,-5.0,,-27.0,,,,,-32.0,-33.0,,39.0,,,,-6.0,-65.0,26.0,,,-39.0,0.0,,,-39.0,0.0,-39.0,-1.0,,-40.0,-40.0,,50.959,-0.79,-0.79,,50.959,-0.79,-0.79,-0.79,
09/30/1991,1281,,-1227.0,,54.0,,-24.0,,,,,30.0,-23.0,,44.0,,,,-21.0,7.0,-2.0,,,5.0,0.0,,,5.0,0.0,5.0,-1.0,,4.0,4.0,,51.063999,0.09,0.09,,51.063999,0.09,0.09,0.09,
12/31/1991,1306,,-1367.0,,-61.0,,-25.0,,,,,-86.0,-119.0,,46.0,,2.0,,71.0,-205.0,40.0,,,-165.0,0.0,,,-165.0,0.0,-165.0,0.0,,-165.0,-165.0,,51.005501,-3.24,-3.24,,51.005501,-3.24,-3.24,-3.24,
03/31/1992,1169,,-1129.0,,40.0,,-27.0,,,,,13.0,-43.0,,43.0,,,,0.0,-30.0,10.0,,,-20.0,1335.0,,,-1355.0,0.0,-1355.0,0.0,,-1355.0,-1355.0,,51.073002,-26.540001,-0.4,,51.073002,-26.540001,-0.4,-0.4,
06/30/1992,1265,,-1208.0,,57.0,,-23.0,,,,,34.0,-33.0,,45.0,,,,-12.0,1.0,1.0,,,2.0,0.0,,,2.0,0.0,2.0,-1.0,,1.0,1.0,,53.021999,0.03,0.03,,53.021999,0.03,0.03,0.03,
09/30/1992,1271,,-1249.0,,22.0,,-22.0,,,,,0.0,-39.0,,44.0,,,,-5.0,-39.0,11.0,,,-28.0,0.0,,,-28.0,0.0,-28.0,-1.0,,-29.0,-29.0,,59.388,-0.48,-0.48,,59.388,-0.48,-0.48,-0.48,
12/31/1992,1242,,-1478.0,,-236.0,,-14.0,,,,,-250.0,-76.0,,44.0,,2.0,,30.0,-326.0,101.0,,,-225.0,0.0,,,-225.0,0.0,-225.0,-1.0,,-226.0,-226.0,,59.549999,-3.8,-3.8,-3.8,59.549999,-3.8,-3.8,-3.8,
03/31/1993,1208,,-1155.0,,53.0,,-18.0,,,,,35.0,-16.0,,48.0,,,,-32.0,19.0,-9.0,,,10.0,69.0,,,-59.0,0.0,-59.0,-2.0,,-61.0,-61.0,,59.978001,-1.03,0.12,,59.978001,-1.03,0.12,0.12,
06/30/1993,1427,,-1792.0,,-365.0,,-22.0,,,,,-387.0,-117.0,,223.0,,,,-106.0,-504.0,168.0,,,-336.0,0.0,,,-336.0,0.0,-336.0,-7.0,,-343.0,-343.0,,60.053001,-5.71,-5.71,,60.053001,-5.71,-5.71,-5.71,
09/30/1993,1429,,-1330.0,,99.0,,-33.0,,,,,66.0,-40.0,,51.0,,,,-11.0,26.0,7.0,,,33.0,0.0,,,33.0,0.0,33.0,-7.0,,26.0,26.0,,67.141998,0.41,0.41,,67.141998,0.41,0.41,0.41,
12/31/1993,1548,,-999.0,,549.0,,-28.0,,,,,521.0,-268.0,,,,0.0,,268.0,253.0,-125.0,,,124.0,0.0,,,128.0,0.0,124.0,-5.0,,119.0,119.0,,70.310997,1.67,1.67,1.67,70.310997,1.67,1.67,1.67,
03/31/1994,1384,,-1381.0,,3.0,,-27.0,,,,,-24.0,-30.0,,38.0,,,,-8.0,-54.0,19.0,,,-35.0,0.0,,,-35.0,0.0,-35.0,-6.0,,-41.0,-41.0,,73.797997,-0.56,-0.56,,73.797997,-0.56,-0.56,-0.56,
06/30/1994,1534,,-1423.0,,111.0,,-23.0,,,,,88.0,-7.0,,37.0,,,,-30.0,81.0,-25.0,,,56.0,0.0,,,56.0,0.0,56.0,-7.0,,49.0,49.0,,75.489998,0.65,0.65,,78.929001,0.64,0.64,0.64,
09/30/1994,1505,,-1376.0,,129.0,,-23.0,,,,,106.0,-23.0,,40.0,,,,-17.0,83.0,7.0,,,90.0,0.0,,,90.0,0.0,90.0,-6.0,,84.0,84.0,,75.674004,1.11,1.11,,75.674004,1.11,1.11,1.11,
12/31/1994,1643,,-1476.0,,167.0,,-24.0,,,,,143.0,-6.0,,,,,,6.0,137.0,-48.0,,,90.0,0.0,,,89.0,0.0,90.0,-6.0,,84.0,84.0,,75.887001,1.11,1.11,1.11,75.887001,1.11,1.11,1.11,
03/31/1995,1580,,-1425.0,,155.0,,-18.0,,,,,137.0,-21.0,,39.0,,0.0,,-18.0,116.0,-42.0,,,74.0,0.0,,,74.0,0.0,74.0,-6.0,,68.0,68.0,,76.172997,0.89,0.89,,87.092003,0.86,0.86,0.86,
