Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/29/1989,3934,63,63,0.0,,,,2144,,,,,154,,,,,,2361,1348,,,0.0,225,,,,,,225,1573,,550,550,,,,734.0,,,,,,328,,,328,1612,321,,,,,180,,,,,,180,501,2113,1.0,247.0,,,-91.0,,1664.0,1821,0.0,1821,3934,
07/29/1989,3996,23,23,0.0,,,,2239,,,,,160,,,,,,2422,1352,,,0.0,222,,,,,,222,1574,,509,509,,,,821.0,,,,,,331,,,331,1661,314,,,,,185,,,,,,185,499,2160,1.0,215.0,,,0.0,,1620.0,1836,0.0,1836,3996,
10/28/1989,4389,46,46,0.0,,,,2553,,,,,180,,,,,,2779,1388,,,0.0,222,,,,,,222,1610,,591,591,,,,1027.0,,,,,,368,,,368,1986,311,,,,,193,,,,,,193,504,2490,1.0,218.0,,,-1.0,,1681.0,1899,0.0,1899,4389,
01/27/1990,3907,56,56,0.0,166.0,,,1963,,,,,50,,,,,,2235,1447,2233.0,-786.0,0.0,225,,,,,,225,1672,,791,791,,,,19.0,,,,,,489,,,489,1299,306,,,,,226,,,,,,226,532,1831,1.0,222.0,,,-3.0,,1856.0,2076,0.0,2076,3907,
04/28/1990,4343,53,53,0.0,,,,2398,,,,,198,,,,,,2649,1470,,,0.0,224,,,,,,224,1694,,536,536,,,,840.0,,,,,,349,,,349,1725,295,,,,,232,,,,,,232,527,2252,1.0,224.0,,,-4.0,,1870.0,2091,0.0,2091,4343,
07/28/1990,4479,48,48,0.0,,,,2500,,,,,188,,,,,,2736,1512,,,0.0,231,,,,,,231,1743,,529,529,,,,933.0,,,,,,346,,,346,1808,290,,,,,240,,,,,,240,530,2338,1.0,237.0,,,-1.0,,1904.0,2141,0.0,2141,4479,
10/26/1990,4883,82,82,0.0,,,,2804,,,,,183,,,,,,3069,1575,,,0.0,239,,,,,,239,1814,,637,637,,,,1118.0,,,,,,404,,,404,2159,288,,,,,241,,,,,,241,529,2688,1.0,237.0,,,-12.0,,1969.0,2195,0.0,2195,4883,
01/26/1991,4305,50,50,0.0,198.0,,,2091,,,,,52,,,,,,2391,1663,2524.0,-861.0,0.0,251,,,,,,251,1914,,927,927,,,,30.0,,,,,,479,,,479,1436,269,,,,,260,,,,,,260,529,1965,1.0,241.0,,,-13.0,,2111.0,2340,0.0,2340,4305,
04/27/1991,4811,92,92,0.0,,,,2615,,,,,177,,,,,,2884,1615,,,,312,,,,,,312,1927,,578,578,,,,1078.0,,,,,,329,,,329,1985,259,,,,,421,,,,,,421,680,2665,1.0,244.0,,,-13.0,,1914.0,2146,0.0,2146,4811,
07/27/1991,4856,61,61,0.0,,,,2677,,,,,189,,,,,,2927,1617,,,0.0,312,,,,,,312,1929,,523,523,,,,1270.0,,,,,,298,,,298,2091,239,,,,,415,,,,,,415,654,2745,1.0,247.0,,,-1.0,,1864.0,2111,0.0,2111,4856,
10/26/1991,5356,68,68,0.0,,,,3064,,,,,196,,,,,,3328,1674,,,0.0,354,,,,,,354,2028,,688,688,,,,1463.0,,,,,,345,,,345,2496,242,,,,,433,,,,,,433,675,3171,1.0,249.0,,,-2.0,,1937.0,2185,0.0,2185,5356,
01/25/1992,4618,69,69,0.0,162.0,,,2152,,,,,207,,,,,,2590,1642,2622.0,-980.0,0.0,386,,,,,,386,2028,,919,919,,,,121.0,,,,,,552,,,552,1592,425,,,,,570,,,,,,570,995,2587,1.0,251.0,,,-7.0,,1786.0,2031,0.0,2031,4618,
04/25/1992,5056,97,97,0.0,,,,2626,,,,,369,,,,,,3092,1579,,,0.0,385,,,,,,385,1964,,589,589,,,,1084.0,,,,,,467,,,467,2140,413,,,,,555,,,,,,555,968,3108,1.0,252.0,,,-8.0,,1703.0,1948,0.0,1948,5056,
07/25/1992,5172,120,120,0.0,,,,2690,,,,,363,,,,,,3173,1617,,,0.0,382,,,,,,382,1999,,625,625,,,,1136.0,,,,,,431,,,431,2192,414,,,,,568,,,,,,568,982,3174,1.0,255.0,,,-2.0,,1744.0,1998,0.0,1998,5172,
10/24/1992,5594,118,118,0.0,,,,3024,,,,,366,,,,,,3508,1657,,,0.0,429,,,,,,429,2086,,658,658,,,,1458.0,,,,,,496,,,496,2612,361,,,,,582,,,,,,582,943,3555,1.0,258.0,,,-2.0,,1782.0,2039,0.0,2039,5594,
01/30/1993,4692,49,49,0.0,219.0,,,2269,,,,,117,,,,,,2654,1626,2648.0,-1022.0,0.0,412,,,,,,412,2038,,945,945,,,,185.0,,,,,,528,,,528,1658,372,,,,,603,,,,,,603,975,2633,1.0,267.0,,,-3.0,,1794.0,2059,0.0,2059,4692,
05/01/1993,5298,73,73,0.0,,,,2799,,,,,358,,,,,,3230,1638,,,0.0,430,,,,,,430,2068,,544,544,,,,1369.0,,,,,,400,,,400,2313,357,,,,,599,,,,,,599,956,3269,1.0,267.0,,,-3.0,,1764.0,2029,0.0,2029,5298,
07/31/1993,5345,66,66,0.0,0.0,,,2882,,,,,328,,,,,,3276,1618,,,0.0,451,,,,,,451,2069,,583,583,,,,1511.0,,,,,,363,,,363,2457,352,,,,,584,,,,,,584,936,3393,1.0,276.0,,,0.0,,1675.0,1952,0.0,1952,5345,
10/30/1993,5523,79,79,0.0,0.0,,,2784,,,,,583,,,,,,3446,1599,,,0.0,478,,,,,,478,2077,,810,810,,,,1547.0,,,,,,627,,,627,2984,346,,,,,660,,,,,,660,1006,3990,1.0,277.0,,,0.0,,1255.0,1533,0.0,1533,5523,
01/29/1994,4593,57,57,0.0,0.0,,,1579,,,,,858,,,,,,2494,1531,2503.0,-972.0,0.0,568,,,,,,568,2099,,862,862,,,,565.0,,,,,,654,,,654,2081,336,,,,,827,,,,,,827,1163,3244,1.0,277.0,,,0.0,,1071.0,1349,0.0,1349,4593,
04/30/1994,4510,19,19,0.0,,,,1880,,,,,501,,,,,,2400,1540,,,0.0,570,,,,,,570,2110,,451,451,,,,1152.0,,,,,,519,,,519,2122,327,,,,,790,,,,,,790,1117,3239,1.0,277.0,,,0.0,,993.0,1271,0.0,1271,4510,
07/30/1994,4706,58,58,0.0,0.0,,,1972,,,,,571,,,,,,2601,1554,,,0.0,551,,,,,,551,2105,,545,545,,,,1301.0,,,,,,516,,,516,2362,321,,,,,771,,,,,,771,1092,3454,1.0,284.0,,,0.0,,967.0,1252,0.0,1252,4706,
10/29/1994,4955,177,177,0.0,0.0,,,2201,,,,,473,,,,,,2851,1547,,,0.0,557,,,,,,557,2104,,508,508,,,,1503.0,,,,,,557,,,557,2568,320,,,,,770,,,,,,770,1090,3658,1.0,284.0,,,0.0,,1012.0,1297,0.0,1297,4955,
01/28/1995,4173,72,72,0.0,0.0,,,1622,,,,,375,,,,,,2069,1521,2621.0,-1100.0,0.0,583,,,,,,583,2104,,359,359,,,,879.0,,,,,,472,,,472,1710,309,,,,,796,,,,,,796,1105,2815,0.0,282.0,,,0.0,,1076.0,1358,0.0,1358,4173,
04/29/1995,4609,76,76,0.0,0.0,,,1864,,,,,429,,,,,,2369,1558,,,0.0,682,,,,,,682,2240,,447,447,,,,991.0,,,,,,404,,,404,1842,571,,,,,831,,,,,,831,1402,3244,0.0,282.0,,,0.0,,1083.0,1365,0.0,1365,4609,
07/29/1995,4522,105,105,0.0,0.0,,,1804,,,,,390,,,,,,2299,1518,,,0.0,705,,,,,,705,2223,,475,475,,,,885.0,,,,,,411,,,411,1771,568,,,,,826,,,,,,826,1394,3165,0.0,290.0,,,,,1067.0,1357,0.0,1357,4522,
10/28/1995,4444,65,65,0.0,0.0,,,1917,,,,,346,,,,,,2328,1482,,,0.0,634,,,,,,634,2116,,487,487,,,,677.0,,,,,,446,,,446,1610,653,,,,,813,,,,,,813,1466,3076,0.0,290.0,,,,,1078.0,1368,0.0,1368,4444,
01/27/1996,3506,13,13,0.0,0.0,,,1364,,,,,241,,,,,,1618,1225,2487.0,-1262.0,0.0,663,,,,,,663,1888,,321,321,,,,94.0,,,,,,426,,,426,841,619,,,,,817,,,,,,817,1436,2277,0.0,290.0,,,0.0,,939.0,1229,0.0,1229,3506,
04/27/1996,3329,50,50,0.0,0.0,,,1386,,,,,192,,,,,,1628,1017,,,0.0,684,,,,,,684,1701,,401,401,,,,16.0,,,,,,369,,,369,786,575,,,,,677,,,,,,677,1252,2038,0.0,302.0,,,0.0,,989.0,1291,0.0,1291,3329,
07/27/1996,3585,80,80,0.0,0.0,,,1491,,,,,234,,,,,,1805,1136,,,0.0,644,,,,,,644,1780,,419,419,,,,156.0,,,,,,413,,,413,988,611,,,,,781,,,,,,781,1392,2380,0.0,1188.0,,,0.0,,17.0,1205,0.0,1205,3585,
10/26/1996,3711,17,17,0.0,0.0,,,1681,,,,,263,,,,,,1961,1109,,,0.0,641,,,,,,641,1750,,445,445,,,,132.0,,,,,,475,,,475,1052,596,,,,,780,,,,,,780,1376,2428,0.0,296.0,,,0.0,,987.0,1283,0.0,1283,3711,
01/25/1997,3339,328,328,0.0,0.0,,,1066,,,,,388,,,,,,1782,983,2067.0,-1084.0,0.0,574,,,,,,574,1557,,286,286,,,,15.0,,,,,,447,,,447,748,575,,,,,682,,,,,,682,1257,2005,0.0,299.0,,,0.0,,1035.0,1334,0.0,1334,3339,
04/26/1997,3329,50,50,0.0,0.0,,,1386,,,,,192,,,,,,1628,1017,,,0.0,684,,,,,,684,1701,,401,401,,,,16.0,,,,,,369,,,369,786,575,,,,,677,,,,,,677,1252,2038,0.0,302.0,,,0.0,,989.0,1291,0.0,1291,3329,
07/26/1997,3308,69,69,0.0,0.0,,,1216,,,,,383,,,,,,1668,903,,,0.0,737,,,,,,737,1640,,352,352,,,,52.0,,,,,,526,,,526,930,568,,,,,721,,,,,,721,1289,2219,0.0,311.0,,,0.0,,778.0,1089,0.0,1089,3308,
10/25/1997,3300,49,49,0.0,0.0,,,1377,,,,,174,,,,,,1600,954,,,0.0,746,,,,,,746,1700,,351,351,,,,41.0,,,,,,473,,,473,865,571,,,,,710,,,,,,710,1281,2146,0.0,315.0,,,0.0,,839.0,1154,0.0,1154,3300,
01/31/1998,2798,81,81,,,,,754,754.0,,,,739,,,,,,1574,625,1160.0,-535.0,,599,185.0,185.0,0.0,,,414,1224,,267,267,,,,19.0,,,,,,323,,,323,609,508,,,,,410,,,,,,410,918,1527,,,,,0.0,1033.0,238.0,1271,,1271,2798,
05/02/1998,3024,13,13,0.0,0.0,,,880,0.0,0.0,880.0,,823,,,,,,1716,688,,,0.0,620,191.0,,,,,429,1308,,284,284,,,,272.0,,,,,,279,,,279,835,509,,,,,397,,,,,,397,906,1741,0.0,322.0,,,0.0,,961.0,1283,0.0,1283,3024,
08/01/1998,3651,77,77,0.0,0.0,,,1406,0.0,0.0,1406.0,,238,,,,,,1721,1214,,,0.0,716,,,,,,716,1930,,747,747,,,,474.0,,,,,,27,,,27,1248,536,,,,,604,,,,,,604,1140,2388,0.0,327.0,,,0.0,,936.0,1263,0.0,1263,3651,
10/31/1998,3145,147,147,0.0,0.0,,,1112,0.0,0.0,1112.0,,356,,,,,,1615,916,,,0.0,614,,,,,,614,1530,,652,652,,,,391.0,,,,,,217,,,217,1260,508,,,,,375,,,,,,375,883,2143,0.0,327.0,,,0.0,,675.0,1002,0.0,1002,3145,
01/31/1999,2876,193,193,0.0,0.0,,,837,0.0,0.0,837.0,,245,,,,,,1275,974,1450.0,-476.0,0.0,627,183.0,,,,,444,1601,,245,245,,,,256.0,,,,,,463,,,463,964,511,,,,,363,,,,,,363,874,1838,0.0,328.0,,,0.0,,710.0,1038,0.0,1038,2876,
05/01/1999,2816,13,13,0.0,0.0,,,889,0.0,0.0,889.0,889.0,311,,,,,,1213,984,,,0.0,619,180.0,,,,,439,1603,,276,276,,,,281.0,,,,,,353,,,353,910,513,,,,,358,,,,,,358,871,1781,0.0,332.0,,,0.0,886.0,-183.0,1035,0.0,1035,2816,
07/31/1999,2773,78,78,0.0,0.0,,,812,0.0,0.0,812.0,0.0,333,,,,,,1223,941,,,0.0,609,155.0,,,,,454,1550,,260,260,,,,538.0,,,,,,320,,,320,1118,313,,,,,333,,,,,,333,646,1764,0.0,334.0,,,0.0,,675.0,1009,0.0,1009,2773,
10/30/1999,2843,63,63,0.0,0.0,,,863,0.0,0.0,863.0,0.0,432,,,,,,1358,882,,,0.0,603,153.0,,,,,450,1485,,354,354,,,,508.0,,,,,,324,,,324,1186,313,,,,,323,,,,,,323,636,1822,0.0,335.0,,,0.0,,686.0,1021,0.0,1021,2843,
01/29/2000,2447,162,162,0.0,0.0,,,697,0.0,0.0,697.0,0.0,216,,,,,,1075,754,1171.0,-417.0,0.0,618,151.0,151.0,0.0,,,467,1372,,225,225,,,,177.0,,,,,,310,,,310,712,312,,,,,284,,,,,,284,596,1308,0.0,336.0,,,-1.0,,804.0,1139,0.0,1139,2447,
04/29/2000,2483,54,54,0.0,0.0,,,766,0.0,0.0,766.0,766.0,272,,,,,,1092,782,,,0.0,609,149.0,149.0,0.0,,,460,1391,,249,249,,,,195.0,,,,,,309,,,309,753,312,,,,,276,,,,,,276,588,1341,0.0,341.0,,,-2.0,960.0,-157.0,1142,0.0,1142,2483,
07/29/2000,2377,25,25,0.0,0.0,,,799,0.0,0.0,799.0,0.0,219,,,,,,1043,714,,,0.0,620,147.0,147.0,0.0,,,473,1334,,305,305,,,,100.0,,,,,,240,,,240,645,310,,,,,267,,,,,,267,577,1222,0.0,343.0,,,-1.0,,813.0,1155,0.0,1155,2377,
10/30/2000,2473,18,18,0.0,0.0,,,922,0.0,0.0,922.0,0.0,189,,,,,,1129,740,,,0.0,604,145.0,,,,,459,1344,,299,299,,,,194.0,,,,,,299,,,299,792,259,,,,,263,,,,,,263,522,1314,0.0,344.0,,,-1.0,,816.0,1159,0.0,1159,2473,
02/03/2001,2232,109,109,0.0,0.0,,,730,0.0,0.0,730.0,0.0,161,,,,,,1000,684,1192.0,-508.0,0.0,548,143.0,143.0,0.0,,,405,1232,,264,264,,,,54.0,,,,,,311,,,311,629,259,,,,,331,,,,,,331,590,1219,0.0,349.0,,,-2.0,,666.0,1013,0.0,1013,2232,
05/05/2001,2243,29,29,0.0,0.0,,,786,0.0,0.0,786.0,0.0,226,,,,,,1041,656,,,0.0,546,189.0,141.0,48.0,,,357,1202,,279,279,,,,54.0,,,,,,290,,,290,623,258,,,,,314,,,,,,314,572,1195,0.0,354.0,,,-1.0,,695.0,1048,0.0,1048,2243,
07/29/2001,2386,189,189,0.0,0.0,,,835,0.0,0.0,835.0,0.0,164,,,,,,1188,643,,,0.0,555,188.0,139.0,49.0,,,367,1198,,327,327,,,,54.0,,,,,,287,,,287,668,405,,,,,276,,,,,,276,681,1349,0.0,358.0,,,0.0,,679.0,1037,0.0,1037,2386,
11/03/2001,2339,62,62,0.0,0.0,,,943,0.0,0.0,943.0,943.0,113,,,,,,1118,639,,,0.0,582,137.0,137.0,0.0,,,445,1221,,348,348,,,,34.0,,,,,,236,,,236,618,366,,,,,280,,,,,,280,646,1264,0.0,360.0,,,,761.0,-46.0,1075,0.0,1075,2339,
02/02/2002,2297,215,215,0.0,0.0,,,793,0.0,0.0,793.0,0.0,107,,,,,,1115,637,1234.0,-597.0,0.0,545,191.0,135.0,56.0,,,354,1182,,272,272,,,,34.0,,,,,,240,,,240,546,365,,,,,394,,,,,,394,759,1305,0.0,363.0,,,0.0,,629.0,992,0.0,992,2297,
05/04/2002,2365,278,278,0.0,0.0,,,839,0.0,0.0,839.0,0.0,89,,,,,,1206,626,,,0.0,533,,194.0,,,,533,1159,,353,353,,,,32.0,,,,,,205,,,205,590,365,,,,,384,,,,,,384,749,1339,0.0,367.0,,,0.0,,659.0,1026,0.0,1026,2365,
08/03/2002,2463,307,307,0.0,0.0,,,887,0.0,0.0,887.0,0.0,113,,,,,,1307,626,,,0.0,530,202.0,135.0,67.0,,,328,1156,,389,389,,,,31.0,,,,,,231,,,231,651,363,,,,,372,,,,,,372,735,1386,0.0,373.0,,,0.0,848.0,-144.0,1077,0.0,1077,2463,
11/02/2002,2502,255,255,0.0,0.0,,,973,0.0,0.0,973.0,973.0,140,,,,,,1368,628,,,0.0,506,205.0,205.0,0.0,,,301,1134,,411,411,,,,1.0,,,,,,243,,,243,655,356,,,,,366,,,,,,366,722,1377,0.0,374.0,,,-1.0,893.0,-141.0,1125,0.0,1125,2502,
