Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adjustments,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch in Operating Loans,Accrued Interest Receivable,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,99.028,12.766,7.053,,2.852,,2.852,76.357002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,49.372002,13.804,8.331,,2.539,,2.539,24.698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,8.188,14.402,9.27,,1.436,,1.436,-16.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,-72.913002,12.97,10.874,,1.698,,1.698,-98.455002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72.913002,,,
03/31/1991,164.889008,15.323,12.917,,1.5,,1.5,135.149002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,37.584,16.309,13.687,,1.106,,1.106,6.482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,36.176998,17.354,24.645,,-4.341,,-4.341,-1.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,21.070999,18.208,21.774,,1.447,,1.447,-20.358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.070999,,,
03/31/1992,-29.406,27.538,20.604,,-14.503,,-14.503,-63.044998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,147.490005,27.761999,26.856001,,-17.676001,,-17.676001,110.547997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,181.835999,21.011999,25.143999,,-3.172,,-3.172,138.852005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,17.392,21.625,25.355,,-4.228,,-4.228,-25.360001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.392,,,
03/31/1993,160.274994,24.322001,22.434,,-3.984,,-3.984,117.502998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,-109.183998,25.184999,24.101,,-1.621,,-1.621,-156.848999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,110.540001,25.851999,23.837999,,11.976,,11.976,48.874001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,23.122999,26.632999,34.860001,,4.866,,4.866,-43.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.122999,,,
03/31/1994,166.393997,27.628,25.422001,,-6.092,,-6.092,119.435997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,39.734001,28.681,17.405001,,-12.595,,-12.595,6.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,68.535004,29.098,18.198,,-3.674,,-3.674,24.913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,62.560001,31.888,17.136,,17.934999,,17.934999,-4.399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.560001,,,
03/31/1995,18.844,27.167999,13.262,,-2.866,,-2.866,-18.719999,,,,,,,-2.72,,-2.72,,,,,,,,,,,,,,,,,,2.72,,,,,,,,,,,,,,,,,
06/30/1995,-26.926001,31.454,13.277,,-1.664,,-1.664,-69.992996,,,,,,,-3.198,,-3.198,,,,,,,,,,,,,,,,,,3.198,,,,,,,,,,,,,,,,,
09/30/1995,43.444,35.626999,16.212999,,-9.586,,-9.586,1.19,,,,,,,-4.545,,-4.545,,,,,,,,,,,,,,,,,,4.545,,,,,,,,,,,,,,,,,
12/31/1995,73.170998,36.786999,16.128,,5.738,,5.738,14.518,,,,,,-7.057,-7.057,,-7.057,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,66.113998,,,
03/31/1996,24.962999,36.153,14.613,,-2.14,,-2.14,-23.663,,,,,,,-3.744,,-3.744,,,,,,,,,,,,,,,,,,3.744,,,,,,,,,,,,,,,,,
06/30/1996,52.456001,38.659,16.648001,,0.995,,0.995,-3.846,,,,,,,-3.174,,-3.174,,,,,,,,,,,,,,,,,,3.174,,,,,,,,,,,,,,,,,
09/30/1996,92.739998,35.870998,15.893,,7.059,,7.059,33.917,,,,,,,-4.913,,-4.913,,,,,,,,,,,,,,,,,,4.913,,,,,,,,,,,,,,,,,
12/31/1996,64.015999,40.419998,15.628,,0.198,,0.198,7.77,,,,,,-8.502,-8.502,,-8.502,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,55.513999,,,
03/31/1997,155.274002,41.258999,16.122999,,-4.102,,-4.102,101.994003,,,,,,,-1.961,,-1.961,,,,,,,,,,,,,,,,,,1.961,,,,,,,,,,,,,,,,,
06/30/1997,42.526001,42.791,16.171,,5.173,,5.173,-21.608999,,,,,,,-3.689,,-3.689,,,,,,,,,,,,,,,,,,3.689,,,,,,,,,,,,,,,,,
09/30/1997,108.207001,45.890999,17.385,,-2.64,,-2.64,47.570999,,,,,,,-1.867,,-1.867,,,,,,,,,,,,,,,,,,1.867,,,,,,,,,,,,,,,,,
