Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/20/1999,1452.0,,-835.0,,617.0,,-575.0,,,42.0,-47.0,46.0,46.0,1.0,0.0,-5.0,2.0,-3.0,0.0,,,-3.0,0.0,-3.0,0.0,,-3.0,-3.0,,110.0,-0.03,-0.03,-0.03,110.0,-0.03,-0.03,-0.03,
06/12/1999,1831.0,,-1046.0,,785.0,,-648.0,,,137.0,-95.0,51.0,51.0,-1.0,45.0,42.0,-15.0,27.0,0.0,,,27.0,-7.0,20.0,0.0,,20.0,20.0,,284.0,0.07,0.07,0.16,284.0,0.07,0.07,0.16,
09/04/1999,2036.0,,-1162.0,,874.0,,-669.0,,,205.0,-45.0,44.0,44.0,1.0,0.0,160.0,-56.0,104.0,0.0,,,104.0,-12.0,92.0,0.0,,92.0,92.0,,310.0,0.295,0.295,0.295,310.0,0.295,0.295,0.295,
12/25/1999,2186.0,,-1253.0,,933.0,,-921.0,,,12.0,0.0,61.0,61.0,0.0,-61.0,12.0,-1.0,11.0,0.0,,,11.0,-2.0,9.0,0.0,,9.0,9.0,,306.0,0.03,0.03,-0.095,306.0,0.03,0.03,-0.095,
03/18/2000,1545.0,,-845.0,,700.0,,-625.0,,,75.0,-45.0,45.0,,0.0,0.0,30.0,-10.0,20.0,0.0,,,20.0,-3.0,17.0,0.0,0.0,17.0,17.0,,298.0,0.055,0.055,0.055,298.0,0.055,0.055,0.055,
06/10/2000,1913.0,,-1033.0,,880.0,,-689.0,,,191.0,-44.0,44.0,44.0,0.0,0.0,147.0,-50.0,97.0,0.0,,,97.0,-12.0,85.0,0.0,0.0,85.0,85.0,,296.0,0.29,0.29,0.29,296.0,0.29,0.29,0.29,
09/02/2000,2125.0,,-1163.0,,962.0,,-706.0,,,256.0,-45.0,44.0,44.0,1.0,0.0,211.0,-72.0,139.0,0.0,,,139.0,-16.0,123.0,0.0,0.0,123.0,123.0,,294.0,0.42,0.42,0.42,298.0,0.41,0.41,0.41,
12/30/2000,2399.0,,-1364.0,,1035.0,,-967.0,,,68.0,-59.0,59.0,59.0,0.0,0.0,9.0,-3.0,6.0,0.0,,,6.0,-2.0,4.0,0.0,0.0,4.0,4.0,,292.0,0.01,0.01,0.01,298.0,0.01,0.01,0.01,
03/24/2001,1647.0,,-882.0,,765.0,,-675.0,,,90.0,-44.0,44.0,,0.0,0.0,46.0,-15.0,31.0,0.0,,,31.0,-5.0,26.0,0.0,0.0,26.0,26.0,,290.0,0.09,0.09,0.09,299.0,0.085,0.085,0.085,
06/16/2001,2060.0,,-1108.0,,952.0,,-735.0,,,217.0,-46.0,46.0,,0.0,0.0,171.0,-41.0,130.0,0.0,,,130.0,-14.0,116.0,0.0,0.0,116.0,116.0,,286.0,0.405,0.405,0.355,296.0,0.39,0.39,0.34,
09/08/2001,2274.0,,-1222.0,,1052.0,,-767.0,,,285.0,-45.0,45.0,,0.0,0.0,240.0,-72.0,168.0,0.0,,,168.0,-18.0,150.0,0.0,0.0,150.0,150.0,,285.0,0.525,0.525,0.495,295.0,0.51,0.51,0.48,
12/29/2001,2462.0,,-1368.0,,1094.0,,-1010.0,,,84.0,-59.0,,,0.0,59.0,25.0,-8.0,17.0,0.0,,,17.0,-4.0,13.0,0.0,0.0,13.0,13.0,,283.0,0.05,0.05,0.05,294.0,0.05,0.05,0.05,
03/23/2002,1772.0,,-942.0,,830.0,,-695.0,,,135.0,-45.0,45.0,,0.0,0.0,90.0,-28.0,62.0,0.0,,,62.0,-8.0,54.0,0.0,0.0,54.0,54.0,,280.0,0.19,0.19,0.19,291.0,0.19,0.19,0.19,
06/15/2002,2209.0,,-1185.0,,1024.0,,-753.0,,,271.0,-46.0,46.0,,0.0,0.0,225.0,-70.0,155.0,0.0,,,155.0,-16.0,139.0,0.0,0.0,139.0,139.0,,283.0,0.49,0.49,0.49,296.0,0.47,0.47,0.47,
09/07/2002,2455.0,,-1337.0,,1118.0,,-780.0,,,338.0,-48.0,45.0,,3.0,0.0,290.0,-91.0,199.0,0.0,,,199.0,-21.0,178.0,0.0,0.0,178.0,178.0,,283.0,0.63,0.63,0.63,294.0,0.61,0.61,0.61,
12/28/2002,2780.0,,-1537.0,,1243.0,,-1089.0,,,154.0,-59.0,55.0,55.0,0.0,4.0,95.0,-32.0,63.0,0.0,,,63.0,-6.0,57.0,0.0,0.0,57.0,57.0,,281.0,0.2,0.2,0.2,291.0,0.2,0.2,0.2,
