Date,Total Assets,Cash & Cash Equivalents,Interbanking Assets,Fed Funds Sold & Repos,Other Interbank Assets,ST And LT Investments,Trading Securities/FVTPL,Available for Sales/FVTOCI,Held to Maturity/Amortized at Cost,Other Investments,Total Commercial Loans,Commercial RE Loans,Other Commercial Loans,Total Consumer Loans,Credit Card Loans,Home Equity Loans,1-4 Family Residential Loans,Auto Loans,Student Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Total Derivative Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Demand Deposits,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Total Deposits,ST Borrowings & Repos,Secs Sold Under Repo,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,LT Borrowings,Pension Liabilities,Total Deferred Tax Liabilities,Total Derivative Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2012,127053,3063,1226,1100.0,126,19417,,18356,,1061,38730,9874,28856,34061,,2960,31101,,,0,15103,87894,-1255,86639,643,643,11311,11311,0,1201.0,1155,0,2398,,25931,69217,57553,11664,0,95148,4102,3601.0,0.0,0.0,,501,694,0.0,0.0,,694,303.0,446,1318,913,102924,0,18595,0,18595,0.0,5846,-312,24129,0,24129,127053,
09/30/2013,120074,838,1980,,1980,20852,,19888,,964,39084,10100,28984,32043,,2281,29762,,,0,14673,85800,-1219,84581,648,648,6876,6876,0,,742,0,3557,,25919,68011,56076,11935,0,93930,3426,3424.0,,,,2,1064,,,,1064,,147,1008,1086,100661,0,18595,6,18589,0.0,1457,-639,19413,0,19413,120074,
12/31/2013,122154,1406,1584,,1584,21245,,15995,4315.0,935,39395,10728,28667,45161,1691.0,22139,9726,9397.0,2208.0,0,2557,87113,-1221,85892,592,592,6876,6876,0,1333.0,650,0,2576,,24931,61972,52384,9588,5277,92180,7042,4791.0,,,,2251,1405,,,,1405,102.0,199,939,1091,102958,0,18609,6,18603,0.0,1235,-648,19196,0,19196,122154,
03/31/2014,126892,2852,299,,299,24804,,18412,5457.0,935,40075,10640,29435,31836,,2075,29761,,,0,16551,88462,-1259,87203,574,574,6876,6876,0,,626,0,3658,,25681,61781,52282,9499,5188,92650,11030,6080.0,,,,4950,1403,,,,1403,,319,828,1220,107450,0,18609,0,18609,,1376,-543,19442,0,19442,126892,
06/30/2014,130279,1038,4627,,4627,24823,,18493,5382.0,948,40974,10898,30076,32088,,1972,30116,,,0,16029,89091,-1210,87881,560,560,6876,6876,0,,635,0,3839,,26670,64986,54687,10299,0,91656,14509,6807.0,,,,7702,1732,,,,1732,,403,747,1635,110682,0,18609,6,18603,0.0,1346,-358,19597,0,19597,130279,
09/30/2014,131341,993,2188,,2188,24848,,18666,5289.0,893,41470,11114,30356,32328,,1870,30458,,,0,17159,90957,-1201,89756,541,541,6876,6876,0,,547,0,5592,,25877,67586,55974,11612,0,93463,11899,5184.0,,,,6715,2062,,,,2062,,354,638,3542,111958,0,18666,6,18660,0.0,1152,-435,19383,0,19383,131341,
12/31/2014,132857,1171,2475,,2475,24676,,18656,5148.0,872,43226,11795,31431,49112,1693.0,20625,11832,12706.0,2256.0,0,1353,93691,-1195,92496,595,595,6876,6876,0,1093.0,629,0,2846,,26086,69621,57563,12058,0,95707,10529,4276.0,,,,6253,4642,24.0,24.0,,4618,287.0,493,612,1319,113589,0,18682,6,18676,-336.0,1294,-372,19268,0,19268,132857,
03/31/2015,136535,954,4665,,4665,25086,,19041,5178.0,867,43982,11733,32249,49502,1588.0,20075,11808,13179.0,2852.0,0,1386,94870,-1202,93668,584,584,6876,6876,0,,742,0,3960,,26670,72320,59679,12641,0,98990,11425,4421.0,,,,7004,3904,,,,3904,,586,616,1450,116971,0,18713,6,18707,-357.0,1448,-240,19564,0,19564,136535,
06/30/2015,137251,961,2094,,2094,25095,,18662,5567.0,866,45068,12041,33027,50507,1613.0,19559,12253,13727.0,3355.0,0,1660,97235,-1201,96034,580,580,6876,6876,0,,665,0,4946,,26678,73937,60929,13008,0,100615,10546,3784.0,,,,6762,3890,,,,3890,,558,556,1500,117665,250,18717,6,18711,-607.0,1585,-359,19586,0,19586,137251,
09/30/2015,135447,1067,1052,,1052,24354,50.0,18197,5285.0,822,45250,12524,32726,51205,1628.0,19044,12792,13876.0,3865.0,0,1396,97851,-1201,96650,560,560,6876,6876,0,,838,0,4050,,27373,74493,61900,12593,0,101866,7154,1293.0,,,,5861,4153,,,,4153,,637,641,1396,115847,250,18721,6,18715,-857.0,1745,-259,19600,0,19600,135447,
