Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Acq of Fixed & Intang,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Net Changes in Cash,Cash Paid for Interest,Source: Bloomberg
08/31/1989,-5.668,2.781,0.581,-2.356,-2.356,-6.674,,,,-6.674,,,,,,,,,,,,,,,,,,
11/30/1989,-0.644,2.383,0.581,-2.065,-2.065,-1.543,,,,-1.543,,,,,,,,,,,,,,,,,,
02/28/1990,-1.985,1.076,0.668,-1.989,-1.989,-1.74,,,,-1.74,,,,,,,,,,,,,,,,,,
05/31/1990,5.961,3.49,0.663,-2.085,-2.085,3.893,,,,3.893,,,,,,,,,,,,,,,,5.961,,
08/31/1990,-2.833,2.469,0.627,-2.124,-2.124,-3.805,,,,-3.805,,,,,,,,,,,,,,,,,,
11/30/1990,4.926,1.531,0.626,-2.039,-2.039,4.808,,,,4.808,,,,,,,,,,,,,,,,,,
02/28/1991,1.192,-1.132,0.695,-1.979,-1.979,3.608,,,,3.608,,,,,,,,,,,,,,,,,,
05/31/1991,0.025,2.362,0.693,-1.878,-1.878,-1.152,,,,-1.152,,,,,,,,,,,,,,,,0.025,,
08/31/1991,-1.337,1.746,0.648,-1.496,-1.496,-2.235,,,,-2.235,,,,,,,,,,,,,,,,,,
11/30/1991,4.462,1.122,0.642,-1.515,-1.515,4.213,,,,4.213,,,,,,,,,,,,,,,,,,
02/29/1992,-5.749,0.013,0.684,-1.402,-1.402,-5.044,,,,-5.044,,,,,,,,,,,,,,,,,,
05/31/1992,0.931,2.909,0.682,-1.554,-1.554,-1.106,,,,-1.106,,,,,,,,,,,,,,,,0.931,,
08/31/1992,2.476,2.444,0.659,-1.746,-1.746,1.119,,,,1.119,,,,,,,,,,,,,,,,,,
11/30/1992,-1.196,2.869,0.621,-1.298,-1.298,-3.388,,,,-3.388,,,,,,,,,,,,,,,,,,
02/28/1993,-11.244,1.472,0.703,-1.358,-1.358,-12.061,,,,-12.061,,,,,,,,,,,,,,,,,,
05/31/1993,9.042,3.156,0.702,-1.318,-1.318,6.502,,,,6.502,,,,,,,,,,,,,,,,9.042,,
08/31/1993,8.839,3.001,0.657,-0.779,-0.779,5.96,,,,5.96,,,,,,,,,,,,,,,,,,
11/30/1993,5.268,4.273,0.684,-1.389,-1.389,1.7,,,,1.7,,,,,,,,,,,,,,,,,,
02/28/1994,-11.214,2.44,0.778,-1.148,-1.148,-13.284,,,,-13.284,,,,,,,,,,,,,,,,,,
05/31/1994,9.364,5.287,0.76,-1.416,-1.416,4.733,,,,4.733,,,,,,,,,,,,,,,,9.364,,
