Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2012,2338.0,1592.0,746.0,-1019.0,1019.0,1319.0,0.0,-1056.0,133.0,133.0,,156.0,767.0,263.0,-151.0,142.0,146.0,-4.0,4.0,12.0,-7.0,112.0,-48.0,64.0,0.0,0.0,0.0,64.0,-3.0,61.0,0.0,0.0,61.0,77.0,16.0,306.999969,0.198697,0.198697,0.250814,306.999969,0.198697,0.198697,0.250814,
03/31/2013,2263.0,1422.0,841.0,-913.0,913.0,1350.0,0.0,-1098.0,97.0,97.0,,160.0,841.0,252.0,-176.0,141.0,143.0,-2.0,43.0,-1.0,-7.0,76.0,-38.0,38.0,0.0,0.0,0.0,38.0,-4.0,34.0,0.0,0.0,34.0,41.15,7.15,306.999969,0.09,0.09,0.134039,306.999969,0.09,0.09,0.11329,
06/30/2013,2380.0,1630.0,750.0,-985.0,985.0,1395.0,0.0,-991.0,92.0,92.0,,149.0,750.0,404.0,-163.0,130.0,131.0,-1.0,39.0,-7.0,1.0,241.0,-84.0,157.0,0.0,0.0,0.0,157.0,-2.0,155.0,0.0,0.0,155.0,160.85,5.85,306.999969,0.51,0.51,0.523941,306.999969,0.51,0.51,0.523941,
09/30/2013,2449.0,1607.0,842.0,-974.0,974.0,1475.0,0.0,-1118.0,130.0,130.0,,146.0,842.0,357.0,-84.0,125.0,127.0,-2.0,-39.0,-3.0,1.0,273.0,-70.0,203.0,0.0,0.0,0.0,203.0,-3.0,200.0,0.0,0.0,200.0,223.4,23.4,306.999969,0.66,0.66,0.727687,306.999969,0.66,0.66,0.727687,
12/31/2013,2643.0,1671.0,972.0,-1005.0,1005.0,1638.0,0.0,-1549.0,429.0,429.0,,148.0,972.0,89.0,19.0,215.0,219.0,-4.0,2.0,-5.0,-231.0,108.0,-46.0,62.0,0.0,0.0,0.0,62.0,-36.0,26.0,0.0,0.0,26.0,-331.98,-357.98,310.333302,0.09,0.09,-1.069752,310.333302,0.09,0.09,-1.069752,
03/31/2014,2363.0,1536.0,827.0,-948.0,948.0,1415.0,0.0,-1077.0,97.0,97.0,,153.0,827.0,338.0,-131.0,152.0,153.0,-1.0,-14.0,-4.0,-3.0,207.0,-83.0,124.0,0.0,0.0,0.0,124.0,-1.0,123.0,0.0,0.0,123.0,131.45,8.45,328.333301,0.36,0.36,0.400356,328.333301,0.36,0.36,0.385737,
06/30/2014,2667.0,1747.0,920.0,-1021.0,1021.0,1646.0,0.0,-1211.0,133.0,133.0,,158.0,920.0,435.0,-102.0,153.0,158.0,-5.0,-32.0,-8.0,-11.0,333.0,-121.0,212.0,0.0,0.0,0.0,212.0,-3.0,209.0,0.0,0.0,209.0,212.9,3.9,328.333301,0.63,0.63,0.648426,328.333301,0.63,0.63,0.641877,
09/30/2014,2644.0,1738.0,906.0,-1015.0,1015.0,1629.0,0.0,-1184.0,119.0,119.0,,159.0,906.0,445.0,-131.0,154.0,156.0,-2.0,5.0,-4.0,-24.0,314.0,-127.0,187.0,0.0,0.0,0.0,187.0,-4.0,183.0,0.0,0.0,183.0,177.973529,-5.026471,328.333301,0.57,0.57,0.542052,328.999967,0.57,0.57,0.542052,
12/31/2014,2828.0,1790.0,1038.0,-1035.0,1035.0,1793.0,0.0,-1338.0,142.0,142.0,,158.0,1038.0,455.0,-162.0,149.0,151.0,-2.0,15.0,-3.0,1.0,293.0,-134.0,159.0,0.0,0.0,0.0,159.0,-1.0,158.0,0.0,0.0,158.0,173.6,15.6,328.333301,0.48,0.48,0.528732,328.999967,0.48,0.48,0.527415,
03/31/2015,2599.0,1649.0,950.0,-1002.0,1002.0,1597.0,0.0,-1107.0,127.0,127.0,,175.0,805.0,490.0,-177.0,138.0,144.0,-6.0,18.0,-4.0,25.0,313.0,-163.0,150.0,0.0,0.0,0.0,150.0,0.0,150.0,0.0,0.0,150.0,114.152174,-35.847826,328.666634,0.45,0.45,0.347319,329.3333,0.45,0.45,0.341151,
06/30/2015,2922.0,1861.0,1061.0,-1037.0,1037.0,1885.0,0.0,-1458.0,221.0,221.0,,173.0,1064.0,427.0,-115.0,147.0,149.0,-2.0,-5.0,-9.0,-18.0,312.0,-145.0,167.0,0.0,0.0,0.0,167.0,-6.0,161.0,0.0,0.0,161.0,186.565217,25.565217,328.999967,0.48,0.48,0.567069,329.666634,0.48,0.48,0.55755,
09/30/2015,2895.0,1832.0,1063.0,-1017.0,1017.0,1878.0,0.0,-1215.0,145.0,145.0,,171.0,899.0,663.0,-133.0,135.0,138.0,-3.0,8.0,-9.0,-1.0,530.0,-247.0,283.0,0.0,0.0,0.0,283.0,-4.0,279.0,0.0,0.0,279.0,229.0,-50.0,328.999967,0.84,0.84,0.696048,329.666634,0.84,0.84,0.688332,
12/31/2015,2856.0,1800.0,1056.0,-1009.0,1009.0,1847.0,0.0,-1356.0,118.0,118.0,,173.0,1065.0,491.0,-150.0,136.0,144.0,-8.0,20.0,-1.0,-5.0,341.0,475.0,816.0,0.0,0.0,0.0,816.0,-2.0,814.0,0.0,0.0,814.0,211.45,-602.55,109.666656,7.410001,7.410001,1.928115,109.999989,7.410001,7.410001,1.928115,
03/31/2016,1726.0,415.0,1311.0,-307.0,307.0,1419.0,0.0,-1249.0,83.0,83.0,,92.0,1074.0,170.0,-100.0,,90.0,,12.0,,-2.0,70.0,121.0,191.0,-119.0,-119.0,0.0,310.0,-1.0,309.0,0.0,0.0,309.0,47.0,-143.0,329.003257,0.93999,0.579993,0.142857,330.003267,0.93999,0.579993,0.142857,
06/30/2016,1950.0,491.0,1459.0,-349.0,349.0,1601.0,0.0,-1328.0,97.0,97.0,,91.0,1140.0,273.0,-110.0,,99.0,,14.0,,-3.0,163.0,-63.0,100.0,-144.0,-144.0,0.0,244.0,-5.0,239.0,0.0,0.0,239.0,95.35,0.35,329.000296,0.729999,0.290001,0.289818,330.000297,0.72,0.290001,0.289818,
09/30/2016,1867.0,465.0,1402.0,-325.0,325.0,1542.0,0.0,-1277.0,107.0,107.0,,90.0,1080.0,265.0,-107.0,,97.0,,10.0,,0.0,158.0,-69.0,89.0,-103.0,-103.0,0.0,192.0,-5.0,187.0,0.0,0.0,187.0,96.0,12.0,329.003257,0.569994,0.269997,0.291789,331.003277,0.569994,0.269997,0.291789,
12/31/2016,1033.0,435.0,598.0,-298.0,298.0,735.0,0.0,-575.0,122.0,122.0,,80.0,373.0,160.0,-11.0,48.0,48.0,0.0,-20.0,,-17.0,149.0,-546.0,-397.0,-5.0,-5.0,0.0,-392.0,-5.0,-397.0,0.0,0.0,-397.0,-276.55,125.45,109.974322,-3.609879,-3.609879,-2.514678,109.974322,-3.609879,-3.609879,-2.514678,
03/31/2017,1896.0,426.0,1470.0,-268.0,268.0,1628.0,0.0,-1411.0,106.0,106.0,,86.0,1219.0,217.0,-151.0,,89.0,,4.0,,58.0,66.0,-18.0,48.0,0.0,0.0,0.0,48.0,-1.0,47.0,0.0,0.0,47.0,124.999971,77.999971,330.0,0.14,0.14,0.378788,331.0,0.14,0.14,0.37565,
06/30/2017,2076.0,511.0,1565.0,-327.0,327.0,1749.0,0.0,-1425.0,118.0,118.0,0.0,83.0,1224.0,324.0,-74.0,,86.0,,-5.0,,-7.0,250.0,-99.0,151.0,0.0,0.0,0.0,151.0,-1.0,150.0,0.0,0.0,150.0,167.25,17.25,327.0,0.46,0.46,0.511468,329.0,0.46,0.46,0.511468,
09/30/2017,2091.0,520.0,1571.0,-340.0,340.0,1751.0,0.0,-1419.0,106.0,106.0,,83.0,1230.0,332.0,-76.0,85.0,85.0,0.0,-2.0,,-7.0,256.0,-96.0,160.0,0.0,0.0,0.0,160.0,-2.0,158.0,0.0,0.0,158.0,181.0,23.0,322.0,0.49,0.49,0.562112,325.0,0.49,0.49,0.560769,
12/31/2017,2068.0,521.0,1547.0,-334.0,334.0,1734.0,0.0,-1475.0,109.0,109.0,,84.0,1282.0,259.0,-78.0,91.0,91.0,0.0,0.0,,-13.0,181.0,549.0,730.0,0.0,0.0,0.0,730.0,-1.0,729.0,0.0,0.0,729.0,124.55,-604.45,319.0,2.29,2.29,0.390439,322.0,2.27,2.27,0.390439,
03/31/2018,2074.0,466.0,1608.0,-320.0,320.0,1754.0,0.0,-1475.0,104.0,104.0,,82.0,1289.0,279.0,-58.0,83.0,83.0,0.0,-11.0,,-14.0,221.0,-58.0,163.0,0.0,0.0,0.0,163.0,-2.0,161.0,0.0,0.0,161.0,174.999993,13.999993,316.0,0.51,0.51,0.553797,319.0,0.51,0.51,0.553797,
06/30/2018,2291.0,535.0,1756.0,-352.0,352.0,1939.0,0.0,-1533.0,115.0,115.0,,79.0,1339.0,406.0,-108.0,95.0,95.0,0.0,12.0,,1.0,298.0,-81.0,217.0,0.0,0.0,0.0,217.0,0.0,217.0,0.0,0.0,217.0,210.0,-7.0,301.0,0.72,0.72,0.697674,303.0,0.71,0.71,0.686898,
09/30/2018,2253.0,510.0,1743.0,-331.0,331.0,1922.0,0.0,-1537.0,109.0,109.0,,81.0,1347.0,385.0,-92.0,99.0,99.0,0.0,6.0,,-13.0,293.0,-129.0,164.0,0.0,0.0,0.0,164.0,-2.0,162.0,0.0,0.0,162.0,231.588235,69.588235,297.0,0.55,0.55,0.779758,300.0,0.54,0.54,0.771961,
12/31/2018,2288.0,529.0,1759.0,-329.0,329.0,1959.0,0.0,-1597.0,115.0,115.0,,83.0,1399.0,362.0,-96.0,94.0,94.0,0.0,4.0,,-2.0,266.0,-41.0,225.0,0.0,0.0,0.0,225.0,-1.0,224.0,0.0,0.0,224.0,234.568421,10.568421,296.0,0.76,0.76,0.792461,298.0,0.75,0.75,0.785465,
03/31/2019,2204.0,447.0,1757.0,-298.0,298.0,1906.0,0.0,-1594.0,107.0,107.0,,84.0,1403.0,312.0,-94.0,98.0,98.0,0.0,0.0,,-4.0,218.0,-59.0,159.0,0.0,0.0,0.0,159.0,-1.0,158.0,0.0,0.0,158.0,184.6,26.6,293.0,0.54,0.54,0.630034,295.0,0.54,0.54,0.630034,
06/30/2019,2484.0,534.0,1950.0,-334.0,334.0,2150.0,0.0,-1672.0,113.0,113.0,,86.0,1473.0,478.0,-116.0,101.0,101.0,0.0,3.0,,12.0,362.0,-101.0,261.0,0.0,0.0,0.0,261.0,-1.0,260.0,0.0,0.0,260.0,255.901639,-4.098361,290.0,0.9,0.9,0.882419,292.0,0.89,0.89,0.875965,
09/30/2019,2395.0,495.0,1900.0,-310.0,310.0,2085.0,0.0,-1566.0,107.0,107.0,,86.0,1373.0,519.0,-98.0,105.0,105.0,0.0,-7.0,,0.0,421.0,-131.0,290.0,0.0,0.0,0.0,290.0,-2.0,288.0,0.0,0.0,288.0,710.5,422.5,285.0,1.01,1.01,2.492982,288.0,1.0,1.0,2.467014,
12/31/2019,2369.0,508.0,1861.0,-312.0,312.0,2057.0,0.0,-1709.0,114.0,114.0,,90.0,1505.0,348.0,-105.0,110.0,110.0,0.0,6.0,,-11.0,243.0,-67.0,176.0,0.0,0.0,0.0,176.0,-1.0,175.0,0.0,0.0,175.0,232.205674,57.205674,281.0,0.62,0.62,0.826355,284.0,0.61,0.61,0.811428,
03/31/2020,1920.0,293.0,1627.0,-239.0,239.0,1681.0,0.0,-1613.0,60.0,60.0,,91.0,1462.0,68.0,-85.0,94.0,94.0,0.0,-9.0,,0.0,-17.0,35.0,18.0,0.0,0.0,0.0,18.0,0.0,18.0,0.0,0.0,18.0,159.927711,141.927711,277.0,0.06,0.06,0.577356,280.0,0.06,0.06,0.566885,
06/30/2020,564.0,34.0,530.0,-95.0,95.0,469.0,0.0,-771.0,63.0,63.0,,88.0,620.0,-302.0,-142.0,106.0,106.0,0.0,13.0,,23.0,-444.0,12.0,-432.0,0.0,0.0,0.0,-432.0,2.0,-430.0,0.0,0.0,-430.0,-217.59322,212.40678,277.0,-1.55,-1.55,-0.785535,278.0,-1.55,-1.55,-0.785947,
09/30/2020,1004.333,,,,,610.67463732,,,,,,,,31.969,,,,,,,,-90.418,,-75.107,,,,,,-75.107,,,-75.107,-5.241,,,-0.236,-0.236,-0.021,,-0.236,-0.236,-0.021,
12/31/2020,1354.5,,,,,796.09383,,,,,,,,100.407,,,,,,,,-25.218,,-35.971,,,,,,-35.971,,,-35.971,49.957,,,-0.084,-0.084,0.203,,-0.084,-0.084,0.203,
