Date,Revenue,Revenue From Electric,Regulated Electric Revenue,Unregulated Electric Revenue,Revenue from Gas,Regulated Gas Revenue,Unregulated Gas Revenue,Revenue from Water,Other Revenue,Intracompany Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Purchased Power Cost,Purchased Gas & Water Cost,Purchased Gas Cost,Other Cost of Revenue,Intracompany Cost,Gross Profit,Operating Expenses,Maintenance Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",AFUDC - Equity,Interest Expense,Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,855.416016,855.416016,,,0.0,,,0.0,0.0,,-283.936005,283.936005,148.337997,135.598007,0.0,,,,571.480011,-365.522003,89.096001,101.237,49.424,125.764999,205.957993,-17.056997,,18.457001,59.994999,62.368999,-6.733,4.359,-24.481001,188.900995,-61.855999,,127.044998,0.0,,,127.044996,0.0,127.044998,-12.961,,114.083998,114.083998,,135.04265,0.8475,0.8475,0.8475,135.04265,0.8475,0.8475,0.8475,
06/30/1990,870.315002,870.315002,,,0.0,,,0.0,0.0,,-288.416992,288.416992,156.238998,132.177994,0.0,,,,581.89801,-388.725006,103.350998,101.095001,46.783001,137.496002,193.173004,-23.008999,,19.256001,62.556999,65.286003,-7.025,4.296,-20.292,170.164005,-53.228001,,116.935997,0.0,,,116.936005,0.0,116.935997,-12.979,,103.956997,103.956997,,135.043983,0.765,0.765,0.765,135.043983,0.765,0.765,0.765,
09/30/1990,1105.022949,1105.022949,,,0.0,,,0.0,0.0,,-343.523987,343.524002,207.975006,135.548996,0.0,,,,761.498962,-391.428986,91.370003,101.108002,52.931999,146.018997,370.070007,-44.680002,,20.628,64.038002,66.458,-8.227,5.807,1.27,325.390006,-111.625,,213.764999,0.0,,,213.765006,0.0,213.764999,-12.863,,200.901999,200.901999,,135.047991,1.485,1.485,1.485,135.047991,1.485,1.485,1.485,
12/31/1990,850.713013,850.713013,,,0.0,,,0.0,0.0,,-285.790985,285.791,147.746002,138.044998,0.0,,,,564.922028,-425.627991,120.014,102.321999,47.948002,155.343994,139.294006,-33.203004,,20.834999,64.745003,66.220001,-8.309,6.834,-10.707,106.091002,-25.649,,80.442001,0.0,,,80.442002,0.0,80.442001,-13.813,,66.629002,66.629002,,135.05265,0.495,0.495,0.495,135.05265,0.495,0.495,0.495,
03/31/1991,886.638,886.638,,,0.0,,,0.0,0.0,,-265.718994,265.719009,133.964005,131.755005,0.0,,,,620.919006,-385.651001,88.262001,105.039001,50.273998,142.076004,235.268005,-32.764999,,21.040001,64.791,66.697998,-8.146,6.239,-10.986,202.503006,-65.103996,,137.399002,0.0,,,137.39901,0.0,137.399002,-14.009,,123.390002,123.390002,,135.057319,0.915,0.915,0.915,135.057319,0.915,0.915,0.915,
06/30/1991,893.638,893.638,,,0.0,,,0.0,0.0,,-288.084991,288.084999,161.742996,126.342003,0.0,,,,605.553009,-379.294006,77.363998,106.265999,49.903,145.761002,226.259003,-24.250999,,16.882,66.43,69.170998,-6.536,3.795,-25.297001,202.008003,-63.613998,,138.393997,0.0,,,138.394005,0.0,138.393997,-13.729,,124.664997,124.664997,,135.203315,0.915,0.915,0.915,135.203315,0.915,0.915,0.915,
09/30/1991,1096.416016,1096.416016,,,0.0,,,0.0,0.0,,-329.889008,329.888992,191.274994,138.613998,0.0,,,,766.527008,-408.641998,87.166,106.554001,55.988998,158.932999,357.88501,-33.235999,,7.614,71.307999,69.178001,-2.799,4.929,-30.458,324.649011,-116.842003,,207.807007,0.0,,,207.807008,0.0,207.807007,-13.523,,194.284007,194.284007,,135.81799,1.44,1.44,1.44,135.81799,1.44,1.44,1.44,
12/31/1991,940.268005,940.268005,,,0.0,,,0.0,0.0,,-319.872009,319.871994,170.742996,149.128998,0.0,,,,620.395996,-439.524994,101.887001,113.764999,48.521999,175.350998,180.871002,-30.264995,,5.168,71.575996,69.614998,-1.91,3.871,-36.143002,150.606008,-50.583,,100.023003,0.0,,,100.023007,0.0,100.023003,-13.422,,86.601003,86.601003,,136.403988,0.63,0.63,0.63,136.403988,0.63,0.63,0.63,
03/31/1992,981.330017,981.330017,,,0.0,,,0.0,0.0,,-309.007996,309.008011,164.779007,144.229004,0.0,,,,672.322021,-450.210999,102.558998,123.962997,54.508999,169.179993,222.110992,-51.594997,,2.81,72.005997,69.355003,-1.103,3.754,-17.601,170.515996,-64.151001,,106.364998,0.0,,,106.364995,0.0,106.364998,-13.32,,93.044998,93.044998,,136.467984,0.675,0.675,0.675,136.467984,0.675,0.675,0.675,
06/30/1992,899.31897,899.31897,,,0.0,,,0.0,0.0,,-275.225006,275.225006,140.393005,134.832001,0.0,,,,624.093964,-422.643005,99.611,123.282997,52.217999,147.531006,201.451004,-62.082001,,4.051,76.581001,65.457001,-1.589,12.713,-10.448,139.369003,-52.431,,86.938004,0.0,,,86.938003,0.0,86.938004,-14.361,,72.577003,72.577003,,136.571316,0.54,0.54,0.54,136.571316,0.54,0.54,0.54,
