Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Other ST Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,2522.800049,65.700002,65.400002,0.3,483.899994,,,370.399994,,,,,106.300003,,,1026.300049,1194.099976,2472.800049,-1278.699951,,302.399994,,,,,302.399994,1496.499969,,395.0,395.0,,197.600006,,,,23.600006,23.600006,616.200012,536.200012,,,,216.899994,,,216.899994,753.100006,1369.300018,0.0,323.700012,,,-339.399994,,1169.199982,1153.5,0,1153.5,2522.800018,
06/30/1990,2593.0,35.700002,35.400002,0.3,543.5,,,338.600006,,,,,109.699997,,,1027.5,1245.0,2555.600098,-1310.599976,,320.5,,,,,320.5,1565.5,,407.0,407.0,,223.5,,,,21.5,21.5,652.0,494.799988,,,,254.0,,,254.0,748.799988,1400.799988,0.0,323.600006,,,-351.200012,,1219.799988,1192.199982,0,1192.199982,2592.999969,
09/30/1990,2618.600098,49.899998,49.599998,0.3,479.399994,,,358.399994,,,,,112.300003,,,1000.0,1294.099976,2640.699951,-1346.599976,,324.5,,,,,324.5,1618.599976,,419.0,419.0,,99.599998,,,,16.600014,16.600014,535.200012,597.599976,,,,270.100006,,,270.100006,867.699982,1402.899994,0.0,323.5,,,-355.100006,,1247.300018,1215.700012,0,1215.700012,2618.600006,
12/31/1990,2702.0,65.0,65.0,0.0,458.0,,,386.0,,,,,100.0,,,1009.0,1390.0,2770.0,-1380.0,1.0,302.0,,,,,302.0,1693.0,,229.0,229.0,,81.0,,,,275.0,275.0,585.0,598.0,,,,286.0,,,286.0,884.0,1469.0,0.0,324.0,,,-357.0,,1266.0,1233.0,0,1233.0,2702.0,
03/31/1991,2805.600098,24.3,24.0,0.3,481.0,,,432.5,,,,,132.100006,,,1069.900024,1428.099976,2866.100098,-1438.0,,307.600006,,,,,307.600006,1735.699982,,420.600006,420.600006,,103.199997,,,,19.299973,19.299973,543.099976,667.099976,,,,336.5,,,336.5,1003.599976,1546.699951,0.0,323.100006,,,-353.200012,,1289.0,1258.899994,0,1258.899994,2805.599945,
06/30/1991,2835.899902,47.899998,47.599998,0.3,540.799988,,,366.5,,,,,144.899994,,,1100.099976,1436.5,2908.5,-1472.0,,299.299988,,,,,299.299988,1735.799988,,394.0,394.0,,130.600006,,,,9.699982,9.699982,534.299988,664.700012,,,,340.399994,,,340.399994,1005.100006,1539.399994,0.0,322.899994,,,-349.700012,,1323.299988,1296.499969,0,1296.499969,2835.899963,
09/30/1991,2808.199951,133.999997,133.699997,0.3,461.399994,,,339.399994,,,,,135.5,,,1070.300049,1448.0,2957.600098,-1509.599976,,289.899994,,,,,289.899994,1737.899994,,409.5,409.5,,41.5,,,,14.399994,14.399994,465.399994,664.0,,,,360.100006,,,360.100006,1024.100006,1489.5,0.0,323.299988,,,-348.799988,,1344.200012,1318.700012,0,1318.700012,2808.200012,
12/31/1991,2897.0,208.0,208.0,0.0,473.0,,,343.0,,,,,117.0,,,1141.0,1470.0,3015.0,-1545.0,31.0,255.0,,,,,255.0,1756.0,,192.0,192.0,,35.0,,,,308.0,308.0,535.0,718.0,,,,413.0,,,413.0,1131.0,1666.0,0.0,227.0,,,-349.0,,1353.0,1231.0,0,1231.0,2897.0,
03/31/1992,3069.0,131.0,131.0,0.0,545.0,,,359.0,,,,,124.0,,,1159.0,1474.0,3058.0,-1584.0,,436.0,,,,,436.0,1910.0,,420.0,420.0,,51.0,,,,50.0,50.0,521.0,727.0,,,,624.0,,,624.0,1351.0,1872.0,0.0,328.0,,,-347.0,,1216.0,1197.0,0,1197.0,3069.0,
06/30/1992,3516.0,50.0,50.0,0.0,702.0,,,396.0,,,,,159.0,,,1307.0,1718.0,3419.0,-1701.0,,491.0,,,,,491.0,2209.0,,485.0,485.0,,138.0,,,,50.0,50.0,673.0,739.0,,,,671.0,,,671.0,1410.0,2083.0,136.0,345.0,,,-327.0,,1279.0,1433.0,0,1433.0,3516.0,
