Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
10/24/1992,84.539001,2.661,2.661,0.0,44.058998,,,29.319,,,,,1.82,,,,77.859001,5.994,,,0.143,,0.543,,,,0.543,6.68,,25.215,25.215,,,,5.974,,,,,,9.108001,,,9.108001,40.297001,16.122,,,,,11.78,,,,,,11.78,27.901999,68.199,22.0,13.594,,,0.0,,-19.254,16.34,0.0,16.34,84.539001,
01/23/1993,97.522003,13.953,13.953,0.0,42.066002,,,32.354,,,,,1.292,,,,89.665001,7.16,,,0.0,,0.697,,,,0.697,7.857,,26.445999,26.445999,,,,0.054,,,,,,9.863,,,9.863,36.362999,0.0,,,,,11.559,,,,,,11.559,11.559,47.921999,22.0,30.205,,,0.0,,-2.605,49.6,0.0,49.6,97.521999,
04/24/1993,103.491997,17.128,17.128,0.0,45.041,,,30.559,,,,,1.233,,,,93.960999,8.834,12.922,-4.088,0.196,,0.501,,,,0.501,9.531,,28.159,28.159,,,,0.021,,,,,,10.833,,,10.833,39.013,0.0,,,,,11.337,,,,,,11.337,11.337,50.35,22.117001,30.087999,,,0.0,,0.937,53.142,0.0,53.142,103.492,
07/31/1993,99.762001,4.39,4.39,0.0,47.028999,,,34.758999,,,,,2.087,,,,88.264999,10.788,,,0.0,,0.709,,,,0.709,11.497,,21.752001,21.752001,,,,0.012,,,,,,9.242999,,,9.242999,31.007,0.0,,,,,11.116,,,,,,11.116,11.116,42.123,22.0,30.205,,,0.0,,5.434,57.639,0.0,57.639,99.762,
10/30/1993,123.079002,0.0,0.0,0.0,61.612,,,37.605,,,,,2.27,,,,101.487,20.513,,,0.0,,1.079,,,,1.079,21.592,,24.247999,24.247999,,,,2.953,,,,,,11.995999,,,11.995999,39.196999,10.13,,,,,10.895,,,,,,10.895,21.025001,60.221999,22.0,30.205,,,0.0,,10.652,62.857,0.0,62.857,123.079,
01/20/1994,138.024002,0.354,0.354,0.0,61.297001,,,51.612999,,,,,2.306,,,,115.57,21.407,,,0.0,,1.047,,,,1.047,22.454,,38.877998,38.877998,,,,1.164,,,,,,14.229002,,,14.229002,54.271,5.566,,,,,10.674,,,,,,10.674,16.24,70.511,21.996,30.209,,,0.0,,15.308,67.513,0.0,67.513,138.023999,
04/30/1994,136.195999,3.878,3.878,0.0,65.194,,,44.362999,,,,,2.949,,,,116.384003,19.532,25.729,-6.197,0.249,,0.031,,,,0.031,19.812,,29.603001,29.603001,,,,0.119,,,,,,14.360999,,,14.360999,44.083,10.989,,,,,8.945,,,,,,8.945,19.934,64.017,21.996,30.268,,,0.0,,19.915001,72.179001,0.0,72.179001,136.196001,
07/30/1994,133.604996,0.0,0.0,0.0,62.341,,,45.551998,,,,,4.035,,,,111.928001,21.518999,,,0.0,,0.158,,,,0.158,21.676999,,25.872999,25.872999,,,,4.773,,,,,,11.381001,,,11.381001,42.027,3.389,,,,,10.768,,,,,,10.768,14.157,56.184,21.996,30.268,,,0.0,,25.157,77.421,0.0,77.421,133.605,
10/29/1994,146.501999,9.393,9.393,0.0,66.209999,,,44.776001,,,,,3.459,,,,123.837997,22.556,,,0.0,,0.108,,,,0.108,22.664,,35.825001,35.825001,,,,0.127,,,,,,12.914,,,12.914,48.866001,3.273,,,,,10.546,,,,,,10.546,13.819,62.685001,21.971001,30.292999,,,0.0,,31.552999,83.816999,0.0,83.816999,146.502,
01/28/1995,160.673996,10.421,10.421,0.0,66.638,,,56.904999,,,,,3.867,,,,137.830994,22.746,,,0.0,,0.097,,,,0.097,22.843,,42.742001,42.742001,,,,0.126,,,,,,15.164001,,,15.164001,58.032001,3.09,,,,,10.326,,,,,,10.326,13.416,71.448002,21.955,30.304001,,,0.0,,36.966999,89.226,0.0,89.226,160.674001,
04/29/1995,171.264008,13.57,13.57,0.0,70.996002,,,60.188,,,,,3.729,,,,148.483002,22.486,31.549999,-9.064,0.0,,0.295,,,,0.295,22.781,,42.998001,42.998001,,,,0.136,,,,,,17.552999,,,17.552999,60.687,3.188,,,,,10.198,,,,,,10.198,13.386,74.073,21.948999,30.535999,,,0.0,,44.706001,97.190999,0.0,97.190999,171.263999,
07/29/1995,170.108002,17.216999,17.216999,0.0,67.328003,,,58.369999,,,,,4.71,,,,147.625,22.194,,,0.0,,0.289,,,,0.289,22.483,,34.834999,34.834999,,,,0.138,,,,,,18.189,,,18.189,53.161999,3.126,,,,,9.977,,,,,,9.977,13.103,66.264999,21.948999,30.922001,,,0.0,,50.972,103.843,0.0,103.843,170.107999,
10/28/1995,172.177002,22.836,22.836,0.0,72.683998,,,49.125,,,,,3.287,,,,147.932007,23.201,,,0.0,,1.044,,,,1.044,24.245,,30.531,30.531,,,,0.143,,,,,,17.511001,,,17.511001,48.185001,3.102,,,,,9.756,,,,,,9.756,12.858,61.043001,21.9,31.149,,,0.0,,58.084999,111.133999,0.0,111.133999,172.177,
