Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1993,101,-400,80,465,,465,-44,,,,-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,156,92,85,10,,10,-31,,,,-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,186,61,86,24,,24,15,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,309,38,95,11,,11,165,,,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.0,,,
03/31/1994,155,56,81,4,,4,14,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,145,83,83,8,,8,-29,,,,-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,217,93,83,7,,7,34,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,299,104,82,135,,135,-22,,,,-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.0,,,
03/31/1995,28,132,76,-24,,-24,-156,,,,-156,,,-69.0,,,,-69.0,,,,,,,,,,69.0,,,,,,,,,,,,,,,
06/30/1995,286,158,76,11,,11,41,,,,41,,,-95.0,,,,-95.0,,,,,,,,,,95.0,,,,,,,,,,,,,,,
09/30/1995,291,148,78,94,,94,-29,,,,-29,,,-121.0,,,,-121.0,,,,,,,,,,121.0,,,,,,,,,,,,,,,
12/31/1995,233,121,78,70,,70,-36,,,,-36,,-161.0,-161.0,,,,-161.0,,,,,,,,,,0.0,,,,,,,,,,,,72.0,,,
03/31/1996,6,112,76,-127,,-127,-55,,,,-55,,,-125.0,,,,-125.0,,,,,,,,,,125.0,,,,,,,,,,,,,,,
06/30/1996,226,112,76,16,,16,22,,,,22,,,-185.0,,,,-185.0,,,,,,,,,,185.0,,,,,,,,,,,,,,,
09/30/1996,251,96,80,-5,,-5,80,,,,80,,,-206.0,,,,-206.0,,,,,,,,,,206.0,,,,,,,,,,,,,,,
12/31/1996,263,60,82,61,,61,60,,,,60,,,-273.0,,,,-273.0,,,,,,,,,,273.0,,,,,,,,,,,,,,,
03/31/1997,53,72,79,-7,3.0,-10,-91,-53.0,-19.0,,-19,,-189.0,-167.0,1.0,,,-168.0,,,0.0,0.0,0.0,,,,,-22.0,163.0,-34.0,204.0,,,,-8.0,0.0,-8.0,1.0,,27.0,,,
06/30/1997,191,90,159,-13,-11.0,-2,-45,-90.0,-26.0,,71,,-416.0,-392.0,2.0,,,-394.0,,,0.0,0.0,0.0,,,,,-24.0,169.0,-70.0,244.0,,,,-8.0,0.0,-8.0,3.0,,-56.0,,,
09/30/1997,347,96,242,-1,6.0,-7,10,-54.0,-76.0,,140,,-552.0,-548.0,19.0,,,-567.0,,,0.0,0.0,0.0,,,,,-4.0,75.0,-104.0,182.0,,,,-8.0,0.0,-8.0,5.0,,-130.0,,,
12/31/1997,189,28,85,70,,70,6,,,,6,,-173.0,-181.0,1.0,,,-182.0,,,0.0,0.0,0.0,,,,,8.0,-23.0,-34.0,9.0,,,,0.0,0.0,0.0,2.0,,-7.0,,,
03/31/1998,50,74,82,-1,,-1,-105,,,,-105,,-155.0,-134.0,1.0,,,-135.0,,,0.0,0.0,0.0,,,,,-21.0,119.0,-34.0,147.0,,,,0.0,0.0,0.0,6.0,,14.0,,,
06/30/1998,159,97,86,54,,54,-78,,,,-78,,-133.0,-133.0,0.0,,,-133.0,,,0.0,0.0,0.0,,,,,0.0,-36.0,-36.0,-8.0,,,,0.0,0.0,0.0,8.0,,-10.0,,,
09/30/1998,250,80,90,-17,,-17,97,,,,97,,-132.0,-100.0,0.0,,,-100.0,,,0.0,0.0,0.0,,,,,-32.0,-65.0,-35.0,-32.0,,,,0.0,0.0,0.0,2.0,,53.0,,,
12/31/1998,272,-2,93,92,,92,89,,,,89,,-125.0,-130.0,2.0,,,-132.0,,,0.0,0.0,0.0,,,,,5.0,-204.0,-33.0,-173.0,,,,2.0,2.0,0.0,0.0,,-57.0,,,
