Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,6140,27,27,0.0,442,,,,127,,,,,163,,,,759,5185,,,0.0,,196,,,,196,5381,,704,704.0,,,,54,,,,,,506,,,506,1264,2198,,,,,1537,,,,1537,3735,4999,14.0,964,,,-8.0,,171,1141,,1141,6140,
06/30/1990,6178,22,22,0.0,401,,,,122,,,,,211,,,,756,5224,,,0.0,,198,,,,198,5422,,661,661.0,,,,58,,,,,,492,,,492,1211,2207,,,,,1567,,,,1567,3774,4985,14.0,959,,,,,220,1193,,1193,6178,
09/30/1990,6226,25,25,0.0,456,,,,118,,,,,181,,,,780,5242,,,0.0,,204,,,,204,5446,,634,634.0,,,,56,,,,,,551,,,551,1241,2161,,,,,1596,,,,1596,3757,4998,14.0,959,,,,,255,1228,,1228,6226,
12/31/1990,6075,56,56,0.0,358,,,,117,,,,,94,,,,625,5224,8566.0,-3342.0,0.0,,226,,,,226,5450,,478,478.0,,,,50,,,,,,642,,,642,1170,2083,,,,,1569,,,,1569,3652,4822,12.0,965,,,,,276,1253,,1253,6075,
03/31/1991,6169,30,30,0.0,402,,,,128,,,,,102,,,,662,5284,,,0.0,,223,,,,223,5507,,532,532.0,,,,48,,,,,,630,,,630,1210,2160,,,,,1575,,,,1575,3735,4945,12.0,967,,,,,245,1224,,1224,6169,
06/30/1991,6242,54,54,0.0,411,,,,118,,,,,116,,,,699,5336,,,0.0,,207,,,,207,5543,,510,510.0,,,,51,,,,,,762,,,762,1323,2216,,,,,1917,,,,1917,4133,5456,12.0,973,,,-1.0,,-198,786,,786,6242,
09/30/1991,6271,32,32,0.0,402,,,,116,,,,,125,,,,675,5387,,,0.0,,209,,,,209,5596,,457,457.0,,,,146,,,,,,853,,,853,1456,2142,,,,,1836,,,,1836,3978,5434,12.0,979,,,-1.0,,-153,837,,837,6271,
12/31/1991,6424,16,16,0.0,462,,,,108,,,,,119,,,,705,5506,8846.0,-3340.0,0.0,,213,,,,213,5719,,467,467.0,,,,148,,,,,,807,,,807,1422,1834,,,,,1855,,,,1855,3689,5111,11.0,1343,,,-1.0,,-140,1213,,1213,6324,
03/31/1992,6344,36,36,0.0,446,,,,131,,,,,135,,,,748,5386,,,0.0,,210,,,,210,5596,,493,493.0,,,,149,,,,,,816,,,816,1458,1731,,,,,1882,,,,1882,3613,5071,11.0,1349,,,-1.0,,-86,1273,,1273,6344,
06/30/1992,6384,13,13,0.0,435,,,,137,,,,,131,,,,716,5451,,,0.0,,217,,,,217,5668,,471,471.0,,,,140,,,,,,799,,,799,1410,1779,,,,,1903,,,,1903,3682,5092,11.0,1359,,,-2.0,,-76,1292,,1292,6384,
