Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2005,30.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.355,,,-4.355,-4.355,,5.499,-0.76,-0.76,-0.76,5.499,-0.76,-0.76,-0.76,
07/02/2005,43.96,,,-34.772,,9.188,,-6.076,,,,,,3.112,-0.729,0.729,0.746,-0.017,,0.0,2.383,-1.2,1.183,,,,1.183,,1.183,,,1.183,1.183,,6.433701,0.18,0.18,0.18,16.457415,0.07,0.07,0.07,
10/01/2005,57.418,,,-43.556,,13.862,,-6.485,,,,,,7.377,0.244,-0.245,0.009,-0.254,,0.001,7.621,-3.251,4.37,,,,4.37,,4.37,,,4.37,4.37,,20.028819,0.22,0.22,0.24,22.04996,0.2,0.2,0.22,
12/31/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2006,84.392,,,-64.898,,19.494,,-10.176,,,,,,9.318,0.908,-0.664,0.0,-0.664,,-0.244,10.226,-4.254,5.972,,,,5.972,,5.972,,,5.972,5.972,,24.274396,0.25,0.25,0.259,26.234692,0.23,0.23,0.2384,
06/30/2006,88.648,,,-68.465,,20.183,,-13.572,,,,,,6.611,2.632,-2.014,0.0,-2.014,,-0.618,9.243,-3.917,5.326,,,,5.326,,5.326,,,5.326,5.326,,27.692918,0.19,0.19,0.2,29.250002,0.18,0.18,0.19,
09/30/2006,80.46,,,-63.281,,17.179,,-17.288,,,,,,-0.109,-0.148,-2.74,0.0,-2.74,,2.888,-0.257,-0.132,-0.389,,,,-0.389,,-0.389,,,-0.389,-0.389,,27.812158,-0.01,-0.01,0.06,27.812158,-0.01,-0.01,0.06,
12/31/2006,106.876,,,-86.756,,20.12,,-21.553,,,,,,-1.433,2.065,-2.057,0.013,-2.07,0.0,-0.008,0.632,-0.069,0.563,0.0,,,0.563,0.0,0.563,0.0,0.0,0.563,0.563,,28.012081,0.02,0.02,0.0396,29.452182,0.02,0.02,0.0387,
03/31/2007,72.023,,,-62.999,,9.024,,-26.898,20.062,8.722,,,6.836,-17.874,1.803,-1.85,0.003,-1.853,,0.047,-16.071,5.914,-10.157,,,,-10.157,,-10.157,0.0,0.0,-10.157,-10.157,,28.22097,-0.36,-0.36,-0.31,28.22097,-0.36,-0.36,-0.31,
06/30/2007,82.238,,,-89.172,,-6.934,,-24.108,,,,,,-31.042,2.038,,,,0.0,-2.038,-29.004,-11.444,-40.448,0.0,,,-40.448,0.0,-40.448,0.0,0.0,-40.448,-40.448,,28.564459,-1.42,-1.42,-1.36,28.564459,-1.42,-1.42,-1.36,
09/29/2007,87.243,,,-68.392,,18.851,,-21.54,,,,,,-2.689,2.362,,,,0.0,-2.362,-0.327,0.332,0.005,0.0,,,0.005,0.0,0.005,0.0,0.0,0.005,0.005,,29.124546,0.0,0.0,0.0,29.317375,0.0,0.0,0.0,
12/29/2007,111.347,,,-83.556,,27.791,,-23.021,,,,,,4.77,2.397,,0.0,,0.0,-2.397,7.167,-4.01,3.157,22.114,,,-18.957,0.0,-18.957,0.0,0.0,-18.957,-18.957,,29.233,-0.65,0.16,0.09,29.47,-0.65,0.16,0.09,
03/29/2008,67.801,,,-50.22,,17.581,,-16.93,13.39,6.41,,,3.54,0.651,2.03,,,,,-2.03,2.681,-0.072,2.609,3.375,,,-0.766,0.0,-0.766,0.0,0.0,-0.766,-0.766,0.0,29.352,-0.03,0.09,0.09,29.453,-0.03,0.09,0.09,
06/28/2008,75.768,,,-68.939,,6.829,,-16.295,12.596,5.786,,,3.699,-9.466,0.161,-1.047,0.0,,0.0,0.886,-9.305,-1.454,-10.759,17.171,,,-27.93,0.0,-27.93,0.0,0.0,-27.93,-27.93,1.54115,29.419,-0.95,-0.37,-0.317614,29.419,-0.95,-0.37,-0.317614,
09/27/2008,65.097,,,-54.058998,,11.038002,,-16.231001,,,,,,-5.193,0.69,-0.884,,,0.0,0.194,-4.503,-0.462,-4.965,1.024,,,-5.989,0.0,-5.989,0.0,0.0,-5.989,-5.989,,29.502001,-0.2,-0.17,-0.17,29.502001,-0.2,-0.17,-0.17,
