Date,Revenue,Sales & Services Revenue,Other Operating Income,Operating Expenses,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2000,9692.0,,,-8722.0,,970.0,-14.0,,0.0,,0.0,-12.0,26.0,956.0,-305.0,651.0,0.0,,,651.0,-40.0,611.0,-9.0,,602.0,602.0,,2974.901917,0.213333,0.213333,,3050.319031,0.206667,,,
06/30/2000,10919.0,,,-9960.0,,959.0,-31.0,,0.0,,0.0,-11.0,42.0,928.0,-323.0,605.0,0.0,,,605.0,-43.0,562.0,-19.0,,543.0,543.0,,2971.695007,0.196667,0.196667,,3046.862915,0.193333,,,
09/30/2000,10976.0,,,-9520.0,,1456.0,-53.0,,0.0,,0.0,-8.0,61.0,1403.0,-540.0,863.0,0.0,,,863.0,-57.0,806.0,-31.0,,775.0,775.0,,2968.718994,0.283333,0.283333,,3044.165955,0.276667,,,
12/31/2000,15995.0,,,-16552.0,,-557.0,-7.0,,0.0,,0.0,-26.0,33.0,-564.0,-235.0,-799.0,0.0,,,-799.0,-75.0,-874.0,0.0,,-874.0,-874.0,,2967.65094,-0.336667,-0.336667,,3042.825072,-0.326667,,,
03/31/2001,12583.0,,,-11382.0,,1201.0,-573.0,,0.0,,0.0,,573.0,628.0,-320.0,308.0,0.0,,,308.0,-54.0,254.0,-13.0,,241.0,241.0,,2957.637085,0.076667,0.076667,,3037.692078,0.076667,,,
06/30/2001,13521.0,,,-12098.0,,1423.0,91.0,,0.0,,0.0,,-91.0,1514.0,-533.0,981.0,0.0,,,981.0,-81.0,900.0,-13.0,,887.0,887.0,,2952.117004,0.293333,0.293333,,3033.659912,0.283333,,,
09/30/2001,13373.0,,,-11621.0,,1752.0,-738.0,,0.0,,0.0,,738.0,1014.0,-482.0,532.0,0.0,,,532.0,-56.0,476.0,-11.0,,465.0,465.0,,2949.543091,0.163333,0.163333,,3031.896057,0.156667,,,
12/31/2001,13206.0,,,-11687.0,,1519.0,-977.0,,0.0,,0.0,,977.0,542.0,-256.0,286.0,0.0,,,286.0,-58.0,228.0,-14.0,,214.0,214.0,,2948.534913,0.073333,0.073333,,3030.026916,0.073333,,,
03/31/2002,12134.0,,,-10669.0,,1465.0,-503.0,,0.0,,0.0,,503.0,962.0,-432.0,530.0,0.0,,,530.0,-67.0,463.0,-13.0,,450.0,450.0,,2945.963928,0.153333,0.153333,,3029.507996,0.15,,,
06/30/2002,13224.0,,,-11585.0,,1639.0,-275.0,,,,0.0,,275.0,1364.0,-607.0,757.0,0.0,,,757.0,-99.0,658.0,-12.0,,646.0,646.0,,2940.539064,0.22,0.22,,3031.511718,0.21,,,
09/30/2002,12986.0,,,-11236.0,,1750.0,-407.0,,0.0,,0.0,,407.0,1343.0,-472.0,871.0,0.0,,,871.0,-68.0,803.0,-13.0,,790.0,790.0,,2934.570007,0.27,0.27,,3024.75293,0.263333,,,
12/31/2002,13155.0,,,-11716.0,,1439.0,-931.0,,,,0.0,,931.0,508.0,-115.0,393.0,0.0,,,393.0,-100.0,293.0,-4.0,,289.0,289.0,,2930.228943,0.1,0.1,,3019.881042,0.096667,,,
03/31/2003,11042.0,,,-9724.0,,1318.0,-223.0,,0.0,,0.0,,223.0,1095.0,-348.0,747.0,0.0,,,747.0,-77.0,670.0,-8.0,,662.0,662.0,,2920.016968,0.226667,0.226667,,3006.414001,0.22,,,
06/30/2003,12297.0,,,-10853.0,,1444.0,-405.0,,,,0.0,,405.0,1039.0,-393.0,646.0,0.0,,,646.0,-51.0,595.0,-9.0,,586.0,586.0,,2914.298949,0.203333,0.203333,,3002.909913,0.196667,,,
09/30/2003,12220.0,,,-10469.0,,1751.0,-335.0,,0.0,,0.0,,335.0,1416.0,-475.0,941.0,0.0,,,941.0,-75.0,866.0,-4.0,,862.0,862.0,,2909.189941,0.296667,0.296667,,2996.72406,0.286667,,,
12/31/2003,11862.0,,,-10224.0,,1638.0,-304.0,,,,0.0,,304.0,1334.0,-440.0,894.0,0.0,,,894.0,-83.0,811.0,-6.0,,805.0,805.0,,2906.720946,0.276667,0.276667,,2994.422973,0.27,,,
03/31/2004,9061.0,,,-7745.0,,1316.0,-135.0,,225.0,,0.0,-10.0,-80.0,1181.0,-379.0,802.0,0.0,,,802.0,-49.0,753.0,0.0,,753.0,753.0,,2898.546021,0.256667,0.256667,,3037.625977,0.246667,,,
06/30/2004,10780.0,,,-9461.0,,1319.0,-149.0,,0.0,,0.0,-12.0,161.0,1170.0,-347.0,823.0,0.0,,,823.0,-53.0,770.0,-7.0,,763.0,763.0,,2895.054016,0.263333,0.263333,,2984.573914,0.253333,,,
09/30/2004,10589.0,,,-9046.0,,1543.0,-225.0,,0.0,,0.0,-15.0,240.0,1318.0,-389.0,929.0,0.0,,,929.0,-46.0,883.0,-7.0,,876.0,876.0,,2891.828979,0.303333,0.303333,,2979.353943,0.296667,,,
12/31/2004,8136.0,,,-6550.0,,1586.0,-1551.0,,550.0,,0.0,0.0,1001.0,35.0,305.0,340.0,-47.0,,,387.0,-38.0,349.0,0.0,,349.0,349.0,,2890.2,0.12,0.103738,,3032.7,0.11,,,
03/31/2005,9266.0,,,-7850.0,,1416.0,-134.0,,234.0,,0.0,-10.0,-90.0,1282.0,-301.0,981.0,0.0,,,981.0,-47.0,934.0,0.0,,934.0,934.0,,2910.780029,0.32,0.32,,3023.460022,0.31,,,
06/30/2005,10222.0,,,-8604.0,,1618.0,-497.0,,145.0,,0.0,8.0,344.0,1121.0,-337.0,784.0,0.0,,,784.0,-53.0,731.0,0.0,,731.0,731.0,,2922.017943,0.25,0.25,,3019.829955,0.243333,,,
09/30/2005,10224.0,,,-8624.0,,1600.0,-147.0,,167.0,,0.0,-2.0,-18.0,1453.0,-428.0,1025.0,-449.0,,,1474.0,-57.0,1417.0,0.0,,1417.0,1417.0,,2920.22406,0.486667,0.333,,3015.309081,0.47,,,
12/31/2005,8689.0,,,-8249.0,,440.0,220.0,,124.0,,8.0,-18.0,-334.0,660.0,-115.0,545.0,-191.0,,,736.0,-52.0,684.0,0.0,,684.0,684.0,,2913.0,0.2348,0.18709,,3006.99,0.075823,,,
03/31/2006,9535.0,,,-8183.0,,1352.0,-42.0,,216.0,,0.0,-18.0,-156.0,1310.0,-309.0,1001.0,-58.0,,,1059.0,-69.0,990.0,,,990.0,990.0,,2880.782959,0.343333,0.3232,,2996.271057,0.33,,,
