Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/2007,1011,1445,163,132,53,79,-729,-72,164,,-821,,-596,-230,,,,-230,,,,,,,,,,-366,-720,-530,542,,,,,,,-732,,-305,,,
06/30/2007,3207,1483,175,163,1,162,1386,-172,215,,1343,,-252,-228,0.0,,,-228,,,0.0,0.0,0.0,,,,,-24,-1018,-700,-304,,,,0.0,0.0,0.0,-14,,1937,,,
09/30/2007,1100,1725,192,6,-63,69,-823,54,-658,,-219,,-330,-256,0.0,,,-256,,,0.0,0.0,0.0,,,,,-74,-890,-1250,218,,,,0.0,0.0,0.0,142,,-120,,,
12/31/2007,232,1567,218,-92,-13,-79,-1461,-638,-998,,175,,-1408,-358,0.0,,,-358,,,0.0,0.0,0.0,,,,,-1050,-620,-4080,2485,,,,0.0,0.0,0.0,975,,-1796,2215.0,301.0,
03/31/2008,1583,1673,201,190,2,188,-481,405,730,-150.0,-1466,,-317,-301,0.0,,,-301,,,0.0,0.0,0.0,,,,,-16,-1536,-3019,1145,,,,0.0,0.0,0.0,338,,-270,,,
06/30/2008,3516,1692,203,36,-8,44,1585,-236,246,,1575,,-656,-273,0.0,,,-273,,,0.0,0.0,0.0,,,,,-383,-1063,0,714,,,,-1880.0,68.0,-1948.0,103,,1797,,,
09/30/2008,2003,2080,221,57,26,31,-355,-106,-402,,153,,-1879,-250,0.0,,,-250,,,0.0,0.0,0.0,,,,,-1629,-349,-956,3068,,,,-2417.0,23.0,-2440.0,-44,,-225,,,
12/31/2008,833,1445,217,16,-15,31,-845,-88,-1488,,731,,-309,-275,0.0,,,-275,,,0.0,0.0,0.0,,,,,-34,-1796,-1104,780,,,,-841.0,27.0,-868.0,-631,,-1272,,,
03/31/2009,1427,1476,193,-100,55,-155,-142,44,1095,-34.0,-1247,0.0,-188,-145,0.0,,0.0,-145,-145.0,0.0,0.0,0.0,0.0,-209.0,0.0,-209.0,0.0,166,-282,-1089,2345,-641.0,2987.0,-1.0,-1358.0,18.0,-1376.0,-180,-127.0,830,,,
06/30/2009,3011,1546,202,-27,22,-49,1290,-370,249,7.0,1404,,-207,-178,0.0,,,-178,-178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29,-2863,-1072,-358,-358.0,0.0,0.0,-1387.0,87.0,-1474.0,-46,127.0,68,,,
