Date,Total Assets,Cash & Cash Equivalents,ST And LT Investments,Trading Securities/FVTPL,Available for Sales/FVTOCI,Held to Maturity/Amortized at Cost,Real Estate Investments,Other Investments,Net Receivables,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Total Deposits,ST Borrowings & Repos,Current Portion of LT Debt,ST Borrowings,LT Debt,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/1999,921.099976,51.200001,,,,,0.0,,108.599998,0.0,0.0,0.0,47.799999,,160.300003,,,,0.0,553.199974,,0.0,0.0,,,0.0,,,,,,272.700005,272.700005,0.0,0.0,,,,,614.799988,614.799988,33.599998,648.399986,921.099991,
09/30/1999,1016.099976,103.300003,,,,,0.0,,120.300003,0.0,0.0,0.0,54.099998,,159.600006,,,,0.0,578.799965,,0.0,125.0,,,0.0,,,,,,290.599991,415.599991,0.0,0.0,,,,,556.900024,556.900024,43.599998,600.500023,1016.100014,
12/31/1999,1231.5,324.100006,,,,,0.0,,155.699997,0.0,0.0,0.0,70.396004,,136.5,,,,0.0,544.803993,,0.0,0.0,,,0.0,,,,,,359.600006,359.600006,0.0,106.800003,,,0.0,,707.799988,814.599991,57.299999,871.89999,1231.499996,
03/31/2000,1432.699951,350.700012,,,,,0.0,,223.5,0.0,0.0,0.0,94.300003,,,,,,0.0,764.199936,,0.0,0.0,,,0.0,,,,,,476.799988,476.799988,0.0,106.800003,,,0.0,,782.200012,889.000015,66.900002,955.900017,1432.700005,
06/30/2000,1558.3,443.5,,,,,,,211.3,,,,128.7,,198.5,,,,,576.3,,,0.0,,,0.0,,,,,,431.8,431.8,,106.8,,,0.0,823.9,111.1,1041.8,84.7,1126.5,1558.3,
09/30/2000,1778.800049,528.799988,,,,,0.0,,225.0,0.0,0.0,0.0,138.899994,,267.700012,17.4,,,,618.400055,,0.0,0.0,,,0.0,,,,,,611.399994,611.399994,0.0,2.2,,,,973.5,127.599976,1103.299976,64.099998,1167.399974,1778.799968,
12/31/2000,1581.0,364.299988,,,,,0.0,,194.399994,0.0,0.0,0.0,137.699997,,241.600006,195.199997,,,,643.000015,,0.0,0.0,,,0.0,,,,,,449.900009,449.900009,0.0,2.2,,,,,1055.599976,1057.799976,73.300003,1131.099979,1580.999988,
03/31/2001,1762.599976,335.399994,,,,,0.0,,164.899994,0.0,0.0,0.0,129.800003,,617.0,45.400002,,,,515.499985,,0.0,0.0,,,100.0,,,,,,506.700012,606.700012,0.0,2.2,,,,1071.699951,48.200073,1122.100024,33.799999,1155.900024,1762.600036,
06/30/2001,2588.199951,438.700012,,,,,0.0,,158.399994,0.0,0.0,0.0,117.0,,,,,,,1874.099945,,0.0,50.0,,,691.200012,,,,,,569.900009,1311.100021,0.0,2.2,,,,,1239.400024,1241.600024,35.5,1277.100024,2588.200046,
09/30/2001,2656.699951,430.399994,,,,,0.0,,123.199997,0.0,0.0,0.0,109.300003,,1468.900024,603.299988,,,,524.899933,,0.0,692.900024,,,0.0,,,,,,606.300003,1299.200027,0.0,2.2,,,,,1264.400024,1266.600024,90.900002,1357.500026,2656.700053,
12/31/2001,3391.600098,236.699997,,,,,0.0,,128.5,0.0,0.0,0.0,92.900002,,2311.899902,1038.599976,,,,621.600197,,0.0,694.700012,,,399.5,,,,,,910.799973,2004.999985,0.0,2.2,,,,,1361.099976,1363.299976,23.299999,1386.599975,3391.59996,
03/31/2002,3503.399902,294.899994,,,,,0.0,,138.899994,0.0,0.0,0.0,87.599998,,2365.300049,1060.5,,,,616.699867,,0.0,696.299988,,,391.200012,,,,,,915.899994,2003.399994,0.0,2.2,,,,1397.199951,83.300049,1482.7,17.299999,1499.999999,3503.399993,
06/30/2002,3347.399902,69.5,,,,,0.0,,122.599998,0.0,0.0,0.0,84.199997,,2441.699951,1115.099976,,,,629.399956,,0.0,150.0,,,767.0,,,,,,868.000031,1785.000031,0.0,2.2,,,,1484.699951,64.0,1550.899951,11.5,1562.399951,3347.399982,
09/30/2002,3331.899902,90.300003,,,,,0.0,,103.800003,0.0,0.0,0.0,77.099998,,2450.5,1124.099976,,,,610.199898,,0.0,35.0,,,872.5,,,,,,994.999985,1902.499985,0.0,2.2,,,,1392.900024,27.5,1422.600024,6.8,1429.400025,3331.900009,
12/31/2002,3321.699951,160.600006,,,,,0.0,,101.300003,0.0,0.0,0.0,71.5,,2423.600098,1121.400024,,,,564.699844,,0.0,0.0,,,856.0,,,,,,954.200027,1810.200027,0.0,2.2,,,,1469.5,36.300049,1508.000049,3.5,1511.500049,3321.700076,
03/31/2003,3387.198975,143.300003,,,,,0.0,,110.800003,0.0,0.0,0.0,64.699997,,2459.299072,1131.198975,,,,609.099899,,0.0,0.0,,,855.099976,,,,,,938.300018,1793.399994,0.0,290.299988,,,0.0,1541.099976,-238.700928,1592.699036,1.1,1593.799036,3387.19903,
06/30/2003,3417.5,63.0,,,,,0.0,,122.9,0.0,0.0,0.0,57.1,,2494.1,1167.8,,,,680.4,,0.0,83.3,,,771.0,,,,,,874.9,1729.2,0.0,275.8,,,0.0,1579.1,-168.9,1686.0,2.3,1688.3,3417.5,
09/30/2003,3530.0,123.099998,,,,,0.0,,112.800003,0.0,0.0,0.0,51.299999,,2474.800049,1150.5,,,,767.99995,,0.0,83.5,,,769.900024,,,,,,907.300018,1760.700043,0.0,273.600006,,,0.0,1630.0,-137.099976,1766.500031,2.8,1769.30003,3530.000073,
12/31/2003,4332.200195,1222.800049,,,,,0.0,,123.699997,0.0,0.0,0.0,58.700001,,2421.100098,1108.800049,,,,505.900051,,0.0,83.800003,,,768.799988,,,,,,815.300018,1667.900009,0.0,267.700012,,,,2442.300049,-48.800049,2661.200012,3.1,2664.300012,4332.200021,
03/31/2004,4464.299805,1278.5,,,,,0.0,,123.300003,0.0,0.0,0.0,61.0,,2416.899902,1086.199951,,,,584.599899,,0.0,84.0,,,767.799988,,,,,,928.999985,1780.799973,0.0,260.799988,,,,2423.0,-4.5,2679.299988,4.2,2683.499988,4464.29996,
06/30/2004,3947.1,1100.6,,,,,0.0,,114.8,0.0,0.0,0.0,66.6,,2415.0,1086.9,,,,250.1,,0.0,0.0,,,378.2,,,,,,893.2,1271.4,0.0,255.6,,,,2543.6,-124.0,2675.2,0.5,2675.7,3947.1,
09/30/2004,3672.899902,864.599976,,,,,0.0,,122.800003,0.0,0.0,0.0,67.800003,,2402.899902,1083.199951,,,,214.800018,,0.0,0.0,,,377.899994,,,,,,599.500008,977.400002,0.0,208.899994,,,,2594.899902,-110.299805,2693.500092,2.0,2695.500092,3672.900093,
12/31/2004,3767.600098,527.099976,,,,,0.0,,196.699997,0.0,0.0,0.0,62.0,,2399.399902,1083.199951,,,,582.400223,,0.0,0.0,,,377.5,,,,,,650.5,1028.0,0.0,155.100006,,,,2563.699951,15.699951,2734.499908,5.1,2739.599908,3767.599908,
03/31/2005,3634.899902,454.799988,,,,,0.0,,170.300003,0.0,0.0,0.0,58.799999,,2392.0,1083.199951,,,,558.999912,,0.0,0.0,,,377.200012,,,,,,600.000015,977.200027,0.0,58.299999,,,,2583.300049,12.399902,2653.99995,3.7,2657.69995,3634.899978,
06/30/2005,3617.8,575.9,,,,,0.0,,134.9,0.0,0.0,0.0,61.0,,2388.7,1083.2,,,,457.3,,0.0,0.0,,,376.9,,,,,,607.5,984.4,0.0,21.4,,,,2599.9,9.2,2630.5,2.9,2633.4,3617.8,
09/30/2005,3581.7,526.0,,,,,0.0,,124.8,0.0,0.0,0.0,63.2,,2411.6,1109.6,,,,456.1,,0.0,,,,376.6,,,,,,617.0,993.6,,2.2,,,,2569.0,11.0,2582.2,5.9,2588.1,3581.7,
12/31/2005,3628.5,552.599976,,,,,0.0,,164.600006,0.0,0.0,0.0,64.699997,,2391.600098,1093.099976,,,,454.999924,,0.0,114.099998,,,262.200012,,,,,,655.199997,1031.500008,0.0,2.2,,,,2569.300049,9.699951,2581.2,15.8,2597.0,3628.500008,
03/31/2006,3533.5,327.2,,,,,0.0,,182.1,,0.0,0.0,61.4,,2477.4,1137.7,,,,485.4,,0.0,113.8,,,262.2,,,,,,628.6,1004.6,0.0,2.1,,,,2505.5,11.7,2519.3,9.6,2528.9,3533.5,
