Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2006,822.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.771,,,124.771,124.771,,565.024,0.22,0.22,0.22,610.394,0.205,0.205,0.205,
03/31/2007,312.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.422,,,-14.422,-14.422,,565.982,-0.025,-0.025,-0.025,565.982,-0.025,-0.025,-0.025,
06/30/2008,654.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.015,,,59.015,59.015,,592.646,0.1,0.1,0.1,646.972,0.09,0.09,0.09,
09/30/2008,711.0,,-408.0,,303.0,,-436.0,,,,,,-133.0,-37.0,,,,,0.0,37.0,-170.0,62.0,,-108.0,0.0,,,-108.0,0.0,-108.0,0.0,0.0,-108.0,-108.0,177.0,1271.0,-0.08,-0.08,0.06,1271.0,-0.08,-0.08,0.06,
12/31/2008,1639.0,,-1211.0,,428.0,0.0,-544.0,348.0,244.0,,,196.0,-116.0,-14.0,,,,,,14.0,-130.0,58.0,,-72.0,0.0,0.0,0.0,-72.0,0.0,-72.0,0.0,0.0,-72.0,-72.0,,1326.0,-0.05,-0.05,0.05,1326.0,-0.05,-0.05,0.05,
03/31/2009,981.0,981.0,-484.0,484.0,497.0,0.0,-318.0,186.0,83.0,103.0,117.0,15.0,179.0,10.0,,,,-10.0,,0.0,189.0,0.0,,189.0,0.0,0.0,0.0,189.0,0.0,189.0,0.0,0.0,189.0,209.0,20.0,1308.0,0.14,0.14,0.159786,1359.0,0.14,0.14,0.154717,
06/30/2009,1038.0,1038.0,-472.0,472.0,566.0,0.0,-348.0,210.0,118.0,92.0,123.0,15.0,218.0,0.0,,,,0.0,,0.0,218.0,-23.0,,195.0,0.0,0.0,0.0,195.0,0.0,195.0,0.0,0.0,195.0,208.0,13.0,1289.0,0.15,0.15,0.161365,1332.0,0.15,0.15,0.15976,
09/30/2009,703.0,703.0,-339.0,339.0,364.0,0.0,-355.0,234.0,128.0,106.0,122.0,-1.0,9.0,11.0,,,,-11.0,,0.0,20.0,-5.0,,15.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,0.0,15.0,19.3,4.3,1271.0,0.01,0.01,0.015185,1297.0,0.01,0.01,0.013315,
12/31/2009,1557.0,1557.0,-1012.0,1012.0,545.0,0.0,-977.0,309.0,215.0,94.0,265.0,403.0,-432.0,-3.0,,,,3.0,,0.0,-435.0,149.0,,-286.0,0.0,0.0,0.0,-286.0,0.0,-286.0,0.0,0.0,-286.0,-39.7,246.3,1265.0,-0.23,-0.23,-0.031383,1265.0,-0.23,-0.23,-0.035296,
03/31/2010,1308.0,1308.0,-533.0,533.0,775.0,0.0,-264.0,121.0,56.0,65.0,143.0,0.0,511.0,0.0,,,,0.0,,0.0,511.0,-130.0,,381.0,0.0,0.0,0.0,381.0,0.0,381.0,0.0,-1.0,380.0,391.75,11.75,1248.0,0.3,0.3,0.313902,1264.0,0.3,0.3,0.309296,
