Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1995,186.880997,1.585,1.585,0.0,16.936001,,,0.682,,,,,3.805,,,,,,,,23.007999,92.676003,125.239998,-32.563999,0.0,,71.196999,,,,71.196999,163.873002,,4.797,4.797,,,,2.578,,,,,,14.493999,,,14.493999,21.868999,119.295998,,,,,24.705,,,,,,24.705,144.000998,165.869997,0.005,28.809,,,,,-7.803,21.011,0.0,21.011,186.880997,
03/31/1996,202.309006,0.866,0.866,0.0,18.516001,,,0.816,,,,,3.511,,,,,,,,23.709,98.228996,134.018997,-35.790001,0.0,,80.371002,,,,80.371002,178.599998,,7.062,7.062,,,,3.244,,,,,,13.715,,,13.715,24.021,105.255997,,,,,18.671,,,,,,18.671,123.926996,147.947996,0.0,62.158001,,,0.0,,-7.797,54.361001,0.0,54.361001,202.308997,
06/30/1996,212.630005,2.232,2.232,0.0,19.756001,,,0.523,,,,,3.354,,,,,,,,25.865,103.003998,141.600998,-38.597,0.0,,83.761002,,,,83.761002,186.764999,,6.342,6.342,,,,3.194,,,,,,13.593,,,13.593,23.129,115.699997,,,,,19.072001,,,,,,19.072001,134.771997,157.900997,0.0,62.115002,,,0.0,,-7.386,54.729002,0.0,54.729002,212.629999,
09/30/1996,247.149002,3.812,3.812,0.0,21.194,,,0.688,,,,,2.753,,,,,,,,28.447001,111.224998,153.425995,-42.201,0.0,,107.476997,,,,107.476997,218.701995,,4.591,4.591,,,,0.33,,,,,,16.807001,,,16.807001,21.728001,151.647003,,,,,19.025999,,,,,,19.025999,170.673002,192.401003,0.0,62.133999,,,0.0,,-7.386,54.747999,0.0,54.747999,247.149002,
12/31/1996,281.799011,3.453,3.453,0.0,24.136,,,0.767,,,,,6.432,,,,,,,,34.787998,118.348999,163.494995,-45.146,0.0,,128.662003,,,,128.662003,247.011002,,3.75,3.75,,,,0.396,,,,,,22.684,,,22.684,26.83,184.337006,,,,,18.247999,,,,,,18.247999,202.585005,229.415005,0.0,62.236,,,0.0,,-9.852,52.384,0.0,52.384,281.799005,
03/31/1997,301.796997,1.767,1.767,0.0,25.789,,,0.923,,,,,7.687,,,,,,,,36.166,121.836998,170.776001,-48.938999,0.0,,143.794006,,,,143.794006,265.631004,,3.18,3.18,,,,0.373,,,,,,26.303001,,,26.303001,29.856001,201.091995,,,,,18.915001,,,,,,18.915001,220.006996,249.862997,0.0,62.301998,,,0.0,,-10.368,51.933998,0.0,51.933998,301.796995,
06/30/1997,395.647003,0.585,0.585,0.0,29.601999,,,0.92,,,,,8.418,,,,,,,,39.525002,140.395996,193.427994,-53.032001,0.0,,215.725998,,,,215.725998,356.121994,,7.329,7.329,,,,0.375,,,,,,24.451998,,,24.451998,32.155998,241.591995,,,,,17.476999,,,,,,17.476999,259.068995,291.224993,0.0,115.759003,,,0.0,,-11.337,104.422003,0.0,104.422003,395.646996,
09/30/1997,451.098999,2.242,2.242,0.0,35.372002,,,0.989,,,,,12.233,,,,,,,,50.835999,150.621002,207.617004,-56.995998,0.0,,249.641998,,,,249.641998,400.263,,5.947,5.947,,,,0.403,,,,,,37.824999,,,37.824999,44.174999,273.964996,,,,,19.014,,,,,,19.014,292.978996,337.153996,0.0,125.607002,,,0.0,,-11.662,113.945003,0.0,113.945003,451.098998,
12/31/1997,636.785996,24.51,24.51,0.0,40.545,40.545,,0.0,0.0,0.0,0.0,0.0,16.872,,,,,,,,81.927002,183.897995,245.173996,-61.276001,0.0,,370.960999,340.852,340.852,0.0,30.108999,554.858994,,11.022,11.022,,,,3.52,3.52,0.0,0.0,,,41.211,,,41.211,55.753,424.498,424.498,0.0,0.0,,18.802,,,,,,18.802,443.3,499.053,0.0,152.106,,,0.0,-14.373,0.0,137.733,0.0,137.733,636.786,
06/30/1998,867.031982,14.589,14.589,0.0,68.295998,,,0.0,0.0,0.0,0.0,,25.148001,,,,,,,,108.032997,220.167999,293.955994,-73.788002,0.0,,538.830994,509.436005,,,29.394989,758.998993,,10.852,10.852,,,,2.085,,,,,,63.737003,,,63.737003,76.674004,427.033997,,,,,22.791,,,,,,22.791,449.824997,526.499001,0.0,355.480988,,,0.0,,-14.948,340.532988,0.0,340.532988,867.031988,
