Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1996,271.686005,,,,,,,,,,,,,,,,,,,,,,,,,4.038,0.0,,4.038,4.038,,115.372002,0.035,0.035,0.035,124.248001,0.0325,0.0325,0.0325,
06/29/1996,292.093994,,,,,,,,,,,,,,,,,,,,,,,,,7.174,0.0,,7.174,7.174,,114.783997,0.0625,0.0625,0.0625,119.568001,0.06,0.06,0.06,
09/28/1996,319.074005,,,,,,,,,,,,,,,,,,,,,,,,,9.332,0.0,,9.332,9.332,,133.315994,0.07,0.07,0.07,138.251999,0.0675,0.0675,0.0675,
12/28/1996,348.994019,,,,,,,,,,,,,,,,,,,,,,,,,12.222999,0.0,,12.222999,12.222999,,132.139999,0.0925,0.0925,0.0975,135.811996,0.09,0.0925,0.0925,
03/29/1997,339.049011,,-239.011993,,100.037018,,-90.402,,,9.635,-2.135,,1.02,,0.0,,1.115,7.5,-4.008,3.492,0.0,,,3.492,0.014,3.506,0.0,,3.506,3.506,,134.559998,0.025,0.025,0.0425,140.460007,0.025,0.025,0.04,
06/28/1997,373.43399,,-262.502014,,110.931976,,-95.537003,,,15.395,-0.944,,1.012,,0.0,,-0.068,14.451,-6.025,8.426,0.0,,,8.426,0.115,8.541,0.0,,8.541,8.541,,138.423996,0.0625,0.0625,0.075,145.328003,0.06,0.06,0.07,
09/27/1997,439.30899,,-310.431,,128.877991,,-113.747002,,,15.131,-16.85,,2.034,,0.0,,14.816,-1.719,-6.228,-7.947,0.0,,,-7.947001,0.311,-7.636,0.0,,-7.636,-7.636,,150.240005,-0.05,-0.05,0.0675,150.240005,-0.05,-0.05,0.0675,
12/27/1997,458.06601,,-316.287994,,141.778015,,-119.369003,,,22.409,-27.134999,,2.564,,0.0,,24.570999,-4.725999,-1.327,-6.053,0.0,,,-6.052999,-0.007,-6.06,0.0,,-6.06,-6.06,,140.007996,-0.04,-0.04,0.1,148.248001,-0.04,-0.04,0.095,
03/28/1998,450.34201,,-313.63501,,136.707,,-121.905998,,,14.801,-4.394,,2.785,,0.0,,1.609,10.407,-4.293,6.114,0.0,,,6.114,-0.001,6.113,0.0,,6.113,6.113,,153.968004,0.04,0.04,0.065,162.320008,0.0375,0.0375,0.0625,
06/27/1998,475.992004,,-326.408997,,149.583007,,-126.375,,,23.208,-9.624,,3.165,,0.0,,6.459,13.584,-5.618,7.966,0.0,,,7.966,-0.144,7.822,0.0,,7.822,7.822,,158.951996,0.05,0.05,0.085,166.839996,0.0475,0.0475,0.0825,
09/26/1998,492.631012,,-338.932007,,153.699005,,-128.630997,,,25.068001,-20.103999,,2.606,,0.0,,17.497999,4.964002,-2.572,2.392,0.0,,,2.392002,-0.086,2.306,0.0,,2.306,2.306,,159.147995,0.015,0.015,0.1,167.311996,0.015,0.015,0.095,
12/26/1998,502.71701,,-340.881989,,161.835022,,-128.356003,,,33.479,-25.349,,3.494,,0.0,,21.855,8.130001,-7.842,0.288,0.0,,,0.288001,-0.202,0.086,0.0,,0.086,0.086,,159.755997,0.0,0.0,0.12,168.231995,0.0,0.0,0.115,
03/27/1999,536.335,,-372.918,,163.417,0.0,-141.972,139.769,2.203,21.445,-3.808,3.391,5.724,-2.333,,,0.189,17.637,-7.127,10.51,,,,10.51,-0.597,9.913,0.0,0.0,9.913,9.913,,161.668,0.0625,0.0625,0.0625,167.224,0.06,0.06,0.06,
06/26/1999,559.437988,,-385.26,,174.177988,,-142.001,,,26.778,-9.432,,5.316,-1.488,0.0,,5.604,17.346,-8.958,13.659,0.0,,,8.388,-0.322,13.337,0.0,,13.337,13.337,,161.964004,0.0825,0.0825,0.1025,166.188004,0.08,0.08,0.1,
09/25/1999,578.591003,,-404.83,,173.761003,,-141.452,,,26.519,-10.522,,5.526,-1.386,0.0,,6.382,15.997,-10.114,11.876,0.0,,,5.883,-0.353,11.523,0.0,,11.523,11.523,,162.432008,0.07,0.07,0.09,164.416,0.07,0.07,0.09,
12/25/1999,609.954,,-450.646,,159.308,0.0,-128.285,128.285,0.0,31.023,-4.938,4.457,7.027,-2.57,,-0.738,0.481,26.085,-9.39,15.957,,,,15.957,-0.418,15.539,,0.0,15.539,15.539,,162.812,0.095,0.095,0.095,164.404,0.095,0.095,0.095,
03/25/2000,554.138977,,-405.02301,,149.115967,,-125.639,,,23.476999,-4.813,,5.852,-5.852,0.0,,4.813,18.663999,-6.778,11.886,0.0,,,11.885999,-0.488,11.398,0.0,0.0,11.398,11.398,,162.860001,0.07,0.07,0.07,164.335999,0.07,0.07,0.07,
06/24/2000,568.631,,-409.816,,158.815,0.0,-127.833,127.248,0.585,30.982,-4.278,3.923,4.847,-0.924,,,0.495,26.704,-9.774,16.93,,,,16.93,-0.549,16.381,,0.0,16.381,16.381,,164.816,0.1,0.1,0.105,166.808,0.0975,0.0975,0.1025,
09/23/2000,603.319,,-441.368,,161.951,0.0,-133.007,127.62,5.387,28.944,-2.411,2.519,4.841,-2.322,,-0.334,0.192,26.533,-9.623,16.576,,,,16.576,-0.338,16.238,0.0,0.0,16.238,16.238,,165.004,0.0975,0.0975,0.131057,167.44,0.0975,0.0975,0.129673,
