Date,Assets,Net Plant in Service,Gross Utility Plant in Service,Accum Depreciation for Plant Asset,Plant Construction in Progress,Net Nuclear Fuel,Total Utility Plant,Cash & Near Cash Items,Marketable Securities,Restricted Bond Proceeds,Net Accounts Receivable,Supplies And Fuel,Prepaid Expenses,Other Current Assets,Total Current Assets,Decommissioning Funds,Long-Term Investments,Investments in Associated Co.,Other Property & Equipment,Deferred Charges & Others,Total Long Term Assets,Total Assets,Liabilities & Shareholders' Equity,ST Portion of LT Debts,Short Term Debt,Accounts Payable,Other Accounts Payable and Accruals,Other Current Liabilities,Total Current Liabilities,Accum Deferred Income Taxes,Accumulated Deferred ITC,Long-Term Borrowings,Other Liabilities,Total Long-Term Liabilities,Common Stock,Additional Paid in Capital,Retained Earnings & Other Equity,Total Preferred Equity,Minority Interest,Total Equity,Total Capitalization & Liabilities,Source: Bloomberg
09/30/2007,,8940.131,11699.943,-2759.812,,,8940.131,151.259,0.0,4.424,314.739,29.708,0.0,116.62,616.75,0.0,0.0,0.0,111.995,3420.961,3532.956,13089.837,,106.21,147.6,124.171,165.33,177.878,721.189,617.026,,5054.565,2183.521,7855.112,0.0,5371.947,-862.979,4.568,0.0,4513.536,13089.837,
12/31/2007,,9199.909,11976.859,-2776.95,,,9199.909,13.481,0.0,3.258,327.583,27.458,0.0,58.574,430.354,0.0,0.0,0.0,118.052,3185.757,3303.809,12934.072,,96.455,220.514,168.886,106.869,181.765,774.489,674.279,,4699.133,2239.557,7612.969,0.0,5637.947,-1097.501,4.568,0.0,4545.014,12934.072,
03/31/2008,,9296.315,12125.36,-2829.045,,,9296.315,9.202,,2.149,303.928,28.961,,70.634,414.874,,,,119.74,2437.075,2556.815,12268.004,,90.188,368.137,119.209,141.784,152.156,871.474,644.343,34.957,4666.611,2236.628,7582.539,1.6,5637.947,-1830.124,4.568,,3813.991,12268.004,
06/30/2008,,9497.176,12389.002,-2891.826,,,9497.176,5.914,,1.874,344.313,31.679,,74.892,458.672,,,,124.415,2446.419,2570.834,12526.682,,80.534,243.418,137.303,111.894,168.09,741.239,658.481,34.553,4720.593,2264.354,7677.981,1.6,5887.872,-1786.57,4.56,,4107.462,12526.682,
09/30/2008,,9742.671,12674.722,-2932.051,,,9742.671,6.689,,0.902,378.886,32.949,,77.798,497.224,,,,128.92,2411.917,2540.837,12780.732,,95.836,327.185,160.518,157.199,196.752,937.49,720.569,34.148,4693.719,2227.892,7676.328,1.6,5887.356,-1726.599,4.557,,4166.914,12780.732,
12/31/2008,,9991.783,12961.652,-2969.869,,,9991.783,9.542,0.0,0.454,333.635,28.948,0.0,45.096,417.675,0.0,0.0,0.0,132.145,2690.215,2822.36,13231.818,,175.822,479.01,149.795,106.117,194.016,1104.76,705.587,34.023,4648.213,2399.245,7787.068,1.6,5888.253,-1787.852,4.557,0.0,4106.558,13231.818,
03/31/2009,,10102.399,13129.229,-3026.83,0.0,0.0,10102.399,8.516,0.0,1.446,321.258,32.811,0.0,56.557,420.588,0.0,0.0,0.0,134.918,2249.339,2384.257,12907.244,,62.499,645.092,115.066,161.535,185.016,1169.208,719.872,33.622,4683.959,2635.685,8073.138,1.6,5890.767,-2232.026,4.557,0.0,3664.898,12907.244,
06/30/2009,,10255.426,13312.553,-3057.127,0.0,0.0,10255.426,9.012,0.0,33.007,357.694,32.869,0.0,63.123,495.705,0.0,0.0,0.0,140.266,2298.652,2438.918,13190.049,,97.357,268.751,123.116,116.523,187.04,792.787,757.967,33.22,5006.066,2667.246,8464.499,1.746,6135.65,-2209.19,4.557,0.0,3932.763,13190.049,
09/30/2009,,10387.732,13508.279,-3120.547,0.0,0.0,10387.732,7.831,0.0,38.933,369.892,30.835,0.0,68.98,516.471,0.0,0.0,0.0,144.399,2297.107,2441.506,13345.709,,54.325,76.556,119.271,165.286,185.193,600.631,811.79,32.819,5221.735,2686.925,8753.269,1.746,6137.771,-2152.265,4.557,0.0,3991.809,13345.709,
12/31/2009,,10523.844,13691.922,-3168.078,0.0,0.0,10523.844,22.256,0.0,41.02,335.73,29.521,0.0,70.6,499.127,0.0,0.0,0.0,153.549,2276.131,2429.68,13452.651,,54.068,119.497,138.609,105.68,189.538,607.392,851.677,32.59,5312.126,2643.45,8839.843,1.746,6140.077,-2140.964,4.557,0.0,4005.416,13452.651,
03/31/2010,,10590.989,13812.015,-3221.026,0.0,0.0,10590.989,12.633,0.0,40.273,318.505,30.089,0.0,95.728,497.228,0.0,0.0,0.0,151.428,2300.917,2452.345,13540.562,,47.027,147.893,116.843,171.588,177.738,661.089,924.763,32.198,5280.902,2638.119,8875.982,1.747,6142.663,-2145.466,4.547,0.0,4003.491,13540.562,
06/30/2010,,10730.114,14023.77,-3293.656,0.0,0.0,10730.114,20.61,0.0,93.705,384.609,29.908,0.0,61.281,590.113,0.0,0.0,0.0,142.209,2311.08,2453.289,13773.516,,44.018,265.807,147.573,114.903,181.136,753.437,968.969,31.807,5329.105,2646.332,8976.213,1.747,6146.444,-2108.872,4.547,0.0,4043.866,13773.516,
09/30/2010,,10872.916,14222.735,-3349.819,0.0,0.0,10872.916,23.501,0.0,99.974,412.77,31.345,0.0,59.809,627.399,0.0,0.0,0.0,140.431,2342.929,2483.36,13983.675,,43.984,181.841,166.388,160.121,189.09,741.424,1050.293,31.415,5395.35,2629.44,9106.498,1.749,6151.349,-2021.892,4.547,0.0,4135.753,13983.675,
12/31/2010,,10241.342,13375.436,-3134.094,0.0,0.0,10241.342,13.112,0.0,94.066,332.738,27.743,0.0,990.116,1457.775,0.0,0.0,0.0,140.298,2246.831,2387.129,14086.246,,36.092,228.905,188.343,97.404,556.02,1106.764,1110.25,30.969,5416.27,2289.721,8847.21,1.75,6156.675,-2030.7,4.547,0.0,4132.272,14086.246,
03/31/2011,,10421.125,13650.725,-3229.6,0.0,0.0,10421.125,13.528,0.0,80.443,312.192,30.606,0.0,868.77,1305.539,0.0,0.0,0.0,134.573,2267.57,2402.143,14128.807,,12.168,323.484,132.725,168.913,497.59,1134.88,1136.432,30.588,5385.592,2290.661,8843.273,1.753,6164.883,-2020.529,4.547,0.0,4150.654,14128.807,
06/30/2011,,10463.211,13701.796,-3238.585,0.0,0.0,10463.211,13.466,0.0,65.055,367.694,31.414,0.0,1015.585,1493.214,0.0,0.0,0.0,136.731,2254.06,2390.791,14347.216,,8.439,449.94,159.024,106.631,603.612,1327.646,1163.854,30.198,5384.727,2278.324,8857.103,1.754,6170.047,-2013.881,4.547,0.0,4162.467,14347.216,
09/30/2011,,10647.307,13946.336,-3299.029,0.0,0.0,10647.307,15.621,0.0,46.864,372.045,30.491,0.0,1014.44,1479.461,0.0,0.0,0.0,140.537,2271.428,2411.965,14538.733,,8.949,408.998,190.556,151.146,620.365,1380.014,1235.554,29.813,5383.515,2246.647,8895.529,1.755,6173.781,-1916.893,4.547,0.0,4263.19,14538.733,
12/31/2011,,10872.042,14232.047,-3360.005,0.0,0.0,10872.042,14.207,0.0,32.438,330.752,28.598,0.0,991.664,1397.659,0.0,0.0,0.0,149.056,2357.634,2506.69,14776.391,,28.858,515.05,243.709,95.673,605.815,1489.105,1288.797,29.427,5361.084,2367.594,9046.902,1.757,6180.558,-1946.478,4.547,0.0,4240.384,14776.391,
03/31/2012,,10991.185,14410.469,-3419.284,0.0,0.0,10991.185,9.502,0.0,27.418,318.908,30.355,0.0,202.926,589.109,0.0,0.0,0.0,148.314,2359.131,2507.445,14087.739,,30.126,147.212,162.414,162.174,241.763,743.689,1332.331,29.047,5369.794,2357.442,9088.614,1.762,6192.426,-1943.299,4.547,,4255.436,14087.739,
06/30/2012,,11233.63,14759.717,-3526.087,0.0,0.0,11233.63,12.919,0.0,98.698,399.644,31.712,0.0,63.401,606.374,0.0,0.0,0.0,153.681,2419.076,2572.757,14412.761,,120.289,361.972,183.908,96.528,255.267,1017.964,1434.201,28.668,5222.408,2383.545,9068.822,1.763,6198.594,-1878.929,4.547,0.0,4325.975,14412.761,
