Date,Revenue,Sales & Services Revenue,Financing Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Cost of Financing Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2006,870.0,,,,-67.0,,,803.0,,-655.0,,,,,,148,2.0,,,,0.0,-2.0,150.0,-57.0,93.0,65.0,,,28.0,0.0,28.0,,,28.0,28.0,,,,,,,,,,
09/30/2006,1047.0,,,,-92.0,,,955.0,,-816.0,,,,,,139,-12.0,12.0,12.0,,0.0,0.0,127.0,-35.0,92.0,0.0,,,92.0,0.0,92.0,0.0,0.0,92.0,92.0,28.0,200.0,0.46,0.46,0.6,203.0,0.45,0.45,0.59,
12/31/2006,970.0,,,,-78.0,,,892.0,,-709.0,277.0,168.0,,,432.0,183,-37.0,14.0,,,0.0,23.0,146.0,-54.0,92.0,0.0,,,92.0,0.0,92.0,0.0,0.0,92.0,92.0,,193.0,0.48,0.48,0.44,194.0,0.48,0.48,0.44,
03/31/2007,1012.0,,,,-91.0,,,921.0,,-761.0,,,,,,160,-21.0,15.0,18.0,-3.0,0.0,6.0,139.0,-53.0,86.0,0.0,,,86.0,0.0,86.0,0.0,0.0,86.0,86.0,,188.0,0.46,0.46,0.44,190.0,0.45,0.45,0.43,
06/30/2007,1100.0,,,,-104.0,,,996.0,,-819.0,331.0,207.0,,,488.0,177,-23.0,16.0,18.0,-2.0,,7.0,154.0,-58.0,96.0,,,,96.0,,96.0,,,96.0,96.0,,181.0,0.53,0.53,0.49,183.0,0.52,0.52,0.48,
09/30/2007,1216.0,,,,-101.0,,,1115.0,,-915.0,,,,,,200,-11.0,16.0,20.0,-4.0,0.0,-5.0,189.0,-72.0,117.0,0.0,,,117.0,0.0,117.0,0.0,0.0,117.0,117.0,,179.0,0.65,0.65,0.75,180.0,0.65,0.65,0.75,
12/31/2007,1032.0,,,,-80.0,,,952.0,,-763.0,299.0,199.0,,,464.0,189,-16.0,15.0,17.0,-2.0,0.0,1.0,173.0,-69.0,104.0,0.0,,,104.0,0.0,104.0,0.0,0.0,104.0,104.0,,178.0,0.59,0.59,0.472,179.0,0.58,0.58,0.46,
03/31/2008,1012.0,,,,-60.0,,,952.0,,-839.0,,,,,,113,-43.0,16.0,19.0,-3.0,0.0,27.0,70.0,-28.0,42.0,0.0,,,42.0,0.0,42.0,0.0,0.0,42.0,42.0,20.0,177.0,0.24,0.24,0.353,178.0,0.24,0.24,0.353,
06/30/2008,1132.0,,,,-80.0,,,1052.0,,-881.0,,,,,,171,-11.0,15.0,18.0,-3.0,0.0,-4.0,160.0,-62.0,98.0,0.0,,,98.0,0.0,98.0,0.0,0.0,98.0,98.0,-4.0,177.0,0.55,0.55,0.53,178.0,0.55,0.55,0.53,
09/30/2008,1226.0,,,,-120.0,,,1106.0,,-858.0,,,,,,248,-20.0,19.0,21.0,-2.0,0.0,1.0,228.0,-86.0,142.0,0.0,,,142.0,0.0,142.0,0.0,0.0,142.0,142.0,,178.0,0.8,0.8,0.83,178.0,0.8,0.8,0.83,
