Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
06/28/1997,17.016,44.638,5.878,-20.52,,,-20.52,-12.98,,,,-12.98,,-24.507,-10.301,0.0,,,-10.301,,,0.0,0.0,0.0,,,,,-14.206,24.161,0.0,-151.856,,,,268.797,268.797,0.0,-92.78,,16.67,,,
09/27/1997,26.484,44.933,6.594,-4.325,,,-4.325,-20.718,,,,-20.718,,-15.878,-14.604,0.0,,,-14.604,,,0.0,0.0,0.0,,,,,-1.274,-3.422,0.0,-3.422,,,,0.0,0.0,0.0,0.0,,7.184,,,
12/27/1997,85.320999,29.311001,7.492,-6.423,,,-6.423,54.941002,,,,54.941002,,-14.951,-14.651,0.0,,,-14.651,,,0.0,0.0,0.0,,,,,-0.3,-7.319,0.0,-6.463,,,,0.0,0.0,0.0,-0.856,,63.050999,,,
03/28/1998,-32.615002,28.688999,7.438,-1.714,,,-1.714,-67.028,,,,-67.028,,-19.537001,-23.523001,0.0,,,-23.523001,,,0.0,0.0,0.0,,,,,3.986,-5.597,0.0,-5.927,,,,0.0,0.0,0.0,0.33,,-57.749001,,,
06/27/1998,3.432,22.711,10.759,-1.534,,,-1.534,-28.504,37.108,-59.225,,-6.387,,-22.61,-21.55,0.0,,,-21.55,,,0.0,0.0,0.0,,,,,-1.06,-4.404,0.0,2.826,,,,-7.23,0.018,-7.248,0.0,,-23.582,5.922,0.631,
09/26/1998,1.848,49.919,11.383,-5.247,,,-5.247,-54.207,-21.717,-97.696,30.438,34.768,,-58.187,-50.857,0.0,,,-50.857,,,0.0,0.0,0.0,,,,,-7.33,67.696,0.0,76.437,,,,-8.741,0.095,-8.836,0.0,,11.357,28.661,-0.63,
12/26/1998,37.058998,25.351,11.146,-3.644,,,-3.644,4.206,15.515,-79.415001,,68.106,,-22.912001,-22.584,0.0,,,-22.584,,,0.0,0.0,0.0,,,,,-0.328001,-39.599998,0.0,-39.599998,,,,0.0,0.0,0.0,0.0,,-25.452999,20.881001,0.126,
04/03/1999,-3.816,-7.431,13.126,-7.05,,,-7.05,-2.461,,,,-2.461,,-92.52,-46.701,0.0,,,-46.701,,,0.0,0.0,0.0,,,,,-45.819,119.717,0.0,119.717,,,,0.0,0.0,0.0,0.0,,23.381,22.413,2.649,
07/03/1999,19.488,24.11,11.417,4.046,,,4.046,-20.085,9.563,-26.409,-2.232,-1.007,,-21.742,-13.414,0.0,,,-13.414,,,0.0,0.0,0.0,,,,,-8.328,1.926,0.0,8.425,,,,-6.499,0.0,-6.499,0.0,,-0.328,11.218,2.554,
10/02/1999,22.929,55.349,20.871,-1.738,,,-1.738,-51.553,-54.879,-20.721,5.234,18.813,,-46.44,-45.268,0.0,,,-45.268,,,0.0,0.0,0.0,,,,,-1.172,21.734,0.0,29.3,,,,-7.566,0.0,-7.566,0.0,,-1.777,40.76,4.097,
01/01/2000,191.342,32.268,20.786,-3.166,,,-3.166,141.454,26.42,57.713,-19.221,76.542,,-32.684,-29.94482,0.0,,,-29.94482,,,0.0,0.0,0.0,,,,,-2.73918,144.319,0.0,154.028,,,,-6.68,0.0,-6.68,-3.029,,302.977,27.67,3.434,
04/01/2000,8.93,31.77,13.206,12.444,,,12.444,-48.490002,,,,-48.490002,,-217.455994,-33.382999,0.0,,,-33.382999,,,-5.385,0.0,-5.385,,,,,-178.687994,27.766998,0.0,51.098998,,,,-20.517,0.0,-20.517,-2.815,,-180.759003,32.554001,-2.372,
07/01/2000,42.580002,23.983,20.327,13.129,,,13.129,-14.859,31.48,-56.646,,10.307,,-40.731998,-17.987,0.0,,,-17.987,,,0.0,0.0,0.0,,,,,-22.744999,-26.511999,0.0,-18.712999,,,,-7.998,0.0,-7.998,0.199,,-24.664,3.077,2.742,
09/30/2000,-18.316,-62.821,20.818,61.489,,,61.489,-37.802,-55.782,10.789,,7.191,,-95.065,-28.337,0.0,,,-28.337,,,0.0,0.0,0.0,,,,,-66.728,52.907,0.0,60.807,,,,-2.481,0.0,-2.481,-5.419,,-60.474,14.869,1.292,
