Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1989,3521.399902,77.800003,77.800003,0.0,374.0,,,,228.600006,,,,,97.800003,,,,,778.200012,2334.899902,4653.600098,-2318.699951,,,408.299988,,,,,,,408.299988,2743.19989,,305.899994,305.899994,,,,54.700001,,,,,,155.30003,,,155.30003,515.900024,909.200012,,,,,585.900024,,,,585.900024,1495.100037,2011.000061,0.0,288.899994,,,-235.899994,,1457.399994,1510.399994,0.0,1510.399994,3521.400055,
03/31/1990,3610.300049,94.199997,94.199997,0.0,396.0,,,,211.199997,,,,,91.699997,,,,,793.099976,2394.199951,4785.700195,-2391.5,,,423.0,,,,,,,423.0,2817.199951,,310.5,310.5,,,,75.5,,,,,,147.099976,,,147.099976,533.099976,928.5,,,,,590.0,,,,590.0,1518.5,2051.599976,0.0,290.200012,,,-233.300003,,1501.800003,1558.700012,0.0,1558.700012,3610.299988,
06/30/1990,3781.800049,53.0,53.0,0.0,401.899994,,,,202.399994,,,,,100.800003,,,,,758.099976,2489.199951,4966.5,-2477.300049,,,534.5,,,,,,,534.5,3023.699951,,316.799988,316.799988,,,,137.899994,,,,,,168.399994,,,168.399994,623.099976,939.5,,,,,602.5,,,,602.5,1542.0,2165.099976,0.0,290.799988,,,-228.699997,,1554.600021,1616.700012,0.0,1616.700012,3781.799988,
09/30/1990,3899.5,74.400003,71.300003,3.1,437.299988,,,,210.600006,,,,,115.0,,,,,837.299988,2485.100098,5010.200195,-2525.100098,37.099998,,540.0,,,,,,,540.0,3062.200096,,350.799988,350.799988,,,,103.400002,,,,,,168.80001,,,168.80001,623.0,953.900024,,,,,634.200012,,,,634.200012,1588.100036,2211.100036,0.0,291.299988,,,-227.300003,,1624.399979,1688.399964,0.0,1688.399964,3899.5,
12/31/1990,4029.800049,80.300003,80.300003,0.0,404.5,,,,223.399994,,,,,141.600006,,,,,849.799988,2576.300049,5191.100098,-2614.800049,,,603.700012,,,,,,,603.700012,3180.000061,,365.299988,365.299988,,,,120.599998,,,,,,182.900002,,,182.900002,668.799988,957.900024,,,,,643.299988,,,,643.299988,1601.200012,2270.0,0.0,294.600006,,,-220.0,,1685.199951,1759.799957,0.0,1759.799957,4029.799957,
03/31/1991,3974.800049,71.400002,71.400002,0.0,404.299988,,,,224.699997,,,,,123.900002,,,,,824.299988,2541.0,5139.399902,-2598.399902,,,609.5,,,,,,,609.5,3150.5,,349.799988,349.799988,,,,156.699997,,,,,,194.800003,,,194.800003,701.299988,890.599976,,,,,630.400024,,,,630.400024,1521.0,2222.299988,0.0,296.100006,,,-215.399994,,1671.800018,1752.500031,0.0,1752.500031,3974.800018,
06/30/1991,3964.399902,75.300003,75.300003,0.0,396.0,,,,218.100006,,,,,136.100006,,,,,825.5,2516.300049,5137.0,-2620.699951,,,622.599976,,,,,,,622.599976,3138.900024,,326.100006,326.100006,,,,107.400002,,,,,,194.79998,,,194.79998,628.299988,941.099976,,,,,629.5,,,,629.5,1570.599976,2198.899963,0.0,298.5,,,-212.199997,,1679.199997,1765.5,0.0,1765.5,3964.399963,
09/30/1991,4227.5,104.400002,104.400002,0.0,421.299988,,,,227.300003,,,,,148.199997,,,,,901.200012,2622.600098,5332.200195,-2709.600098,70.699997,,633.0,,,,,,,633.0,3326.300095,,389.200012,389.200012,,,,190.399994,,,,,,204.899994,,,204.899994,784.5,944.599976,,,,,657.099976,,,,657.099976,1601.699951,2386.199951,0.0,298.700012,,,-211.399994,,1753.999969,1841.299988,0.0,1841.299988,4227.499939,
12/31/1991,4416.799805,158.399994,158.399994,0.0,441.600006,,,,242.600006,,,,,163.5,,,,,1006.099976,2684.100098,5502.700195,-2818.600098,,,726.599976,,,,,,,726.599976,3410.700073,,341.299988,341.299988,,,,287.200012,,,,,,208.700012,,,208.700012,837.200012,949.599976,,,,,685.900024,,,,685.900024,1635.5,2472.700012,0.0,304.899994,,,-204.199997,,1843.399948,1944.099945,0.0,1944.099945,4416.799957,
03/31/1992,4309.600098,107.199997,107.199997,0.0,453.600006,,,,243.800003,,,,,165.399994,,,,,970.0,2635.5,5471.600098,-2836.100098,,,704.099976,,,,,,,704.099976,3339.599976,,349.899994,349.899994,,,,219.100006,,,,,,202.900024,,,202.900024,771.900024,904.5,,,,,681.099976,,,,681.099976,1585.599976,2357.5,0.0,308.600006,,,-198.699997,,1842.199997,1952.100006,0.0,1952.100006,4309.600006,
