Date,Revenue,Consensus Estimate,Comparable Actual,Revenue Surprise %,GAAP Actual,Adjusted Actual,Earnings Per Share,EPS Surprise %,EBIT,EBIT Surprise %,EBITDA,Gross Margin %,Gross Margin Surprise %,Pretax Income (Loss),Pretax Income (Loss) Surprise %,Net Income,Source: Bloomberg
05/02/1993,,,0.981,,0.395,0.395,,,,,,,,,,,
08/01/1993,,,0.92,,0.92,0.92,,,,,,,,,,,
10/30/1993,,,1.37,,0.964,0.964,,,,,,,,,,,
01/30/1994,,,0.0,,2.029,2.029,,,,,,,,,,,
04/30/1994,,,-4.753,,-8.317,-8.317,,,,,,,,,,,
07/31/1994,,,4.636,,1.083,1.083,,,,,,,,,,,
10/30/1994,,,1.548,,1.548,1.548,,,,,,,,,,,
01/29/1995,,,0.0,,-5.297,-5.297,,,,,,,,,,,
04/30/1995,,,-0.343,,-0.343,-0.343,,,,,,,,,,,
07/30/1995,,,-15.484,,-15.484,-15.484,,,,,,,,,,,
10/29/1995,,,0.578,,0.578,0.578,,,,,,,,,,,
01/28/1996,,,0.0,,8.231,8.231,,,,,,,,,,,
04/28/1996,,,0.925,,0.409,0.409,,,,,,,,,,,
07/28/1996,,,2.898,,2.164,2.164,,,,,,,,,,,
10/27/1996,,,11.157,,10.433,10.433,,,,,,,,,,,
02/02/1997,,,457.364014,,5.611,5.611,,,,,,,,,,,
05/04/1997,,,8.885,,-0.746,-0.746,,,,,,,,,,,
08/03/1997,,,9.175,,-35.716,-35.716,,,,,,,,,,,
11/02/1997,,,1.646,,0.18,0.18,,,,,,,,,,,
02/01/1998,,,5.857,,1.852,1.852,,,,,,,,,,,
05/03/1998,,,0.153,,0.153,0.153,,,,,,,,,,,
08/02/1998,,,3.022,,-1.678,-1.678,,,,,,,,,,,
11/01/1998,,,5.331,,5.331,5.331,,,,,,,,,,,
01/31/1999,,,12.955,,19.463,19.463,,,,,,,,,,,
05/02/1999,,,8.45225,,3.553,3.553,,,,,,,,,,,
08/01/1999,,,5.08175,,2.043,2.043,,,,,,,,,,,
10/31/1999,,,-4.5634,,-33.229,-33.229,,,,,,,,,,,
01/30/2000,,,7.7094,,-4.789,-4.789,,,,,,,,,,,
04/30/2000,,,3.089,,0.587,0.587,,,,,,,,,,,
07/30/2000,,,6.851,,-3.012,-3.012,,,,,,,,,,,
10/29/2000,,,-0.254,,-3.214,-3.214,,,,,,,,,,,
01/28/2001,,,-19.521999,,-24.422,-24.422,,,,,,,,,,,
04/29/2001,,,1.236,,1.236,1.236,,,,,,,,,,,
07/29/2001,,,8.508,,2.818,2.818,,,,,,,,,,,
10/28/2001,,,5.817,,5.817,5.817,,,,,,,,,,,
02/03/2002,,,26.34,,29.696,29.696,,,,,,,,,,,
05/05/2002,,,22.145,,22.145,22.145,,,,,,,,,,,
08/04/2002,,,21.509001,,21.509,21.509,,,,,,,,,,,
11/03/2002,,,20.649,,20.649,20.649,,,,,,,,,,,
02/02/2003,,,37.751999,,24.552,24.552,,,,,,,,,,,
05/04/2003,,,23.846001,,23.846001,23.846001,,,,,,,,,,,
