Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Change in Insurance Reserves,Other Financing Activities,Net Changes in Cash,Source: Bloomberg
03/31/1991,11.889,13.552,0.224,2.146,-4.033,,,,,,,,,,,,,,,,,
06/30/1991,34.769001,18.410999,0.272,14.16,1.926,,,,,,,,,,,,,,,,,
09/30/1991,49.257,20.568001,0.33,25.358999,3.0,,,,,,,,,,,,,,,,,
12/31/1991,26.49,22.475,0.688,2.968,0.359,,,,,,,,,,,,,,,,,
03/31/1992,22.538,18.608999,0.569,-3.811,7.171,,,,,,,,,,,,,,,,,
06/30/1992,43.279999,25.308001,0.608,25.565001,-8.201,,,,,,,,,,,,,,,,,
09/30/1992,27.903999,28.848,0.687,0.712,-2.343,,,,,,,,,,,,,,,,,
12/31/1992,25.933001,29.497,0.813,5.263,-9.64,,,,,,,,,,,,,,,,,
03/31/1993,40.415001,25.436001,0.748,6.509,7.722,,,,,,,,,,,,,,,,,
06/30/1993,53.919998,31.914,-0.209,27.066,-4.851,,,,,,,,,,,,,,,,,
09/30/1993,73.191002,33.752998,0.999,30.865999,7.573,,,,,,,,,,,,,,,,,
12/31/1993,45.171001,36.166,0.451,16.57,-8.016,,,,,,,,,,,,,,,,45.171001,
03/31/1994,82.234001,33.176998,1.225,-14.076,61.908001,,,,,,,,,,,,,,,,,
06/30/1994,36.705002,38.451,-0.626,6.995,-8.115,,,,,,,,,,,,,,,,,
09/30/1994,70.079002,42.057999,0.91,23.635,3.476,,,,,,,,,,,,,,,,,
12/31/1994,50.435001,45.832001,1.135,10.469,-7.001,,,,,,,,,,,,,,,,50.435001,
03/31/1995,68.844002,45.217999,0.914,-6.692,29.403999,,,,,,,,,,,,,,,,,
06/30/1995,50.112,49.945,3.261,25.941999,-29.035999,,,,,,,,,,,,,,,,,
09/30/1995,83.815002,53.664001,2.268,24.843,3.04,,,,,,,,,,,,,,,,,
12/31/1995,83.765999,58.737999,2.17,27.545,-4.687,,,,,,,,,,,,,,,,83.765999,
03/31/1996,79.917999,58.459999,2.142,13.542,5.774,,,,,,,,,,,,,,,,,
06/30/1996,72.302002,62.650002,2.38,9.02,-1.748,,,,,,,,,,,,,,,,,
09/30/1996,137.796997,65.785004,2.362,65.452003,4.198,,,,,,,,,,,,,,,,,
12/31/1996,77.745,71.096,2.085,9.169,-4.605,,,,,,,,,,,,,,,,77.745,
03/31/1997,105.443,72.436,9.334,9.609,14.064,-56.216,0.0,0.0,-165.998,109.782,0.0,-28.695,-2.361,0.0,0.0,-35.424,9.09,0.0,0.0,0.0,20.532,
06/30/1997,55.842,80.615,9.393,-45.006,10.84,-121.323,0.0,0.0,-231.68,117.207,-6.85,-1.117,-2.958,0.0,0.0,0.0,1.841,0.0,0.0,0.0,-66.598,
09/30/1997,112.449,84.175,6.634,-7.212,28.852,-78.129,0.0,0.0,-206.827,129.198,-0.5,-3.935,-2.854,0.0,222.5,,1.447,-225.028,0.0,0.0,30.385,
12/31/1997,95.479,86.524,1.989,11.678,-4.712,,,,,,,,,,,,,,,,95.479,
03/31/1998,122.607,94.047,6.456,13.256,8.848,-25.103,0.0,0.0,-246.458,221.355,0.0,11.489,-2.85,0.0,5.0,0.0,9.339,0.0,0.0,0.0,108.993,
06/30/1998,75.215,95.212,8.296,-36.299,8.006,-134.183,0.0,0.0,-261.202,142.019,-15.0,-34.126,-2.855,0.0,2.5,-7.342,2.871,-29.3,0.0,0.0,-93.094,
09/30/1998,108.327,96.492,7.287,-10.67,15.218,-85.59,0.0,0.0,-185.481,100.817,-0.926,-31.444,-2.816,0.0,175.0,-3.733,2.01,-201.905,0.0,0.0,-8.707,
12/31/1998,125.872025,99.714005,2.272,23.885998,,,,,,,,,,,,,,,,,,
03/31/1999,126.693,100.418,4.113,17.651,4.511,-119.246,0.0,0.0,-397.698,290.312,-11.86,-2.431,-2.725,0.0,0.0,0.0,0.294,0.0,0.0,0.0,5.016,
06/30/1999,71.57,112.934,8.79,-45.755,-4.399,-80.058,0.0,0.0,-279.135,200.677,-1.6,-26.528,-2.728,0.0,0.0,-25.0,1.2,0.0,0.0,0.0,-35.016,
09/30/1999,150.7,122.909,7.944,22.611,-2.764,-15.207,0.0,0.0,-265.355,257.275,-7.127,-157.292,-2.727,0.0,0.0,-6.0,1.435,-150.0,0.0,0.0,-21.799,
12/31/1999,89.433,133.94,7.721,-19.819,-32.409,-82.849,0.0,0.0,-295.446,205.609,6.988,-21.576,-2.645,0.0,30.619,0.0,0.983,-50.533,0.0,0.0,-14.992,
03/31/2000,172.289,127.22,4.58,56.272,-15.783,-62.941,0.0,0.0,-455.57,394.874,-2.245,-7.809,-2.646,0.0,0.0,0.0,1.061,-6.224,0.0,0.0,101.539,
06/30/2000,84.577,136.103,6.605,-46.266,-11.865,-141.913,0.0,0.0,-332.793,203.658,-12.778,-5.191,-2.644,0.0,0.0,-5.0,2.453,0.0,0.0,0.0,-62.527,
09/30/2000,147.889,146.355,8.827,-9.026,1.733,-172.193,0.0,0.0,-598.504,426.311,0.0,-5.372,-2.661,0.0,10.0,-20.0,7.289,0.0,0.0,0.0,-29.676,
12/31/2000,147.81,132.321,7.445,19.376,-11.332,-102.581,0.0,0.0,-435.48,338.584,-5.685,-7.443,-2.667,0.0,309.079,-321.751,7.896,0.0,0.0,0.0,37.786,
03/31/2001,212.136,157.924,5.299,60.232,-11.319,-180.658,0.0,0.0,-772.908,597.25,-5.0,-9.12,-2.67,87.678,0.0,-98.184,4.056,0.0,0.0,0.0,22.358,
06/30/2001,64.294,161.218,6.7,-95.038,-8.586,-108.81,0.0,0.0,-741.151,642.341,-10.0,24.78,-2.677,-87.678,108.509,0.0,6.626,0.0,0.0,0.0,-19.736,
09/30/2001,245.622,158.992,7.858,64.088,14.684,-185.793,0.0,0.0,-648.214,462.421,0.0,-38.09,-2.684,0.0,2.99,-35.2,4.625,-7.821,0.0,0.0,21.739,
12/31/2001,104.067,161.003,10.657,-69.739,2.146,-126.49,0.0,0.0,-639.452,512.962,0.0,27.224,-2.654,0.0,94.022,0.0,1.523,-65.667,0.0,0.0,4.801,
03/31/2002,233.547,169.187,8.228,41.888,14.244,-211.458,0.0,0.0,-819.328,607.87,0.0,114.283,-2.653,0.0,199.992,-59.607,6.649,-30.098,0.0,0.0,136.372,
06/30/2002,87.07,170.936,8.795,-96.092,3.431,157.426,0.0,0.0,-491.603,649.029,0.0,-133.089,-2.63,0.0,0.0,-1.194,10.02,-139.285,0.0,0.0,111.407,
