Date,Revenue,Revenue From Electric,Regulated Electric Revenue,Unregulated Electric Revenue,Revenue from Gas,Revenue from Water,Other Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Purchased Power Cost,Purchased Gas & Water Cost,Purchased Gas Cost,Purchased Water Cost,Other Cost of Revenue,Gross Profit,Operating Expenses,Maintenance Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Total Interest Income,AFUDC - Equity,Interest Income,Interest Expense,Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,1070.235962,1045.744995,,,0.0,0.0,24.490999,-391.958008,391.957993,198.957993,193.0,0.0,,,,678.277954,-557.005981,106.769997,122.793999,102.341003,225.100998,121.272003,-73.996003,,,,,81.356003,86.213997,-4.858,0.0,-7.36,47.276,-0.022,47.254002,-3.606,,,50.860001,0.0,50.860001,-11.471,,39.389001,39.389001,,268.548004,0.145,0.13,,268.548004,0.145,0.13,0.13,
06/30/1990,1271.366943,1246.375,,,0.0,0.0,24.992001,-479.744995,479.744995,273.744995,206.0,0.0,,,,791.621948,-550.750977,98.014999,124.790001,104.581001,223.365005,240.871002,-73.160001,,,,,79.289001,85.332001,-6.043,0.0,-6.129,167.711001,-53.397999,114.313004,6.685,,,107.628002,0.0,107.627998,-10.882,,96.745998,96.745998,,270.40799,0.36,0.385,,270.40799,0.36,0.385,0.385,
09/30/1990,1483.156006,1465.411987,,,0.0,0.0,17.743999,-555.302979,555.303009,337.303009,218.0,0.0,,,,927.853027,-650.609985,89.941002,119.572998,125.195,315.901001,277.243011,-76.283997,,,,,80.602997,87.164001,-6.561,0.0,-4.319,200.959014,-62.334999,138.623993,696.549026,,,-557.925011,0.0,-557.924988,-10.623,,-568.547988,-568.547988,,271.675995,-2.095,0.47,,271.675995,-2.095,0.47,0.47,
12/31/1990,1261.58606,1230.157959,,,0.0,0.0,31.427999,-500.22699,500.22699,285.22699,215.0,0.0,,,,761.35907,-640.007996,113.350998,134.112,119.376999,273.167999,121.350998,-73.629002,,,,,82.802002,90.764,-7.962,0.0,-9.173,47.721996,-6.138,41.584,-10.448,,,52.031996,0.0,52.032001,-10.624,,41.408002,41.408002,,283.223999,0.145,0.11,0.11,283.223999,0.145,0.11,0.11,
03/31/1991,1163.14502,1136.620972,,,0.0,0.0,26.524,-438.303009,438.302994,235.302994,203.0,0.0,,,,724.84201,-538.953979,83.357002,124.682999,112.713997,218.199997,185.888,-68.688997,,,,,86.183998,95.333,-9.149,0.0,-17.495001,117.199003,-35.187,82.012001,135.570002,,,-53.557999,0.0,-53.557999,-10.623,,-64.180999,-64.180999,,322.463989,-0.2,0.22,0.22,322.463989,-0.2,0.22,0.22,
06/30/1991,1386.745972,1358.371948,,,0.0,0.0,28.374001,-515.804016,515.803986,298.803986,217.0,0.0,,,,870.941956,-694.375,105.125999,126.737,120.464996,342.046997,176.567001,-68.585999,,,,,83.195,92.061996,-8.867,0.0,-14.609,107.981002,-23.038,84.943001,0.0,,,84.943002,0.0,84.943001,-10.211,,74.732,74.732,,323.503998,0.23,0.23,0.23,323.503998,0.23,0.23,0.23,
09/30/1991,1518.29895,1503.706055,,,0.0,0.0,14.593,-562.372009,562.372009,352.372009,210.0,0.0,,,,955.926941,-589.310974,91.278,137.977997,134.074005,225.981003,366.615997,-73.344,,,,,84.208,91.390999,-7.183,0.0,-10.864,293.271997,-95.397003,197.875,0.0,,,197.874994,0.0,197.875,-10.211,,187.664,187.664,,325.303986,0.575,0.575,0.575,325.303986,0.575,0.575,0.575,
12/31/1991,1181.245972,1160.067017,,,0.0,0.0,21.179001,-416.15799,416.158005,211.158005,205.0,0.0,,,,765.087982,-617.111023,125.255997,128.669998,118.709,244.475998,147.977005,-77.704001,,,,,82.192001,91.037003,-8.845,0.0,-4.488,70.273004,-17.698999,52.574001,0.0,,,52.574004,0.0,52.574001,-10.211,,42.363001,42.363001,,333.536011,0.125,0.125,0.125,333.536011,0.125,0.125,0.125,
03/31/1992,1093.369019,1064.692993,,,0.0,0.0,28.676001,-348.640015,348.639999,174.639999,174.0,0.0,,,,744.729004,-551.258972,79.440002,141.022003,114.527,216.270004,193.470001,-68.651001,,,,,80.012001,90.987999,-10.976,0.0,-11.361,124.819,-40.035999,84.782997,0.0,,,84.783001,0.0,84.782997,-10.378,,74.404997,74.404997,,343.100006,0.215,0.215,0.215,343.100006,0.215,0.215,0.215,
06/30/1992,1261.982056,1232.41394,,,0.0,0.0,29.568001,-434.996002,434.996002,237.996002,197.0,0.0,,,,826.986053,-589.723022,105.362999,142.764008,117.188004,224.408005,237.263,-66.597,,,,,76.847,89.917,-13.07,0.0,-10.25,170.666,-55.768002,114.898003,0.0,,,114.897999,0.0,114.898003,-11.407,,103.491003,103.491003,,347.167999,0.3,0.3,0.3,347.167999,0.3,0.3,0.3,
