Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1999,300.815002,269.553986,269.553986,0.0,1.588,0.0,,,0.0,0.0,0.0,0.0,0.0,2.521,,,,273.662994,23.875,27.297001,-3.422,0.0,,3.277,0.434,0.0,0.434,2.843,27.152,,8.987,8.987,,,,3.255,2.751,0.504,0.504,,,6.394999,,,6.394999,18.636999,0.733,0.0,0.733,0.733,,0.0,,,,,,0.0,0.733,19.369999,0.0,375.664001,,,0.0,-58.581001,-35.638,281.445,0.0,281.445,300.814999,
03/31/2000,471.812988,225.166,26.612,198.554001,3.136,0.0,,,0.0,0.0,0.0,0.0,0.0,8.778,,,,237.080002,43.474998,49.960999,-6.486,0.0,,191.257996,186.873993,0.0,186.873993,4.384003,234.732994,,17.070999,17.070999,,,,0.652,0.064,0.588,0.588,,,14.443001,,,14.443001,32.166,0.682,0.0,0.682,0.682,,0.0,,,,,,0.0,0.682,32.848,0.0,559.989014,,,0.0,,-121.024002,438.965012,0.0,438.965012,471.813012,
06/30/2000,3335.812988,515.673004,354.540009,161.132996,11.65,0.0,,,0.0,0.0,0.0,0.0,0.0,10.472,,,,537.794983,92.563004,106.353996,-13.791,17.558001,,2687.896973,2656.073975,2610.319092,45.754883,31.822998,2798.017977,,29.212,29.212,,,,1.023,0.0,1.023,1.023,,,19.440999,,,19.440999,49.675999,300.901001,300.000001,0.901,0.901,,0.523,,,,,,0.523,301.424001,351.1,0.0,3354.063965,,,0.0,,-369.351013,2984.712952,0.0,2984.712952,3335.812951,
09/30/2000,3058.325928,438.743004,371.195007,67.547997,15.592,0.0,,,0.0,0.0,0.0,0.0,0.0,19.565001,,,,473.899994,121.811996,146.809006,-24.997,12.637,,2449.977051,2425.207031,2379.302002,45.905029,24.77002,2584.426047,,28.882999,28.882999,,,,1.067,0.0,1.067,1.067,,,24.612001,,,24.612001,54.562,300.688995,299.999995,0.689,0.689,,0.78,,,,,,0.78,301.468995,356.030996,0.0,3374.547119,,,0.0,,-672.252014,2702.295105,0.0,2702.295105,3058.326101,
12/31/2000,2790.7771,309.652008,150.130005,159.522003,22.67,0.0,,,0.0,0.0,0.0,0.0,0.0,23.021999,,,,355.343994,143.041,181.996994,-38.956001,77.281998,,2215.110107,2186.156982,2139.647949,46.509033,28.953125,2435.433105,,52.212002,52.212002,,,,1.08,0.0,1.08,1.08,,,31.655996,,,31.655996,84.947998,300.42099,299.99999,0.421,0.421,,1.009,,,,,,1.009,301.42999,386.377988,0.0,3383.664062,,,0.0,,-979.265015,2404.399048,0.0,2404.399048,2790.777036,
03/31/2001,576.653015,313.113998,134.145996,178.968002,23.865,0.0,,,0.0,0.0,0.0,0.0,0.0,23.051001,,,,360.029999,151.089005,,,0.0,,65.533997,35.903,35.903,0.0,29.630997,216.623002,,49.036999,49.036999,,,,1.111,0.0,1.111,1.111,,,29.448002,,,29.448002,79.596001,300.229004,300.000004,0.229,0.229,,1.268,,,,,,1.268,301.497004,381.093005,0.0,3389.040039,,,0.0,,-3193.47998,195.560059,0.0,195.560059,576.653064,
06/30/2001,519.594971,267.102997,120.253998,146.848999,25.226,0.0,,,0.0,0.0,0.0,0.0,0.0,18.495001,,,,310.824005,150.824005,,,0.0,,57.946999,30.811001,30.811001,0.0,27.135998,208.771004,,38.112,38.112,,,,0.915,0.0,0.915,0.915,,,46.983003,,,46.983003,86.010002,300.17099,299.99999,0.171,0.171,,16.372999,,,,,,16.372999,316.543989,402.553991,0.0,3445.441895,,,0.0,,-3328.400879,117.041016,0.0,117.041016,519.595007,
09/30/2001,468.708008,239.605995,100.653999,138.951996,19.614,0.0,,,0.0,0.0,0.0,0.0,0.0,13.979,,,,273.199005,146.382996,,,0.0,,49.125999,23.371,23.371,0.0,25.754999,195.508995,,40.110001,40.110001,,,,0.68,0.0,0.68,0.68,,,47.385002,,,47.385002,88.175003,300.119995,299.999995,0.12,0.12,,10.567,,,,,,10.567,310.686995,398.861998,0.0,3445.164062,,,0.0,,-3375.318115,69.845947,0.0,69.845947,468.707945,
12/31/2001,421.477997,192.68,78.774002,113.905998,20.066999,0.0,,,0.0,0.0,0.0,0.0,0.0,15.252,,,,227.998993,132.237,245.604996,-113.367996,17.830999,,43.410999,19.351,3.979,15.372,24.059999,193.478998,,32.076,32.076,,,,0.405,0.0,0.405,0.405,,,58.816997,,,58.816997,91.297997,300.113007,300.000007,0.113,0.113,,12.833,,,,,,12.833,312.946007,404.244004,0.0,3439.856934,,,0.0,-3422.623047,0.0,17.233887,0.0,17.233887,421.477891,
03/31/2002,350.806,164.122002,63.808998,100.313004,17.294001,0.0,,,0.0,0.0,0.0,0.0,0.0,16.542999,,,,197.959,114.717003,,,7.603,,30.527,14.104,4.938,9.166,16.423,152.847003,,28.209,28.209,,,,16.063999,15.891999,0.172,0.172,,,34.213001,,,34.213001,78.486,300.07901,300.00001,0.079,0.079,,7.121,,,,,,7.121,307.20001,385.68601,0.0,3439.023926,,,0.0,,-3473.904053,-34.880127,0.0,-34.880127,350.805883,
06/30/2002,312.201996,150.928997,88.140999,62.787998,17.032,0.0,,,0.0,0.0,0.0,0.0,0.0,13.145,,,,181.106003,97.458,,,9.313,,24.325001,11.872,4.937,6.935,12.453001,131.096001,,22.174999,22.174999,,,,1.313,0.0,1.313,1.313,,,50.774002,,,50.774002,74.262001,301.569,300.0,1.569,1.569,,7.061,,,,,,7.061,308.63,382.892001,0.0,3438.082031,,,0.0,,-3508.771973,-70.689942,0.0,-70.689942,312.202059,
09/30/2002,266.384003,136.910003,123.494003,13.416,16.059,0.0,,,0.0,0.0,0.0,0.0,0.0,9.406,,,,162.375,81.273003,,,5.072,,17.664,9.641,4.937,4.704,8.023,104.009003,,25.406,25.406,,,,1.199,0.0,1.199,1.199,,,45.598003,,,45.598003,72.203003,301.303009,300.000009,1.303,1.303,,5.689,,,,,,5.689,306.992009,379.195012,0.0,3438.12793,,,0.0,,-3550.938965,-112.811035,0.0,-112.811035,266.383977,
12/31/2002,229.863007,114.926001,111.262001,3.664,17.573999,0.0,,,0.0,0.0,0.0,0.0,0.0,9.183,,,,141.682999,63.159,225.330002,-162.171005,10.244,,14.777,7.41,4.937,2.473,7.367,88.18,,16.847,16.847,,,,1.207,0.0,1.207,1.207,,,63.044999,,,63.044999,81.098999,301.006012,300.000012,1.006,1.006,,15.848,,,,,,15.848,316.854012,397.953011,0.0,3429.611084,,,0.0,-3584.314941,-13.385987,-168.089844,0.0,-168.089844,229.863167,
03/31/2003,199.524002,106.731004,98.632004,8.099,21.066,0.0,,,0.0,0.0,0.0,0.0,0.0,6.933,,,,134.729996,49.965,,,3.211,,11.618,5.212,4.937,0.275,6.406,64.794,,15.215,15.215,,,,1.896,-0.01,1.906,1.906,,,49.057999,,,49.057999,66.168999,300.01001,299.91601,0.094,0.094,,6.898,,,,,,6.898,306.90801,373.077009,0.0,3429.237061,,,0.0,,-3602.790039,-173.552978,0.0,-173.552978,199.524031,
06/30/2003,177.020996,92.327002,90.719002,1.608,22.004,0.0,,,0.0,0.0,0.0,0.0,0.0,9.284,,,,123.614998,38.143002,,,4.018,,11.245,5.2,4.937,0.263,6.045,53.406002,,13.63,13.63,,,,1.054,0.0,1.054,1.054,,,37.360998,,,37.360998,52.044998,300.0,299.954,0.046,0.046,,5.724,,,,,,5.724,305.724,357.768998,0.0,3430.917969,,,0.0,-3607.60791,-4.058106,-180.748047,0.0,-180.748047,177.020951,
