Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/1993,252.824005,8.8,8.8,0.0,13.546,,,1.393,,,,,1.657,,,,25.396,223.147003,320.834015,-97.686996,0.0,4.281,,,,4.281,227.428003,,14.118,14.118,,,,4.75,,,,,6.521,,,,6.521,25.389,105.25,,,,6.016,,,,,6.016,111.266,136.655,0.0,123.391998,,,0.0,,-7.223,116.168998,0.0,116.168998,252.823998,
09/30/1993,250.598007,5.643,5.643,0.0,16.888,,,2.15,,,,,2.987,,,,27.667999,218.789993,322.210999,-103.420998,0.0,4.14,,,,4.14,222.929993,,18.292,18.292,,,,3.9,,,,,7.333999,,,,7.333999,29.525999,99.099998,,,,7.022,,,,,7.022,106.121998,135.647997,0.0,123.391998,,,0.0,,-8.442,114.949998,0.0,114.949998,250.597995,
12/31/1993,258.019012,2.058,2.058,0.0,17.940001,,,1.104,,,,,1.653,,,,22.754999,228.550995,337.64801,-109.097,0.0,6.713,,,,6.713,235.263995,,20.256001,20.256001,,,,0.0,,,,,5.013999,,,,5.013999,25.27,111.75,,,,5.831,,,,,5.831,117.581,142.851,0.0,123.391998,,,0.0,,-8.224,115.167998,0.0,115.167998,258.018998,
03/31/1994,274.368011,4.198,4.198,0.0,16.487,,,0.0,,,,,1.366,,,,22.051001,245.843994,361.833008,-115.988998,0.0,6.473,,,,6.473,252.316994,,19.820999,19.820999,,,,0.0,,,,,4.764,,,,4.764,24.584999,130.75,,,,5.503,,,,,5.503,136.253,160.837999,0.0,123.391998,,,0.0,,-9.862,113.529998,0.0,113.529998,274.367997,
06/30/1994,279.287994,6.949,6.949,0.0,16.540001,,,0.082,,,,,1.456,,,,25.027,241.220993,363.27301,-122.052002,0.0,13.04,,,,13.04,254.260993,,21.792999,21.792999,,,,0.0,,,,,4.779001,,,,4.779001,26.572001,133.75,,,,6.073,,,,,6.073,139.823,166.395,0.0,123.391998,,,0.0,,-10.499,112.892999,0.0,112.892999,279.287999,
09/30/1994,286.078003,7.576,7.576,0.0,14.037,,,1.71,,,,,2.016,,,,25.339001,240.076996,368.845001,-128.768005,14.529,6.133,,,,6.133,260.738996,,21.381001,21.381001,,,,0.0,,,,,5.483999,,,,5.483999,26.865,136.75,,,,7.755,,,,,7.755,144.505,171.37,0.0,123.391998,,,0.0,,-8.684,114.707998,0.0,114.707998,286.077998,
12/31/1994,292.450989,7.838,7.838,0.0,15.604,,,1.544,,,,,1.95,,,,26.936001,244.554993,379.386993,-134.832001,0.0,20.959999,,,,20.959999,265.514992,,24.263,24.263,,,,0.0,,,,,4.258999,,,,4.258999,28.521999,142.75,,,,7.846,,,,,7.846,150.596,179.117999,0.0,123.413002,,,-0.011,,-10.069,113.333002,0.0,113.333002,292.451001,
03/31/1995,311.364014,5.489,5.489,0.0,15.043,,,0.0,,,,,1.614,,,,22.146,268.210999,410.932007,-142.720993,15.355,5.652,,,,5.652,289.217998,,19.983999,19.983999,,,,2.384,,,,,3.513001,,,,3.513001,25.881001,163.365997,,,,8.343,,,,,8.343,171.708998,197.589998,0.0,123.412003,,,-0.011,,-9.627,113.774003,0.0,113.774003,311.364001,
06/30/1995,308.34201,5.566,5.566,0.0,17.052999,,,0.051,,,,,2.357,,,,25.027,277.266998,428.110992,-150.843994,0.0,6.048,,,,6.048,283.314998,,21.277,21.277,,,,0.0,,,,,4.427,,,,4.427,25.704,159.75,,,,9.103,,,,,9.103,168.853,194.557,0.0,124.024002,,,-0.301,,-9.938,113.785002,0.0,113.785002,308.342002,
09/30/1995,418.376007,3.608,3.608,0.0,21.649,,,0.0,,,,,2.051,,,,27.308001,385.48999,545.708984,-160.218994,0.0,5.578,,,,5.578,391.06799,,23.440001,23.440001,,,,0.0,,,,,3.063999,,,,3.063999,26.504,239.145004,,,,8.964,,,,,8.964,248.109004,274.613004,0.0,153.546997,,,-0.301,,-9.483,143.762997,0.0,143.762997,418.376,
12/31/1995,402.674988,2.212,2.212,0.0,27.582001,,,0.0,,,,,2.943,,,,32.737,364.473999,543.802979,-179.328995,0.0,5.464,,,,5.464,369.937999,,25.313999,25.313999,,,,0.0,,,,,5.771,,,,5.771,31.084999,238.475006,,,,2.415,,,,,2.415,240.890006,271.975005,0.0,156.854004,,,-0.528,,-25.625999,130.700005,0.0,130.700005,402.67501,
03/31/1996,390.795013,5.29,5.29,0.0,28.601999,,,0.0,,,,,2.268,,,,36.16,335.342987,520.523987,-185.181,14.258,5.034,,,,5.034,354.634987,,27.32,27.32,,,,0.0,,,,,5.131001,,,,5.131001,32.451,221.75,,,,3.555,,,,,3.555,225.305,257.756,0.0,157.492004,,,-0.914,,-23.538999,133.039005,0.0,133.039005,390.795006,
06/30/1996,401.776001,1.849,1.849,0.0,25.700001,,,0.664,,,,,1.949,,,,30.162001,349.661987,543.31897,-193.656998,17.145,4.807,,,,4.807,371.613988,,35.868999,35.868999,,,,0.0,,,,,2.688999,,,,2.688999,38.557999,236.720993,,,,3.691,,,,,3.691,240.411993,278.969992,0.0,163.128006,,,-19.143999,,-21.177999,122.806007,0.0,122.806007,401.775999,
09/30/1996,439.979004,3.725,3.725,0.0,26.683001,,,0.621,,,,,1.911,,,,32.939999,388.03299,591.356018,-203.322998,14.399,4.607,,,,4.607,407.03899,,32.32,32.32,,,,0.0,,,,,2.629002,,,,2.629002,34.949001,278.721008,,,,4.986,,,,,4.986,283.707008,318.65601,28.468,135.791,,,-23.584999,,-19.351002,121.323,0.0,121.323,439.97901,
12/31/1996,523.070007,3.937,3.937,0.0,44.32,,,0.0,,,,,3.523,,,,51.779999,450.561005,658.953003,-208.391998,16.714001,4.015,,,,4.015,471.290006,,45.729,45.729,,,,3.0,,,,,3.252998,,,,3.252998,51.981998,314.756989,,,,13.663,,,,,13.663,328.419989,380.401987,28.468,164.858994,,,-40.219002,,-10.439998,142.667994,0.0,142.667994,523.069981,
03/31/1997,529.322998,0.303,0.303,0.0,33.380001,,,0.199,,,,,1.864,,,,35.745998,473.199005,692.083008,-218.884003,16.947001,3.431,,,,3.431,493.577006,,41.207001,41.207001,,,,0.0,,,,,3.031998,,,,3.031998,44.238998,303.399994,,,,17.973,,,,,17.973,321.372993,365.611992,28.468,194.973007,,,-58.202999,,-1.527,163.711008,0.0,163.711008,529.323,
06/30/1997,562.648987,6.995,6.995,0.0,28.805,,,0.0,,,,,3.225,,,,39.025002,508.403992,726.578003,-218.173996,8.325,6.895,,,,6.895,523.623991,,38.694,38.694,,,,0.0,,,,,2.095001,,,,2.095001,40.789001,341.5,,,,19.702,,,,,19.702,361.202,401.991001,28.468,203.016998,,,-72.438004,,1.611,160.657995,0.0,160.657995,562.648996,
09/30/1997,604.112,3.537,3.537,0.0,38.055,,,0.0,,,,,5.769,,,,47.361,546.401001,776.504028,-230.102997,3.488,6.862,,,,6.862,556.751001,,46.029999,46.029999,,,,0.0,,,,,2.228001,,,,2.228001,48.257999,374.0,,,,20.448,,,,,20.448,394.448,442.705999,28.468,203.977997,,,-72.843002,,1.803001,161.405996,0.0,161.405996,604.111996,
12/31/1997,788.455017,3.816,3.816,0.0,43.995998,,,0.0,0.0,0.0,0.0,,4.35,,,,52.161999,723.835999,961.367981,-237.531998,0.0,12.457,0.0,,,12.457,736.292998,,52.265999,52.265999,,,,0.0,,,,,2.627003,,,,2.627003,54.893002,539.0,,,,24.319,,,,,24.319,563.319,618.212002,28.468,211.417007,,,-76.655998,,7.014,170.24301,0.0,170.24301,788.455011,
03/31/1998,841.905029,18.454,11.57,6.884,38.318001,,,0.0,,,,,6.357,,,,63.129002,766.721985,1019.078979,-252.356995,0.0,12.054,,,,12.054,778.775985,,53.161999,53.161999,,,,0.0,,,,,2.125,,,,2.125,55.286999,605.0,,,,21.799999,,,,,21.799999,626.799999,682.086998,28.468,213.044006,,,-86.958,,5.264,159.818007,0.0,159.818007,841.905005,
