Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Compensation,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2003,185.048004,1.52,1.52,0.0,21.037001,21.036568,,53.681,,,53.681,,3.983,,,,,,,80.220001,41.666,,,0.0,63.161999,50.813999,50.764999,0.049,,,12.348,104.827999,,5.515,5.515,,,,17.809999,,,,,,15.113,,,,15.113,38.438,31.301001,,,,,5.009,,,,,,5.009,36.31,74.748,0.0,132.738007,,,,0.0,-22.438,110.300007,0.0,110.300007,185.048007,
03/31/2004,251.422544,3.681941,3.681941,,25.034384,25.034384,,66.043173,,,,,3.275128,,,,,,,98.034626,53.898301,,,,99.489617,86.745925,86.700955,0.04497,,,12.743692,153.387918,,9.716049,9.716049,,,,1.458308,,,,,,17.663597,,,,17.663597,28.837954,33.596855,,,,,4.682486,,,,,,4.682486,38.279341,67.117295,,196.840724,,,,-13.797975,1.2625,184.305249,,184.305249,251.422544,
06/30/2004,264.060796,1.962736,1.962736,,26.073403,26.073403,,68.090539,,,,,3.907767,,,,,,,100.034445,63.424866,,,,100.601485,88.845798,88.803106,0.042692,,,11.755687,164.026351,,8.02464,8.02464,,,,0.310413,,,,,,16.551427,,,,16.551427,24.88648,42.669827,,,,,4.415987,,,,,,4.415987,47.085814,71.972294,,199.25854,,,,-8.455233,1.285195,192.088502,,192.088502,264.060796,
09/30/2004,263.251078,3.082635,3.082635,,26.410518,26.410518,,64.657402,,,,,2.69414,,,,,,,96.844695,66.703911,,,,99.702472,88.911689,88.868317,0.043372,,,10.790783,166.406383,,7.680573,7.680573,,,,0.312564,,,,,,17.27754,,,,17.27754,25.270677,36.618581,,,,,4.181839,,,,,,4.181839,40.80042,66.071097,,200.15493,,,,-3.892716,0.917767,197.179981,,197.179981,263.251078,
12/31/2004,288.275109,1.611696,1.611696,0.0,28.304776,28.304776,,74.1504,70.389111,,3.761289,,3.374929,,,,,,,107.441801,70.730186,97.033463,-26.303277,0.0,110.103122,100.364047,100.319412,0.044635,,,9.739075,180.833308,,8.423676,8.423676,,,,0.317026,,,,,,20.822627,,,,20.822627,29.563329,49.944666,,,,,4.079036,,,,,,4.079036,54.023702,83.587031,0.0,202.568037,,,,1.139998,0.980043,204.688078,0.0,204.688078,288.275109,
03/31/2005,312.659,3.73,3.73,0.0,30.284,30.284,,80.04,76.709,,3.331,,3.837,,,,,,,117.891,72.135,,,0.0,122.633,112.746,112.655,0.091,,,9.887,194.768,,9.651,9.651,,,,0.22,,,,,,25.62,,,,25.62,35.491,58.889,,,,,4.705,,,,,,4.705,63.594,99.085,0.0,203.058,,,0.0,9.541,0.975,213.574,0.0,213.574,312.659,
06/30/2005,321.766,2.315,2.315,0.0,31.633,31.633,,81.446,81.446,0.0,0.0,0.0,3.919,,,,,,,119.313,74.323,,,0.0,128.13,118.327,118.227,0.1,,,9.803,202.453,,9.364,9.364,,,,0.276,0.276,0.0,0.0,,,24.664,,,,24.664,34.304,56.269,56.269,0.0,0.0,,4.016,,,,,,4.016,60.285,94.589,0.0,208.949,,,0.0,17.168,1.06,227.177,0.0,227.177,321.766,
09/30/2005,336.735,3.838,3.838,0.0,30.818,30.818,,84.61,84.61,0.0,0.0,0.0,3.908,,,,,,,123.174,77.696,,,0.0,135.865,126.143,126.049,0.094,,,9.722,213.561,,10.885,10.885,,,,0.409,0.0,0.409,0.409,,,27.608,,,,27.608,38.902,55.198,0.0,55.198,55.198,,4.134,,,,,,4.134,59.332,98.234,0.0,213.638,,,0.0,23.771,1.092,238.501,0.0,238.501,336.735,
12/31/2005,439.426,3.173,3.173,0.0,39.5,39.5,,103.655,99.682,0.0,3.973,0.0,5.009,,,,,,,151.337,97.218,132.347,-35.129,0.0,190.871,181.88,181.792,0.088,,,8.991,288.089,,15.496,15.496,,,,1.481,,,,,,30.584,,,,30.584,47.561,45.996,,,,,4.032,,,,,,4.032,50.028,97.589,0.0,308.515,,,0.0,32.027,1.295,341.837,0.0,341.837,439.426,
03/31/2006,498.636,3.545,3.545,0.0,47.081,47.081,,123.991,81.587,0.0,42.404,0.0,5.069,,,,,,,179.686,106.839,,,0.0,212.111,203.143,203.06,0.083,,,8.968,318.95,,18.855,18.855,,,,2.598,,,,,,32.545,,,,32.545,53.998,80.283,0.0,80.283,80.283,,5.397,,,,,,5.397,85.68,139.678,0.0,313.437,,,0.0,44.111,1.41,358.958,0.0,358.958,498.636,
