Date,Revenue,Cost of Revenue,Gross Profit,Other Operating Income,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
04/30/1990,1526.920044,-887.359985,639.560059,,-454.299988,185.259995,-96.760002,0.0,171.100006,259.599998,-38.939999,220.660004,0.0,0.0,220.660004,0,220.660004,,220.66,,0.58125,0.58125,380.015991,0.58125,,,,
07/31/1990,1655.765015,-1003.742004,652.02301,,-474.411011,177.612,-94.649002,0.0,191.634003,274.597,-35.055,239.542999,0.0,0.0,239.542999,0,239.542999,,239.542,,0.63675,0.63675,376.123993,0.63675,,,,
10/31/1990,1715.998047,-1050.140015,665.858032,,-446.597992,219.259995,-101.552002,0.0,146.557999,264.265991,-46.16,218.106003,0.0,0.0,218.106003,0,218.106003,,218.105991,,0.58,0.58,375.671997,0.58,,,,
01/31/1991,2246.011963,-1294.032959,951.979004,,-708.512024,243.466995,-109.344002,0.0,135.561005,269.683998,-66.420998,203.263,0.0,0.0,203.263,0,203.263,,203.263,0.5425,0.5425,0.5425,376.0,0.5425,0.5425,0.5425,376.0,
04/30/1991,1613.675049,-959.888,653.787048,,-463.195007,190.591995,-97.028,0.0,164.024002,257.587997,-40.429001,217.158997,0.0,0.0,217.158997,0,217.158997,,217.158997,,0.5775,0.5775,375.859985,0.5775,,,,
07/31/1991,1587.269043,-958.330017,628.939026,,-491.216003,137.723999,-92.963997,0.0,149.201004,193.961006,-22.954,171.007004,0.0,0.0,171.007004,0,171.007004,,171.007006,,0.45325,0.45325,377.90799,0.45325,,,,
10/31/1991,1706.187012,-1009.390015,696.796997,,-462.636993,234.160004,-94.346001,0.0,136.404007,276.21801,-56.834999,219.382996,0.0,0.0,219.382996,0,219.382996,,219.383011,,0.574,0.574,380.420013,0.574,,,,
01/31/1992,2369.314941,-1363.718018,1005.596923,,-696.504028,309.09201,-100.987,0.0,160.468994,368.574004,-142.399002,226.175003,0.0,0.0,226.175003,0,226.175003,,226.175002,0.595,0.595,0.595,379.600008,0.595,0.595,0.595,379.600008,
04/30/1992,1470.495972,-839.775024,630.720947,,-437.109985,193.610992,-95.024002,0.0,124.719002,223.305992,-41.573002,181.733002,0.0,0.0,181.733002,0,181.733002,,181.73299,,0.487,0.487,377.528015,0.487,,,,
07/31/1992,1686.991943,-981.588013,705.403931,,-518.890015,186.514008,-96.844002,0.0,78.910004,168.580009,-38.258999,130.320007,0.0,0.0,130.320007,0,130.320007,,130.321011,,0.347,0.347,375.772003,0.347,,,,
10/31/1992,1762.177979,-1017.062988,745.11499,,-507.312012,237.802994,-102.438004,0.0,121.949997,257.314987,-54.877998,202.436996,0.0,0.0,202.436996,0,202.436996,,202.436989,,0.537,0.537,375.277008,0.537,,,,
01/31/1993,2516.23291,-1411.530029,1104.702881,,-793.906006,310.798004,-115.210999,0.0,-52.568001,143.019004,-79.799004,63.221001,0.0,0.0,63.221001,0,63.221001,,63.22,0.17,0.17,0.17,375.5,0.17,0.17,0.17,375.5,
04/30/1993,1501.159058,-844.166016,656.993042,,-471.075012,185.917999,-92.959,0.0,149.488007,242.447006,-38.942001,203.503998,0.0,0.0,203.503998,0,203.503998,,203.505005,,0.54,0.54,373.833008,0.54,,,,
07/31/1993,1840.156982,-1038.20105,801.955933,,-600.190002,201.766006,-103.436996,0.0,159.625,257.95401,-40.863998,217.089996,0.0,0.0,217.089996,0,217.089996,,217.090012,,0.587,0.587,373.806,0.587,,,,
10/31/1993,1868.314941,-1106.222046,762.092896,,-502.348999,259.744995,-112.072998,0.0,-217.552994,-69.880997,-61.970001,-131.850006,0.0,0.0,-131.850006,0,-131.850006,,-131.850998,,-0.356,-0.356,372.38501,-0.356,,,,
01/31/1994,2600.521973,-1475.280029,1125.241944,,-797.370972,327.869995,-144.255997,0.0,97.291,280.904998,-79.413002,201.492004,0.0,0.0,201.492004,0,201.492004,,201.491996,0.54,0.54,0.54,372.799988,0.54,0.54,0.54,372.799988,
04/30/1994,1651.198975,-920.362976,730.835999,,-509.949005,220.886993,-125.442001,0.0,9.544,104.988992,-34.088001,70.902,197.707001,0.0,268.609985,0,268.609985,,70.90099,,0.191,0.723,372.647003,0.191,,,,
07/31/1994,2001.426025,-1162.430054,838.995972,,-639.958984,199.037003,-134.072998,0.0,268.147003,333.111008,-23.497,309.613007,0.0,0.0,309.613007,0,309.613007,,309.614008,,0.829,0.829,372.415009,0.829,,,,
10/31/1994,2059.041992,-1154.042969,904.999023,,-679.088989,225.908997,-137.451004,0.0,219.104996,307.562988,-36.743999,270.819,0.0,0.0,270.819,0,270.819,,270.818989,,0.721,0.721,372.463989,0.721,,,,
01/31/1995,3083.118896,-1785.222046,1297.89685,,-947.291016,350.606995,-161.039993,0.0,439.170013,628.737015,-165.432999,463.303986,-197.707001,0.0,265.596008,0,265.596008,,463.304016,0.53,0.53,0.71,372.399994,0.53,0.53,0.71,372.399994,
04/30/1995,1787.620972,-1030.462036,757.158936,,-547.999023,209.160004,-108.763,0.0,12.55,112.947003,-30.677,82.269997,4506.701172,0.0,4588.970215,0,4588.970215,,82.270003,,0.223,12.313,372.709015,0.223,,,,
07/31/1995,2542.61499,-1524.489014,1018.125977,,-776.422974,241.703995,-44.560001,0.0,0.0,197.143993,-76.967003,120.177002,0.0,0.0,120.177002,0,120.177002,,120.176991,,0.324,0.324,372.493011,0.324,,,,
