Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,53.829998,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,4.1,4.1,,54.675001,0.075062,0.075062,,54.675001,0.075062,0.075062,0.075062,
03/31/1990,55.208,,-35.255001,,19.952999,,-10.719,,,9.234,-3.957,,4.056,,0.0,-0.099,5.277,-2.071,3.206,-0.59,,,3.796,0.0,3.796,0.0,,3.796,3.796,,54.710438,0.069136,0.059259,,54.710438,0.069136,0.059259,0.059259,
06/30/1990,60.061001,,-37.313999,,22.747002,,-11.661,,,11.086,-3.963,,3.954,,0.0,0.009,7.123,-2.809,4.314,-0.533,,,4.847,0.0,4.847,0.0,,4.847,4.847,,54.710438,0.088889,0.079012,,54.710438,0.088889,0.079012,0.079012,
09/30/1990,55.209,,-35.282001,,19.926998,,-10.629,,,9.298,-3.698,,3.86,,0.0,-0.162,5.6,-2.22,3.38,-0.562,,,3.942,0.0,3.942,0.0,,3.942,3.942,,54.685125,0.071111,0.061235,,54.685125,0.071111,0.061235,0.061235,
12/31/1990,57.918999,,-35.693001,,22.225998,,-11.512,,,10.714,-2.91,,3.696,,0.0,-0.786,7.804,-3.001,4.803,-0.46,,,5.263,0.0,5.263,0.0,,5.263,5.263,,54.680061,0.09679,0.088889,,54.680061,0.09679,0.088889,0.088889,
03/31/1991,57.074001,,-35.669998,,21.404003,,-11.942,,,9.462,-3.157,,3.333,,0.0,-0.176,6.305,-2.431,3.874,-0.296,,,4.17,0.0,4.17,0.0,,4.17,4.17,,54.680061,0.077037,0.071111,,54.680061,0.077037,0.071111,0.071111,
06/30/1991,57.743,,-35.924,,21.819,,-12.295,,,9.524,-3.195,,3.283,,0.0,-0.088,6.329,-2.459,3.87,-0.297,,,4.167,0.0,4.167,0.0,,4.167,4.167,,54.680061,0.075062,0.069136,,54.680061,0.075062,0.069136,0.069136,
09/30/1991,56.227001,,-35.57,,20.657001,,-11.363,,,9.294,-3.357,,3.295,,0.0,0.062,5.937,-2.278,3.659,-0.296,,,3.954999,0.0,3.955,0.0,,3.955,3.955,,55.439439,0.071111,0.065185,,55.439439,0.071111,0.065185,0.065185,
12/31/1991,57.137001,,-35.928001,,21.209,,-11.414,,,9.795,-2.623,,2.819,,0.0,-0.196,7.172,-2.658,4.514,-0.325,,,4.839,0.0,4.839,0.0,,4.839,4.839,,63.41287,0.077037,0.071111,,63.41287,0.077037,0.071111,0.071111,
03/31/1992,60.383999,,-37.527,,22.856998,,-13.636,,,9.221,-2.554,,2.593,,0.0,-0.039,6.667,-2.333,4.334,-1.517,,,5.851,0.0,5.851,0.0,,5.851,5.851,,63.412875,0.09284,0.069136,,63.412875,0.09284,0.069136,0.069136,
06/30/1992,69.550003,,-42.764,,26.786003,,-15.597,,,11.189,-3.281,,3.134,,0.0,0.147,7.908,-2.768,5.14,0.0,,,5.14,0.0,5.14,0.0,,5.14,5.14,,63.645748,0.080988,0.080988,,63.645748,0.080988,0.080988,0.080988,
09/30/1992,72.257004,,-44.393002,,27.864002,,-16.198999,,,11.665,-2.94,,3.134,,0.0,-0.194,8.725,-3.054,5.671,4.958,,,0.713,0.0,0.713,0.0,,0.713,0.713,,63.792562,0.011852,0.088889,,63.792562,0.011852,0.088889,0.088889,
12/31/1992,74.938004,,-46.467999,,28.470005,,-17.691,,,10.779,-3.095,,3.317,,0.0,-0.222,7.684,-2.683,5.001,0.0,,,5.001,0.0,5.001,0.0,,5.001,5.001,,64.506368,0.077037,0.077037,,64.506368,0.077037,0.077037,0.077037,
03/31/1993,73.551003,,-45.830002,,27.721001,,-17.219999,,,10.501,-2.994,,2.859,,0.0,0.135,7.507,-2.628,4.879,0.0,,,4.879,0.0,4.879,0.0,,4.879,4.879,,65.529001,0.075062,0.075062,,65.529001,0.075062,0.075062,0.075062,
06/30/1993,78.052002,,-47.893002,,30.159,,-17.221001,,,12.938,-3.051,,2.809,,0.0,0.242,9.887,-3.427,6.46,0.0,,,6.46,0.0,6.46,0.0,,6.46,6.46,,65.544185,0.098765,0.098765,,65.544185,0.098765,0.098765,0.098765,
09/30/1993,77.725998,,-48.048,,29.677998,,-16.91,,,12.768,-2.729,,2.675,,0.0,0.054,10.039,-3.272,6.767,0.0,,,6.767,0.0,6.767,0.0,,6.767,6.767,,65.716312,0.102716,0.102716,,65.716312,0.102716,0.102716,0.102716,
12/31/1993,79.308998,,-48.514999,,30.793999,,-16.865999,,,13.928,-3.063,,2.664,,0.0,0.399,10.865,-3.645,7.22,0.0,,,7.22,0.0,7.22,0.0,,7.22,7.22,,65.453062,0.112593,0.112593,,65.453062,0.112593,0.112593,0.112593,
03/31/1994,85.874001,,-52.484001,,33.389999,,-19.537001,,,13.853,-2.549,,2.633,,0.0,-0.084,11.304,-3.957,7.347,0.0,,,7.347,0.0,7.347,0.0,,7.347,7.347,,65.984627,0.110617,0.110617,,65.984627,0.110617,0.110617,0.110617,
06/30/1994,93.558998,,-57.402,,36.156998,,-20.478001,,,15.679,-2.992,,3.113,,0.0,-0.121,12.687,-4.509,8.178,0.0,,,8.178,0.0,8.178,0.0,,8.178,8.178,,66.025124,0.124444,0.124444,,66.025124,0.124444,0.124444,0.124444,
09/30/1994,106.974998,,-66.339996,,40.635002,,-22.961,,,17.674,-3.785,,3.982,,0.0,-0.197,13.889,-5.039,8.85,0.0,,,8.85,0.0,8.85,0.0,,8.85,8.85,,66.090939,0.134321,0.134321,,66.090939,0.134321,0.134321,0.134321,
12/31/1994,113.094002,,-70.632004,,42.461998,,-24.129999,,,18.332001,-3.696,,3.853,,0.0,-0.157,14.636001,-5.401,9.235,0.0,,,9.235001,0.0,9.235,0.0,,9.235,9.235,,66.14156,0.140247,0.140247,,66.14156,0.140247,0.140247,0.140247,
03/31/1995,116.580002,,-71.507004,,45.072998,,-24.599001,,,20.474001,-3.657,,3.666,,0.0,-0.009,16.817001,-6.055,10.762,0.0,,,10.762001,0.0,10.762,0.0,,10.762,10.762,,66.231002,0.162963,0.162963,0.162963,66.231002,0.162963,0.162963,0.162963,
06/30/1995,127.203003,,-78.029999,,49.173004,,-26.025999,,,23.146999,-3.9,,3.941,,0.0,-0.041,19.246999,-6.928,12.319,0.0,,,12.318999,0.0,12.319,0.0,,12.319,12.319,,66.490876,0.186667,0.186667,0.186667,66.490876,0.186667,0.186667,0.186667,
