Date,Revenue,Sales & Services Revenue,Financing Revenue,Cost of Revenue,Cost of Goods & Services,Cost of Financing Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
02/28/1990,314.792999,,,-239.729996,,,75.063004,,-36.041,,,39.021999,-0.623,,4.118,,,,-3.495,38.398999,-10.1,28.299,0.0,,,28.298999,-14.955,13.344,0.0,,13.344,13.344,,66.029999,0.2,0.2,,66.029999,0.2,0.2,0.2,
05/31/1990,347.89801,,,-277.290985,,,70.607025,,-38.389999,,,32.216999,-1.617,,5.168,,,,-3.551,30.599999,-11.5,19.1,0.0,,,19.099999,-3.968,15.132,0.0,,15.132,15.132,,65.863998,0.23,0.23,,65.863998,0.23,0.23,0.23,
08/31/1990,322.959991,,,-263.20401,,,59.755981,,-39.316002,,,20.440001,-1.637,,5.027,,,,-3.39,18.803001,-6.2,12.603,0.0,,,12.603001,-4.31,8.293,0.0,,8.293,8.293,,63.875999,0.13,0.13,,63.875999,0.13,0.13,0.13,
11/30/1990,372.570007,,,-314.208008,,,58.361999,,-44.541,,,13.821,-0.237,,4.937,,,,-4.7,13.584,-2.3,11.284,0.0,,,11.284,-8.11,3.174,0.0,,3.174,3.174,,57.258,0.055,0.055,0.055,57.258,0.055,0.055,0.055,
02/28/1991,317.815002,,,-280.105011,,,37.709991,,-24.264999,,,13.445,-2.619,,4.177,,,,-1.558,10.826,-1.9,8.926,0.0,,,8.926,-6.314,2.612,0.0,,2.612,2.612,,63.827999,0.04,0.04,,63.827999,0.04,0.04,0.04,
05/31/1991,305.479004,,,-263.277008,,,42.201996,,-30.408001,,,11.794,-0.283,,4.283,,,,-4.0,11.511,-2.9,8.611,0.0,,,8.611,-4.841,3.77,0.0,,3.77,3.77,,67.702003,0.055,0.055,,67.702003,0.055,0.055,0.055,
08/31/1991,274.912994,,,-219.942001,,,54.970993,,-34.987999,,,19.983,-3.043,,3.668,,,,-0.625,16.94,-5.2,11.74,0.0,,,11.74,-4.852,6.888,0.0,,6.888,6.888,,67.234001,0.105,0.105,,67.234001,0.105,0.105,0.105,
11/30/1991,315.506012,,,-249.375,,,66.131012,,-38.161999,,,27.969,-2.463,,3.958,,,,-1.495,25.506,-7.0,18.506001,0.0,,,18.506,-5.256,13.25,0.0,,13.25,13.25,,67.07,0.2,0.2,0.2,67.07,0.2,0.2,0.2,
02/29/1992,182.707993,,,-150.089996,,,32.617996,,-25.066999,,,7.551,2.516,,2.461,,,,-4.977,10.067,-2.1,7.967,0.0,,,7.967,-4.56,3.407,0.0,,3.407,3.407,,70.293999,0.05,0.05,,70.293999,0.05,0.05,0.05,
05/31/1992,232.598999,,,-193.740997,,,38.858002,,-31.846001,,,7.012,2.179,,3.696,,,,-5.875,9.191,-2.5,6.691,0.0,,,6.691,-2.722,3.969,0.0,,3.969,3.969,,73.905998,0.055,0.055,,73.905998,0.055,0.055,0.055,
