Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
11/30/1989,73.445999,,,-39.514,,33.931999,,-23.445,,,,,10.487,0.465,,0.0,,0.0,-0.465,10.952,-3.702,7.25,0.0,,,7.250001,0.0,7.25,0.0,,7.25,7.25,,27.3585,0.266667,0.266667,,27.3585,0.266667,0.266667,0.266667,
02/28/1990,72.968002,,,-39.122002,,33.846001,,-23.750999,,,,,10.095,0.393,,0.0,,0.0,-0.393,10.488,-3.545,6.943,0.0,,,6.943,0.0,6.943,0.0,,6.943,6.943,,27.365999,0.253333,0.253333,,27.365999,0.253333,0.253333,0.253333,
05/31/1990,81.508003,,,-42.323002,,39.185001,,-25.944,,,,,13.241,0.334,,0.0,,0.0,-0.334,13.575,-4.588,8.987,0.0,,,8.987,0.0,8.987,0.0,,8.987,8.987,,27.367501,0.326667,0.326667,,27.367501,0.326667,0.326667,0.326667,
08/31/1990,83.403,,,-43.952,,39.451,,-26.334,,,,,13.117,0.38,,,,0.0,-0.38,13.497,-4.577,8.92,0.0,,,8.92,0.0,8.92,0.0,,8.92,8.92,,27.37022,0.32,0.32,0.32,27.37022,0.32,0.32,0.32,
11/30/1990,79.836998,,,-43.018002,,36.818996,,-25.525,,,,,11.294,0.415,,0.0,,0.0,-0.415,11.709,-3.981,7.728,0.0,,,7.728,0.0,7.728,0.0,,7.728,7.728,,27.381001,0.28,0.28,,27.381001,0.28,0.28,0.28,
02/28/1991,78.217003,,,-41.279999,,36.937004,,-26.441,,,,,10.496,0.383,,0.0,,0.0,-0.383,10.879,-3.699,7.18,0.0,,,7.18,0.0,7.18,0.0,,7.18,7.18,,27.392,0.26,0.26,,27.392,0.26,0.26,0.26,
05/31/1991,84.767998,,,-44.099998,,40.667999,,-27.339001,,,,,13.329,0.377,,0.0,,0.0,-0.377,13.706,-4.66,9.046,0.0,,,9.046001,0.0,9.046,0.0,,9.046,9.046,,27.396,0.33,0.33,,27.396,0.33,0.33,0.33,
08/31/1991,85.414001,,,-45.487,,39.927001,,-27.789,,,,,12.138,0.416,,0.0,,0.0,-0.416,12.554,-4.162,8.392,0.0,,,8.392,0.0,8.392,0.0,,8.392,8.392,,27.398001,0.31,0.31,0.31,27.398001,0.31,0.31,0.31,
11/30/1991,81.107002,,,-44.298,,36.809002,,-26.99,,,,,9.819,0.407,,0.0,,0.0,-0.407,10.226,-3.63,6.596,0.0,,,6.596,0.0,6.596,0.0,,6.596,6.596,,27.400999,0.24,0.24,,27.400999,0.24,0.24,0.24,
02/29/1992,82.657997,,,-43.668999,,38.988998,,-28.122,,,,,10.867,0.309,,0.0,,0.0,-0.309,11.176,-3.968,7.208,0.0,,,7.208,0.0,7.208,0.0,,7.208,7.208,,27.403,0.26,0.26,,27.403,0.26,0.26,0.26,
05/31/1992,91.613998,,,-47.327999,,44.285999,,-30.568001,,,,,13.718,0.318,,0.0,,0.0,-0.318,14.036,-4.983,9.053,0.0,,,9.053001,0.0,9.053,0.0,,9.053,9.053,,27.378,0.33,0.33,,27.378,0.33,0.33,0.33,
08/31/1992,90.980003,,,-47.174999,,43.805004,,-29.011,,,,,14.794,0.285,,0.0,,0.0,-0.285,15.079,-5.343,9.736,0.0,,,9.736,0.0,9.736,0.0,,9.736,9.736,,27.197001,0.36,0.36,0.36,27.197001,0.36,0.36,0.36,
11/30/1992,88.597,,,-46.936001,,41.660999,,-29.542,,,,,12.119,0.345,,0.0,,0.0,-0.345,12.464,-4.612,7.852,0.0,,,7.852,0.0,7.852,0.0,,7.852,7.852,,27.133898,0.29,0.29,,27.133898,0.29,0.29,0.29,
02/28/1993,88.296997,,,-46.271,,42.025997,,-29.667999,,,,,12.358,0.353,,0.0,,0.0,-0.353,12.711,-4.703,8.008,0.0,,,8.008,0.0,8.008,0.0,,8.008,8.008,,27.171,0.29,0.29,,27.171,0.29,0.29,0.29,
05/31/1993,94.791,,,-49.424999,,45.366001,,-30.362,,,,,15.004,0.403,,0.0,,0.0,-0.403,15.407,-5.7,9.707,0.0,,,9.707,0.0,9.707,0.0,,9.707,9.707,,27.239,0.36,0.36,,27.239,0.36,0.36,0.36,
08/31/1993,96.071999,,,-49.557999,,46.514,,-31.353001,,,,,15.161,0.473,,0.0,,0.0,-0.473,15.634,-5.672,9.962,0.0,,,9.962,0.0,9.962,0.0,,9.962,9.962,,27.233,0.37,0.37,0.37,27.233,0.37,0.37,0.37,
