Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
03/31/1990,-23.032,25.072001,11.958,4.91,,4.91,-64.972,,,,-64.972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,14.057,18.805,12.178,6.756,,6.756,-23.681999,,,,-23.681999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,24.815001,14.044,12.84,2.477,,2.477,-4.546,,,,-4.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,87.622002,5.759,14.837,11.627,,11.627,55.398998,,,,55.398998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.622002,
03/31/1991,-26.205999,10.438,12.744,-14.103,,-14.103,-35.285,,,,-35.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,59.516998,8.611,11.97,7.756,,7.756,31.18,,,,31.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,45.59,16.958,12.142,-5.265,,-5.265,21.754999,,,,21.754999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,58.976002,19.15,12.313,11.66,,11.66,15.853,,,,15.853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.976002,
03/31/1992,2.995,10.787,11.462,-3.127,,-3.127,-16.127001,,,,-16.127001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,35.605,11.113,11.838,-3.273,,-3.273,15.927,,,,15.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,37.200001,18.200001,11.9,-1.7,,-1.7,8.8,,,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,69.0,25.1,17.1,6.0,,6.0,20.799999,,,,20.799999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,
03/31/1993,11.8,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,36.900002,32.799999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,49.700001,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,105.2,45.5,56.7,-11.2,,-11.2,14.2,,,,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.2,
03/31/1994,67.800003,43.599998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,34.900002,50.599998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,69.699997,53.200001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,162.100006,57.099998,,2.2,,2.2,64.599998,,,,64.599998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.100006,
03/31/1995,38.7,54.299999,,,,,,,,,,,,-18.7,,,,-18.7,,,,,,,,,,18.7,,,,,,,,,,,,,
06/30/1995,40.400002,65.099998,,,,,,,,,,,,-18.0,,,,-18.0,,,,,,,,,,18.0,,,,,,,,,,,,,
09/30/1995,111.599998,68.300003,,,,,,,,,,,,-16.7,,,,-16.7,,,,,,,,,,16.7,,,,,,,,,,,,,
12/31/1995,111.900002,65.099998,,,,,,,,,,,,-28.1,,,,-28.1,,,,,,,,,,28.1,,,,,,,,,,,,,
