Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/2009,135.393,44.915,17.705,13.072,6.961,0.766,5.345,59.701,-28.219,0.0,87.92,0.0,-66.921,-8.359,0.0,0.0,0.0,-8.359,-8.359,0,0,0,0,-58.618,0,-58.618,0.0,0.056,-56.213,0.0,-30.682,-30.682,0.0,0.0,0.35,0.35,0.0,-25.881,-0.438,11.821,6.034,8.178,
06/30/2009,49.136,45.939,18.182,14.043,8.634,-0.965,6.374,-29.028,7.963,0.0,-36.991,0.0,-85.762,-7.836,0.0,0.0,0.0,-7.836,-7.836,0,0,0,0,0.0,0,0.0,0.0,-77.926,37.056,0.0,48.023,-31.977,80.0,0.0,1.434,1.434,0.0,-12.401,0.526,0.956,54.43,8.349,
09/30/2009,71.047,42.205,17.633,12.918,-8.792,5.189,16.521,-1.709,3.31,0.0,-5.019,0.0,-15.621,-8.124,0.0,0.0,0.0,-8.124,-8.124,0,0,0,0,-7.613,0,-7.613,0.0,0.116,-40.95,0.0,-30.533,-30.533,0.0,0.0,2.551,2.551,0.0,-12.968,0.122,14.598,30.453,9.297,
12/31/2009,70.825,-6.445,17.679,60.166,44.41,7.2,8.556,-0.575,14.956,0.0,-15.531,0.0,-17.036,-14.375,0.0,0.0,0.0,-14.375,-14.375,0,0,0,0,-2.755,0,-2.755,0.0,0.094,-42.702,0.0,-66.052,-66.052,0.0,0.0,23.35,23.35,0.0,0.0,-0.12,10.967,20.541,8.377,
03/31/2010,137.189,55.375,17.233,9.671,6.589,0.973,2.109,54.91,-42.699,0.0,97.609,0.0,-14.929,-7.498,0.0,0.0,0.0,-7.498,-7.498,0,0,0,0,-7.727,0,-7.727,0.0,0.296,-62.798,0.0,-62.945,-62.945,0.0,0.0,0.147,0.147,0.0,0.0,0.003,59.465,0.616,8.228,
06/30/2010,35.845,58.404,16.964,-4.389,-0.612,-0.466,-3.311,-35.134,14.005,0.0,-49.139,0.0,-7.995,-8.072,0.0,0.0,0.0,-8.072,-8.072,0,0,0,0,-0.159,0,-0.159,0.0,0.236,-51.819,0.0,-1.124,-1.124,0.0,0.0,-35.644,26.622,-62.266,-15.051,-0.196,-24.165,62.929,8.071,
09/30/2010,68.773,62.88,16.193,-4.064,3.581,-2.4,-5.245,-6.236,-11.96,0.0,5.724,0.0,-6.564,-6.636,0.0,0.0,0.0,-6.636,-6.636,0,0,0,0,0.0,0,0.0,0.0,0.072,-61.963,0.0,-1.161,-1.161,0.0,0.0,-59.021,8.475,-67.496,-1.781,0.182,0.428,33.2,8.052,
12/31/2010,94.225,65.893,17.736,-20.993,-25.702,12.187,-7.478,31.589,16.095,0.0,15.494,0.0,-214.201,-16.435,0.0,0.0,0.0,-16.435,-16.435,0,0,0,0,-197.672,0,-197.672,0.0,-0.094,67.793,0.0,315.23,315.23,0.0,,-241.046,49.253,-290.299,-6.391,-0.098,-52.281,16.864,,
03/31/2011,145.581,65.876,19.76,2.569,6.929,-0.158,-4.202,57.376,-37.475,0.0,94.851,0.0,-13.454,-13.648,0.0,0.0,0.0,-13.648,-13.648,0,0,0,0,0.0,0,0.0,0.0,0.194,-86.201,0.0,-15.946,-15.946,0.0,0.0,-69.999,3.579,-73.578,-0.256,0.338,46.264,3.351,9.479,
06/30/2011,41.506,65.577,19.732,-0.895,6.34,1.818,-9.053,-42.908,20.496,,-63.404,0.0,-159.132,-14.523,0.0,,,-14.523,-14.523,0,0,0,0,-141.281,0,-141.281,0.0,-3.328,68.123,0.0,192.821,-256.135,448.956,,-120.52,19.923,-140.443,-4.178,0.235,-49.268,77.573,8.518,
