Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/30/1996,948.599976,87.400002,87.400002,0.0,170.800003,,,210.0,,,,,71.0,,,,,539.200012,313.0,939.099976,-626.099976,75.300003,,,21.1,,,,21.1,409.400003,,79.400002,79.400002,,,,65.800003,,,,,,241.599983,,,241.599983,386.799988,0.4,,,,,89.099998,,,89.099998,89.499998,476.299986,0.0,594.0,,,0.0,,-121.699997,472.300003,0.0,472.300003,948.599989,
06/30/1996,987.299988,94.199997,94.199997,0.0,180.699997,,,218.5,,,,,84.800003,,,,,578.200012,315.399994,946.200012,-630.799988,69.099998,,,24.6,,,,24.6,409.099993,,91.599998,91.599998,,,,185.199997,,,,,,284.400017,,,284.400017,561.200012,101.900002,,,,,79.199997,,,79.199997,181.099998,742.300011,0.0,13.4,,,0.0,,231.600006,245.000006,0.0,245.000006,987.300016,
09/28/1996,986.400024,60.5,60.5,0.0,170.300003,,,254.199997,,,,,84.300003,,,,,569.299988,322.899994,971.799988,-648.900024,68.699997,,,25.5,,,,25.5,417.099991,,76.699997,76.699997,,,,210.5,,,,,,265.099991,,,265.099991,552.299988,101.900002,,,,,79.199997,,,79.199997,181.099998,733.399986,0.0,14.2,,,0.0,,238.800003,253.000003,0.0,253.000003,986.399989,
12/31/1996,978.5,53.0,53.0,0.0,154.800003,,,252.800003,,,,,62.599998,,,,,523.200012,331.0,974.200012,-643.200012,67.900002,,,56.400002,,,,56.400002,455.300004,,95.599998,95.599998,,,,25.299999,,,,,,258.899991,,,258.899991,379.799988,215.300003,,,,,77.900002,,,77.900002,293.200005,672.999993,0.0,19.700001,,,0.0,,285.799988,305.499989,0.0,305.499989,978.499982,
03/29/1997,945.400024,43.5,43.5,0.0,122.0,,,245.300003,,,,,96.599998,,,,,507.399994,313.299988,949.0,-635.700012,47.299999,,,77.400002,,,,77.400002,437.999989,,64.300003,64.300003,,,,33.400002,,,,,,233.000008,,,233.000008,330.700012,256.899994,,,,,88.5,,,88.5,345.399994,676.100006,0.0,19.799999,,,-33.099998,,282.599998,269.299999,0.0,269.299999,945.400005,
06/28/1997,949.700012,56.5,56.5,0.0,127.400002,,,224.199997,,,,,87.099998,,,,,495.200012,312.200012,966.400024,-654.200012,51.099998,,,91.199997,,,,91.199997,454.500008,,71.099998,71.099998,,,,16.700001,,,,,,230.300007,,,230.300007,318.100006,256.700012,,,,,90.199997,,,90.199997,346.900009,665.000015,0.0,19.700001,,,-39.900002,,304.900002,284.700001,0.0,284.700001,949.700016,
09/27/1997,908.799988,38.700001,38.700001,0.0,119.699997,,,215.100006,,,,,86.199997,,,,,459.700012,306.299988,959.299988,-653.0,42.400002,,,100.400002,,,,100.400002,449.099991,,72.599998,72.599998,,,,68.699997,,,,,,201.599998,,,201.599998,342.899994,230.300003,,,,,92.099998,,,92.099998,322.400002,665.299995,0.0,19.700001,,,-52.599998,,276.400002,243.500004,0.0,243.500004,908.799999,
12/27/1997,847.2,22.1,22.1,,97.0,97.0,,184.2,54.7,43.3,86.2,0.0,99.8,,,,,403.1,293.0,944.0,-651.0,36.4,,,114.7,,,,114.7,444.1,,75.4,75.4,,,,,,,,,,224.4,,,224.4,299.8,236.7,,,,,96.5,,,96.5,333.2,633.0,,20.1,,,-54.0,441.4,-193.3,214.2,,214.2,847.2,
03/28/1998,832.299988,14.0,14.0,0.0,94.199997,,,182.600006,,,,,106.5,,,,,397.299988,285.0,947.099976,-662.099976,41.099998,,,108.900002,,,,108.900002,435.0,,60.599998,60.599998,,,,57.400002,,,,,,202.700012,,,202.700012,320.700012,266.799988,,,,,94.800003,,,94.800003,361.599991,682.300003,0.0,20.1,,,0.0,,129.899994,149.999994,0.0,149.999994,832.299997,
06/27/1998,817.5,16.9,16.9,0.0,98.099998,,,173.0,,,,,102.0,,,,,390.0,278.200012,951.599976,-673.400024,41.099998,,,108.199997,,,,108.199997,427.500008,,57.799999,57.799999,,,,39.299999,,,,,,198.299995,,,198.299995,295.399994,292.0,,,,,91.900002,,,91.900002,383.900002,679.299995,0.0,20.1,,,-139.199997,,257.299995,138.199999,0.0,138.199999,817.499994,
09/26/1998,824.799988,18.4,18.4,0.0,96.699997,,,170.100006,,,,,105.599998,,,,,390.799988,265.5,935.5,-670.0,42.299999,,,126.199997,,,,126.199997,433.999996,,56.0,56.0,,,,53.099998,,,,,,188.100014,,,188.100014,297.200012,315.100006,,,,,94.300003,,,94.300003,409.400009,706.600021,0.0,20.1,,,-140.899994,,238.999992,118.199999,0.0,118.199999,824.80002,
12/26/1998,823.400024,23.0,23.0,0.0,92.300003,,,157.100006,,,,,113.199997,,,,,385.600006,271.0,972.900024,-701.900024,40.299999,,,126.5,,,,126.5,437.799999,,85.300003,85.300003,,,,18.700001,,,,,,186.100002,,,186.100002,290.100006,300.100006,,,,,97.400002,,,97.400002,397.500008,687.600014,0.0,20.1,,,0.0,,115.699997,135.799997,0.0,135.799997,823.400011,
03/27/1999,804.700012,24.4,24.4,0.0,94.699997,94.699997,,155.100006,49.400002,35.299999,70.400002,,114.5,,,,,388.700012,252.600006,938.400024,-685.799988,38.599998,,,124.800003,0.0,,,124.800003,416.000008,,58.099998,58.099998,,,,50.299999,,,,,,180.700008,,,180.700008,289.100006,294.799988,,,,,96.5,,,96.5,391.299988,680.399994,0.0,20.700001,,,0.0,462.100006,-358.500008,124.299999,0.0,124.299999,804.699993,
06/26/1999,813.599976,21.9,21.9,0.0,101.900002,101.900002,,155.300003,48.200001,33.0,74.099998,,115.400002,,,,,394.5,243.100006,919.0,-675.900024,37.799999,,,138.199997,0.0,,,138.199997,419.100002,,60.200001,60.200001,,,,84.400002,,,,,,172.399998,,,172.399998,317.0,270.899994,,,,,96.5,,,96.5,367.399994,684.399994,0.0,20.700001,,,0.0,463.5,-355.0,129.200001,0.0,129.200001,813.599995,
09/25/1999,818.299988,29.799999,29.799999,0.0,101.0,101.0,,153.399994,46.799999,34.200001,72.400002,0.0,107.300003,,,,,391.5,244.100006,946.5,-702.400024,40.099998,,,142.600006,0.0,,,142.600006,426.800011,,52.5,52.5,,,,92.099998,,,,,,164.299995,,,164.299995,308.899994,296.399994,,,,,97.5,,,97.5,393.899994,702.799988,0.0,20.700001,,,0.0,454.0,-359.199997,115.500004,0.0,115.500004,818.299992,
12/25/1999,796.099976,24.4,24.4,0.0,114.400002,,,136.699997,42.799999,27.9,66.0,0.0,95.0,,,,,370.5,242.899994,954.099976,-711.200012,34.200001,,,148.5,0.0,,,148.5,425.599995,,87.800003,87.800003,,,,43.900002,,,,,,177.500008,,,177.500008,309.200012,248.5,,,,,93.099998,,,93.099998,341.599998,650.800011,0.0,20.9,,,0.0,,124.400002,145.300001,0.0,145.300001,796.100012,
04/01/2000,777.3,28.3,28.3,,99.3,99.3,,140.8,66.4,28.9,45.5,0.0,88.2,,,,,356.6,232.2,946.3,-714.1,36.8,,,151.7,,,,151.7,420.7,,53.9,53.9,,,,50.3,,,,,,152.2,,,152.2,256.4,280.3,,,,,91.1,,,91.1,371.4,627.8,,20.9,,,-140.1,490.5,-221.8,149.5,,149.5,777.3,
07/01/2000,778.0,25.4,25.4,0.0,112.599998,112.599998,,143.399994,45.900002,28.200001,69.300003,0.0,90.300003,,,,,371.700012,222.699997,942.900024,-720.200012,32.200001,,,151.399994,0.0,,,151.399994,406.299992,,58.200001,58.200001,,,,56.0,,,,,,132.299999,,,132.299999,246.5,290.899994,,,,,88.900002,,,88.900002,379.799995,626.299995,0.0,20.9,,,-138.300003,505.799988,-236.699982,151.700003,0.0,151.700003,777.999998,
09/30/2000,783.900024,25.200001,25.200001,0.0,115.599998,115.599998,,147.699997,46.5,27.799999,73.400002,0.0,97.400002,,,,,385.899994,214.899994,924.900024,-710.0,31.799999,,,151.300003,0.0,,,151.300003,397.999996,,55.400002,55.400002,,,,47.700001,,,,,,143.099995,,,143.099995,246.199997,316.5,,,,,87.0,,,87.0,403.5,649.699997,0.0,20.9,,,-137.399994,496.899994,-246.199997,134.200003,0.0,134.200003,783.9,
12/30/2000,849.400024,32.599998,32.599998,0.0,112.5,,,144.100006,48.200001,25.5,70.400002,0.0,83.199997,,,,,372.399994,233.100006,948.900024,-715.799988,31.200001,,,212.699997,0.0,,,212.699997,477.000004,,88.599998,88.599998,,,,26.9,,,,,,160.29999,,,160.29999,275.799988,358.100006,,,,,91.599998,,,91.599998,449.700005,725.499992,0.0,22.299999,,,-125.5,,227.099998,123.899998,0.0,123.899998,849.39999,
