Date,P/E,Average,High,Low,P/Book,P/Sales,P/Free Cash Flow,Price/Share,Market Cap,Enterprise Value,EV/Total Revenues,EV/EBITDA,Source: Bloomberg
12/31/1988,,,,,,,,4.208333,,,,,
03/31/1989,,,,,,,,5.010417,,,,,
06/30/1989,,,,,,,,5.875,,,,,
09/30/1989,,,,,,,,7.833333,,,,,
12/31/1989,,,,,,,,5.59375,,,,,
03/31/1990,,,,,2.183318,,,5.770833,4154.854708,23130.854708,,,
06/30/1990,,,,,2.267771,,,6.291667,4531.006594,26754.006594,,,
09/30/1990,,,,,1.552794,,,4.520833,3256.209193,25344.209193,,,
12/31/1990,7.065217,7.779053,7.779053,7.779053,1.370199,0.732123,,4.0625,2926.745853,29008.745853,7.259446,7.779229,
03/31/1991,11.052999,8.022359,8.25417,7.569232,2.131073,1.151126,,6.604167,4758.686728,29119.686728,7.047359,7.569453,
06/30/1991,10.863698,7.582418,7.711882,6.600607,2.0709,1.160458,,6.708333,4831.409204,25469.409204,6.116573,6.600002,
09/30/1991,13.345026,6.765979,7.646647,6.620057,2.561665,1.485198,,8.71875,6281.20177,29923.20177,7.075716,7.647125,
12/31/1991,14.864865,7.651351,8.044114,7.484111,3.216187,1.936676,,11.458333,8252.734852,30527.734852,7.162772,7.726584,
03/31/1992,13.489968,7.488408,7.689137,5.620096,2.868069,1.787261,,10.645833,7669.215871,22302.215871,5.19744,5.620518,
06/30/1992,12.045454,5.51687,6.83162,5.225266,2.578327,1.6399,,9.9375,7162.592022,27514.592022,6.303458,6.832528,
09/30/1992,12.865792,6.953764,7.446361,6.865163,2.645786,1.733057,,10.625,7662.197609,30251.197609,6.848811,7.447365,
12/31/1992,14.703648,7.538367,7.810728,7.30219,2.900134,1.921961,,12.09375,8723.601861,32463.601861,7.161615,7.811261,
03/31/1993,14.040617,7.854342,9.387018,7.69736,2.863049,1.948699,,12.53125,9035.783094,39487.783094,8.521317,9.386209,
06/30/1993,15.392562,9.390164,9.637946,8.224699,3.058558,2.070259,,13.96875,10077.9501,36070.9501,7.415903,8.225986,
09/30/1993,13.218016,8.175748,11.207321,8.015182,2.667812,1.767231,,12.65625,9137.255545,51795.255545,10.028123,11.208668,
12/31/1993,12.2543,11.194108,11.330444,11.071964,2.543569,1.611548,,12.46875,9004.232751,56643.232751,10.143845,11.330913,
03/31/1994,11.404494,11.519443,11.660457,11.316904,2.447359,1.524576,,12.6875,9162.912655,63048.912655,10.49416,11.526309,
06/30/1994,12.604167,11.769806,13.239855,11.522054,2.774085,1.733283,,15.125,10938.218323,76978.218323,12.214887,13.242425,
09/30/1994,10.548419,13.215457,13.330817,13.016934,2.343275,1.446582,,13.34375,9647.264114,82768.264114,12.420208,13.330369,
12/31/1994,9.492481,13.300226,14.381617,13.166625,2.122914,1.305467,,12.625,9128.5315,91827.5315,13.138866,14.381759,
03/31/1995,11.590038,14.534568,14.682559,14.076756,2.436132,1.452198,,15.125,10935.798729,96312.798729,12.792243,14.076703,
06/30/1995,12.971698,14.247061,14.400332,14.073453,2.654167,1.515426,,17.1875,12424.155998,106636.155998,13.004409,14.336671,
09/30/1995,12.660256,14.292637,15.548115,14.187856,2.570191,1.400141,,17.28125,12442.292212,125952.292212,14.123379,15.541991,
12/31/1995,14.674868,15.645449,15.858496,14.485472,2.985494,1.574415,8.697796,20.875,14928.964416,128269.464415,13.414502,14.474099,
03/31/1996,14.376054,14.482947,14.627933,14.291999,2.95035,1.50708,3.387577,21.3125,15192.828438,134910.328438,13.277269,14.286808,
06/30/1996,13.68,14.271549,14.83987,14.149981,2.878626,1.411616,,21.375,15240.887718,149960.387718,13.830157,14.840216,
09/30/1996,15.182737,14.912304,15.087182,14.685222,3.200505,1.516989,,24.40625,17242.722166,157398.222166,13.71423,14.670353,
12/31/1996,16.698184,14.80681,14.950209,14.633314,3.594693,1.614816,,27.59375,19163.306948,168403.306948,13.89925,14.826845,
03/31/1997,16.053019,14.975064,15.195623,14.170211,3.470701,1.500155,,27.25,18779.963531,170067.963531,13.309435,14.158172,
06/30/1997,20.289855,14.444127,15.170222,14.162984,4.34164,1.822669,,35.0,23909.40918,191312.40918,14.29091,15.153458,
