Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1989,204.783096,23.2492,23.1698,0.0794,131.931198,,,,0.0,,,,,9.856,,,,,165.036407,21.8601,47.845402,-25.9853,8.8964,,,8.9902,,,,8.9902,39.7467,,58.275501,58.275501,,,,1.7922,,,,,74.431093,,,74.431093,134.498795,0.0,,,,,7.7493,,,7.7493,7.7493,142.248095,0.0,26.259399,,,,,36.2756,62.535,0.0,62.535,204.783094,
03/31/1990,212.939499,21.8956,21.8424,0.0532,142.613007,,,,0.0,,,,,8.7992,,,,,173.3078,22.1015,49.149399,-27.047899,9.1719,,,8.3583,,,,8.3583,39.6317,,62.372501,62.372501,,,,3.1,,,,,73.232104,,,73.232104,138.704605,0.0,,,,,7.6905,,,7.6905,7.6905,146.395105,0.0,26.7733,,,,,39.771099,66.544399,0.0,66.544399,212.939504,
06/30/1990,236.094498,21.3922,19.3237,2.0685,155.226807,,,,0.0,,,,,8.3991,,,,,185.018097,28.3316,56.889999,-28.558399,9.5434,,,13.2014,,,,13.2014,51.0764,,54.864498,54.864498,,,,23.9,,,,,71.852308,,,71.852308,150.616806,0.0,,,,,7.5272,,,7.5272,7.5272,158.144006,0.0,34.631302,,,,,43.319199,77.9505,0.0,77.9505,236.094507,
09/30/1990,253.706497,22.5013,20.1954,2.3059,166.095306,,,,0.0,,,,,13.8073,,,,,202.4039,28.624599,58.129101,-29.504499,9.1119,,,13.5661,,,,13.5661,51.302599,,66.323898,66.323898,,,,17.299999,,,,,79.235997,,,79.235997,162.859894,0.0,,,,,7.8824,,,7.8824,7.8824,170.742294,0.0,35.323502,,,,,47.640701,82.964203,0.0,82.964203,253.706497,
12/31/1990,267.379395,27.1185,24.8799,2.2386,174.367798,,,,0.0,,,,,14.1417,,,,,215.628006,29.363001,60.305099,-30.942101,9.2759,,,13.1125,,,,13.1125,51.751401,,71.505699,71.505699,,,,8.5,,,,,92.129997,,,92.129997,172.135696,0.0,,,,,7.719,,,7.719,7.719,179.854696,0.0,35.480202,,,,,52.044498,87.5247,0.0,87.5247,267.379396,
03/31/1991,265.398804,31.470901,29.176901,2.294,166.632706,,,,0.0,,,,,16.186899,,,,,214.290497,29.511999,61.853401,-32.3414,8.773,,,12.8233,,,,12.8233,51.108299,,64.635201,64.635201,,,,0.0,,,,,100.510796,,,100.510796,165.145996,0.0,,,,,7.5559,,,7.5559,7.5559,172.701896,0.0,36.5172,,,,,56.179699,92.696899,0.0,92.696899,265.398796,
06/30/1991,262.499908,27.286,25.057301,2.2287,164.0923,,,,0.0,,,,,18.1308,,,,,209.509094,29.763,63.634201,-33.871201,8.5671,,,14.6607,,,,14.6607,52.9908,,60.1581,60.1581,,,,0.0,,,,,97.555798,,,97.555798,157.713898,0.0,,,,,7.3927,,,7.3927,7.3927,165.106598,0.0,36.653801,,,,,60.739498,97.393299,0.0,97.393299,262.499897,
09/30/1991,260.141602,34.072399,31.835899,2.2365,154.763,,,,0.0,,,,,17.740999,,,,,206.576401,30.4965,65.805397,-35.308899,6.1237,,,16.945,,,,16.945,53.5652,,51.3773,51.3773,,,,0.0,,,,,94.619007,,,94.619007,145.996307,0.0,,,,,7.2098,,,7.2098,7.2098,153.206107,0.0,40.7304,,,,,66.205101,106.935501,0.0,106.935501,260.141608,
12/31/1991,276.704193,30.0189,27.7449,2.274,172.280304,,,,0.0,,,,,19.8864,,,,,222.185593,31.2759,68.236801,-36.960899,6.459,,,16.783701,,,,16.783701,54.518601,,57.314098,57.314098,,,,3.2,,,,,95.410096,,,95.410096,155.924194,0.0,,,,,7.0465,,,7.0465,7.0465,162.970695,0.0,41.1926,,,,,72.540901,113.733501,0.0,113.733501,276.704196,
03/31/1992,287.879089,32.0982,21.7495,10.3487,180.892105,,,,0.0,,,,,21.275999,,,,,234.266296,31.0452,67.135902,-36.090698,4.9933,,,17.574301,,,,17.574301,53.612801,,49.0714,49.0714,,,,5.1,,,,,103.478594,,,103.478594,157.649994,0.0,,,,,6.8833,,,6.8833,6.8833,164.533294,0.0,44.091999,,,,,79.253799,123.345798,0.0,123.345798,287.879092,
