Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Source: Bloomberg
06/30/1991,-2.277,-1.214,0.195,0.002,,,0.002,-1.259,,,,-1.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,1.777,-0.628,0.212,0.001,,,0.001,2.191,,,,2.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,-1.848,-1.319,0.276,0.003,,,0.003,-0.808,,,,-0.808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1992,-1.36,-1.356,0.335,-0.11,,,-0.11,-0.229,,,,-0.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,-2.13,-1.758,0.397,0.002,,,0.002,-0.771,,,,-0.771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,0.739,-2.736,0.431,-0.081,,,-0.081,3.125,,,,3.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/30/1992,-2.914,-3.868,0.423,0.005,,,0.005,0.526,,,,0.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1993,-4.591,-5.719,0.455,-0.012,,,-0.012,0.685,,,,0.685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,-6.113974,-4.776999,0.53709,-0.190082,,,-0.190082,-1.683983,,,,-1.683983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,-3.201,-5.79,0.7,-0.136,,,-0.136,2.025,,,,2.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,-6.31,-6.749,0.739,-0.023,,,-0.023,-0.277,,,,-0.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1994,-6.778026,-8.396001,0.79591,-0.089918,,,-0.089918,0.911983,,,,0.911983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1995,-7.477,-8.873,1.105,0.143,,,0.143,0.148,,,,0.148,,,-0.168,,,,-0.168,,,,,,,,,,0.168,,,,,,,,,,,,,,
06/30/1995,-8.051,-7.935,1.084,-0.79,,,-0.79,-0.41,,,,-0.41,,,-0.087,,,,-0.087,,,,,,,,,,0.087,,,,,,,,,,,,,,
09/30/1995,-5.769,-8.426,1.083,0.73,,,0.73,0.844,,,,0.844,,,-0.23,,,,-0.23,,,,,,,,,,0.23,,,,,,,,,,,,,,
12/31/1995,-9.228,-11.054,1.08,-0.088,,,-0.088,0.834,,,,0.834,,,-0.249,,,,-0.249,,,,,,,,,,0.249,,,,,,,,,,,,,,
03/31/1996,-7.493,-10.802,1.084,-0.089,,,-0.089,2.314,,,,2.314,,,-0.414,,,,-0.414,,,,,,,,,,0.414,,,,,,,,,,,,,,
06/30/1996,-12.864,-12.158,1.799,0.147,,,0.147,-2.652,,,,-2.652,,,-0.71,,,,-0.71,,,,,,,,,,0.71,,,,,,,,,,,,,,
09/30/1996,-0.077,9.31,0.835,-0.194,,,-0.194,-10.028,,,,-10.028,,,-0.441,,,,-0.441,,,,,,,,,,0.441,,,,,,,,,,,,,,
12/31/1996,3.97,-8.082,0.761,-0.039,,,-0.039,11.33,,,,11.33,,-2.162,-2.162,,,,-2.162,,,,,,,,,,0.0,,,,,,,,,,,,1.808,,
03/31/1997,2.534,-7.948,0.753,-0.117,,,-0.117,9.846,,,,9.846,,-31.056,-1.786,0.0,,,-1.786,,,0.0,0.0,0.0,,,,,-29.27,1.28,0.0,-0.823,,,,2.103,2.103,0.0,0.0,,-27.242001,,
06/30/1997,-0.838,2.711,0.786,-0.099,,,-0.099,-4.236,,,,-4.236,,-6.133,-0.879,0.0,,,-0.879,,,0.0,0.0,0.0,,,,,-5.254,41.189999,0.0,-0.84,,,,42.029999,42.029999,0.0,0.0,,34.219002,,
09/30/1997,-9.352,-10.331,0.738,0.044,,,0.044,0.197,,,,0.197,,-88.164001,-0.446,0.0,,,-0.446,,,0.0,0.0,0.0,,,,,-87.718001,4.225,0.0,-0.863,,,,5.088,5.088,0.0,0.0,,-93.291,,
12/31/1997,-12.204,-12.424,0.706,-0.079,,,-0.079,-0.407,,,,-0.407,,-4.582,-0.75,0.0,,,-0.75,,,0.0,0.0,0.0,,,,,-3.832,3.106,0.0,-0.835,,,,3.941,3.941,0.0,0.0,,-13.68,,
03/31/1998,-6.78,-7.384,0.689,-0.011,,,-0.011,-0.074,,,,-0.074,,8.219,-0.848,0.0,,,-0.848,,,0.0,0.0,0.0,,,,,9.067,0.884,0.0,-0.66,,,,1.544,1.544,0.0,0.0,,2.323,0.0,
06/30/1998,-5.713,-14.844,0.693,0.047,,,0.047,8.391,,,,8.391,,5.252,-0.206,0.0,,,-0.206,,,0.0,0.0,0.0,,,,,5.458,3.169,0.0,-0.718,,,,3.887,3.887,0.0,0.0,,2.708,0.0,
09/30/1998,-39.022,2.2,9.967,-50.417,,,-50.417,-0.772,-7.365,1.224,-0.491,5.86,,65.961,-8.71,,,,-8.71,,,,,,,,,,74.671,11.255,,-5.878,,,,16.853,16.853,,0.28,,38.194,,
12/31/1998,-16.298,-16.288002,0.689,-2.534,,,-2.534,1.835,,,,1.835,,3.019002,-1.108,0.0,,,-1.108,,,0.0,0.0,0.0,,,,,4.127002,2.587,0.0,-0.229,,,,2.816,2.816,0.0,0.0,,-10.691999,,
03/31/1999,-11.913,-15.476,2.992,4.661,,,4.661,-4.09,-1.625,-0.215,0.198,-2.448,,31.87988,-3.715,,,,-3.715,,,,,,,,,,35.59488,8.375,,-1.18,,,,9.996,9.996,,-0.441,,28.342,,
06/30/1999,-19.847,-11.691,3.055,1.656,,,1.656,-12.867,-3.208,-1.423,-0.441,-7.795,,2.409,-2.021,,,,-2.021,,,,,,,,,,4.43,3.908,,-1.112,,,,4.789,4.789,,0.231,,-13.53,,
09/30/1999,-53.756,-30.365,9.472,-19.588,,,-19.588,-13.275,-6.108,-3.664,3.049,-6.552,,2.249,-7.373,,,,-7.373,,,,,,,,,,9.622,21.164,,-4.25,,,,25.314,25.314,,0.1,,-30.343,,
