Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,431.283997,41.390999,41.390999,0.0,17.848,,,53.972,,,,,4.26,,,,,117.471001,300.112,649.460022,-349.347992,0.0,,,13.701,,,,,,13.701,313.813,,16.028,16.028,,,,15.0,,,,,,20.483002,,,,20.483002,51.511002,166.0,,,,,59.237,,,59.237,225.237,276.748001,0.0,131.990005,,,0.0,,0.0,131.990005,22.546,154.536005,431.284006,
06/30/1990,484.15799,41.310001,41.310001,0.0,34.091999,,,55.402,,,,,3.636,,,,,134.440002,336.149994,693.590027,-357.440002,0.0,,,13.568,,,,,,13.568,349.717994,,19.598,19.598,,,,15.0,,,,,,18.953999,,,,18.953999,53.551998,204.0,,,,,70.322998,,,70.322998,274.322998,327.874996,0.0,133.410004,,,0.0,,0.0,133.410004,22.872999,156.283003,484.157999,
09/30/1990,575.90802,71.989998,71.989998,0.0,37.057999,,,54.634998,,,,,3.671,,,,,167.354004,395.005005,762.130005,-367.125,0.0,,,13.549,,,,,,13.549,408.554005,,20.783001,20.783001,,,,0.0,,,,,,29.348999,,,,29.348999,50.132,249.0,,,,,79.832001,,,79.832001,328.832001,378.964001,0.0,175.612,,,0.0,,0.0,175.612,21.332001,196.944,575.908001,
12/31/1990,676.72699,44.414001,44.414001,0.0,34.911999,,,72.456001,,,,,4.65,,,,,156.432007,502.17099,877.989014,-375.817993,0.0,,,18.124001,,,,,,18.124001,520.294991,,31.618999,31.618999,,,,10.0,,,,,,25.892003,,,,25.892003,67.511002,294.0,,,,,129.759995,,,129.759995,423.759995,491.270997,0.0,176.557007,,,0.0,,0.0,176.557007,8.899,185.456007,676.727004,
03/31/1991,743.94397,63.382999,63.382999,0.0,30.589001,,,81.406998,,,,,6.855,,,,,182.233994,525.726013,912.531982,-386.806,17.250999,,,18.733,,,,,,18.733,561.710012,,23.122999,23.122999,,,,23.0,,,,,,21.518,,,,21.518,67.640999,346.0,,,,,103.175003,,,103.175003,449.175003,516.816002,0.0,212.746002,,,0.0,,0.0,212.746002,14.382,227.128002,743.944004,
06/30/1991,797.986023,57.432999,57.432999,0.0,8.844,,,107.574997,,,,,13.021,,,,,186.873001,575.109009,,,16.058001,,,19.945999,,,,,,19.945999,611.113008,,47.308998,47.308998,,,,25.0,,,,,,13.146004,,,,13.146004,85.455002,397.0,,,,,108.217003,,,108.217003,505.217003,590.672005,0.0,194.779007,,,0.0,,0.0,194.779007,12.535,207.314007,797.986012,
09/30/1991,999.307983,154.550003,154.550003,0.0,64.883003,,,103.582001,,,,,8.788,,,,,331.803009,623.872009,,,14.865,,,28.768,,,,,,28.768,667.505009,,28.582001,28.582001,,,,0.0,,,,,,17.693001,,,,17.693001,46.275002,627.58197,,,,,120.782997,,,120.782997,748.364967,794.639969,0.0,192.266006,,,0.0,,0.0,192.266006,12.402,204.668007,999.307976,
12/31/1991,1157.61499,80.776001,80.776001,0.0,54.525002,,,121.613998,,,,,253.369003,,,,,510.283997,601.674988,1012.028992,-410.354004,12.446,,,33.209999,,,,,,33.209999,647.330987,,31.860001,31.860001,,,,0.0,,,,,,9.862999,,,,9.862999,41.723,631.960999,,,,,297.148987,,,297.148987,929.109986,970.832986,0.0,172.544998,,,0.0,,0.0,172.544998,14.237,186.781998,1157.614984,
03/31/1992,1169.444946,238.735992,238.735992,0.0,53.069,,,151.195999,,,,,28.15,,,,,471.151001,654.179993,,,12.446,,,31.667999,,,,,,31.667999,698.293992,,43.037998,43.037998,,,,0.0,,,,,,6.574001,,,,6.574001,49.612,397.0,,,,,542.369995,,,542.369995,939.369995,988.981995,0.0,,,,0.0,,162.537994,162.537994,17.924999,180.462994,1169.444988,
06/30/1992,1230.43103,122.213997,122.213997,0.0,184.617004,,,135.845001,,,,,19.771999,,,,,462.447998,724.252991,,,11.149,,,32.581001,,,,,,32.581001,767.982992,,36.563,36.563,,,,0.0,,,,,,56.335003,,,,56.335003,92.898003,368.653992,,,,,557.960999,,,557.960999,926.61499,1019.512993,0.0,,,,0.0,,186.544006,186.544006,24.374001,210.918007,1230.431,
