Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2016,21721,981,981,0,2563,2563,0,3224,0.0,0.0,1585,1639,633,0.0,315,7401,2325,4390,-2065,0,11995,9129,6680,2449,326.0,2540,14320,,1898,1898,0.0,239,205,,,,34.0,2797,0.0,0.0,2422,4934,38,38,,,,1894,0.0,519,880,495,1932,6866,0,0,0.0,0.0,0.0,,14688,14688,167,14855,21721,
06/30/2017,18675,4133,4133,0,2307,2307,0,1976,107.0,134.0,1735,0,675,,675,9091,4047,10623,-6576,0,5537,4370,4088,282,,1167,9584,,2135,1094,1041.0,331,331,,,,,0,,,0,2466,2678,2678,,,,1144,,647,344,153,3822,6288,0,7220,427.0,6793.0,-60.0,6129.0,-982,12307,80,12387,18675,
09/30/2017,54810,4777,4777,0,5194,5194,0,5309,0.0,0.0,3037,2272,1301,,1301,16581,6255,8841,-2586,0,31974,27221,20395,6826,324.0,4429,38229,,3203,3203,,1866,1592,,,,274.0,3663,,,3663,8732,3039,3039,,,,2891,,1262,633,996,5930,14662,0,15716,0.1145,15715.8855,,-104.0,-627,14985,25163,40148,54810,
12/31/2017,56500,7030,7030,0,6015,6015,0,4507,0.0,0.0,2577,1930,872,0.0,722,18424,6959,9776,-2817,0,31117,26285,19927,6358,715.0,4117,38076,,3377,3377,0.0,2037,1398,,,,639.0,3813,0.0,,3718,9227,6312,6312,,,,2551,0.0,1172,490,889,8863,18090,0,15083,0.1129,15082.8871,0.0,-103.0,-703,14277,24133,38410,56500,
03/31/2018,55221,5631,5631,0,5865,5865,0,4696,0.0,0.0,2169,2527,862,,657,17054,6593,9642,-3049,0,31574,26638,20435,6203,1287.0,3649,38167,,3439,3439,,1176,1176,,,,0.0,3710,,,3581,8325,6296,6296,,,,2505,,1172,424,909,8801,17126,0,14845,0.1112,14844.8888,0.0,-8.0,-585,14252,23843,38095,55221,
06/30/2018,54090,4879,4879,0,6038,6038,0,4675,0.0,0.0,2656,2019,850,,850,16442,6335,9683,-3348,0,31313,26731,20758,5973,1187.0,3395,37648,,3574,3574,,1067,1067,,,,0.0,3992,,,3992,8633,6319,6319,,,,2321,,1100,148,1073,8640,17273,0,14625,0.11,14624.89,0.0,-27.0,-787,13811,23006,36817,54090,
09/30/2018,53600,4765,4765,0,5809,5809,0,4681,0.0,0.0,2626,2055,863,,863,16118,6226,9743,-3517,0,31256,26621,20790,5831,1212.0,3423,37482,,3686,3686,,1000,1000,,,,0.0,3771,,,3771,8457,6293,6293,,,,2287,,1082,181,1024,8580,17037,0,14575,0.11,14574.89,0.0,-14.0,-821,13740,22823,36563,53600,
12/31/2018,52439,3723,3723,0,5969,5969,0,4620,0.0,0.0,2575,2045,659,0.0,585,14971,6228,9853,-3625,0,31240,26436,20717,5719,1072.0,3732,37468,,4025,4025,0.0,942,942,,,,0.0,4053,0.0,0.0,3971,9020,6285,6285,,,,2121,0.0,1018,143,960,8406,17426,0,18659,0.1035,18658.8965,0.0,25.0,-1219,17465,17548,35013,52439,
03/31/2019,53129,3073,3073,0,6319,6319,0,4871,,,2782,2089,649,,594,14912,6218,10072,-3854,0,31999,26425,20762,5663,997.0,4577,38217,,3918,3918,,1100,906,194.0,,194.0,0.0,4034,,,3987,9052,6945,6270,675.0,,675.0,2046,,1033,89,924,8991,18043,0,18646,0.1037,18645.8963,0.0,,-1134,17512,17574,35086,53129,
06/30/2019,52876,3138,3138,0,6310,6310,0,4807,0.0,0.0,2751,2056,730,,683,14985,6130,10048,-3918,0,31761,26215,20705,5510,898.0,4648,37891,,3966,3966,,1082,892,190.0,,190.0,,4293,,,4243,9341,6897,6256,641.0,,641.0,1857,,997,75,785,8754,18095,0,18668,0.1038,18667.8962,0.0,-9.0,-1271,17388,17393,34781,52876,
