Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2005,,,,,,,,-6.121672,,,,-6.121672,0.135737,-0.135737,,,,,0.0,-5.985935,,,,,-5.985935,,,,,,-5.985935,,-0.10699,-6.092925,-6.092925,,2.577644,-2.36,-2.36,-2.36,2.577644,-2.36,-2.36,-2.36,
06/30/2005,,,,,,,,-6.842226,,,,-6.842226,0.457978,-0.457978,,,,,0.0,-6.384248,,,,,-6.384248,,,,,,-6.384248,,-0.015242,-6.39949,-6.39949,,22.140149,-0.29,-0.29,-0.29,22.140149,-0.29,-0.29,-0.29,
09/30/2005,,,,,,,,-6.861053,,,,-6.861053,0.531432,-0.531432,,-0.531432,,,0.0,-6.329621,,,,,-6.329621,,,,,,-6.329621,,,-6.329621,-6.329621,,25.354432,-0.25,-0.25,-0.25,25.354432,-0.25,-0.25,-0.25,
12/31/2005,0.0,,,0.0,,0.0,,-12.604523,,,,-12.604523,0.536897,,0.0,-0.536875,0.0,,-2.2e-05,-12.067626,0.0,,,,-12.067626,0.0,,,-12.067626,0.0,-12.067626,0.0,0.244464,-11.823162,-11.823162,,25.3738,-0.48,-0.48,-0.48,25.3738,-0.48,-0.48,-0.48,
03/31/2006,0.014775,,,-2.08122,,-2.066445,,-9.335526,,,,-11.401971,0.482914,-0.482914,,-0.482914,,,0.0,-10.919057,,,,,-10.919057,,,,,,-10.919057,,,-10.919057,-10.919057,,25.556603,-0.43,-0.43,-0.43,25.556603,-0.43,-0.43,-0.43,
06/30/2006,0.479078,,,-2.090544,,-1.611466,,-10.293778,,,,-11.905244,0.736424,,,,,,-0.736424,-11.16882,,,,,-11.16882,,,,,,-11.16882,,,-11.16882,-11.16882,,27.080114,-0.41,-0.41,-0.41,27.080114,-0.41,-0.41,-0.41,
09/30/2006,0.84102,,,-3.388675,,-2.547655,,-11.707925,,,,-14.25558,0.817809,,,,,,-0.817809,-13.437771,,,,,-13.437771,,,,,,-13.437771,,,-13.437771,-13.437771,,28.068426,-0.48,-0.48,-0.48,28.068426,-0.48,-0.48,-0.48,
12/31/2006,0.834917,,,-3.398514,,-2.563597,,-9.193646,,,,-11.757243,0.6836,,0.0,-0.778532,0.0,,0.094932,-11.073643,0.0,,,,-11.073643,0.0,,,-11.073643,0.0,-11.073643,0.0,0.0,-11.073643,-11.073643,,28.389999,-0.39,-0.39,-0.39,28.389999,-0.39,-0.39,-0.39,
03/31/2007,1.012,,,-3.062,,-2.05,,-9.406,,,,-11.456,0.527,,0.265,-0.792,0.0,,0.0,-10.929,0.0,,,,-10.929,0.0,,,-10.929,0.0,-10.929,0.0,0.0,-10.929,-10.929,,28.223454,-0.39,-0.39,-0.39,28.223454,-0.39,-0.39,-0.39,
06/30/2007,0.863,,,-2.906,,-2.043,,-9.497,,,,-11.54,0.204,,0.922,-1.126,0.0,,0.0,-11.336,0.0,,,,-11.336,0.0,,,-11.336,0.0,-11.336,0.0,0.0,-11.336,-11.336,,28.298731,-0.4,-0.4,-0.4,28.298731,-0.4,-0.4,-0.4,
09/30/2007,1.224,,,-3.113,,-1.889,,-9.614,,,,-11.503,0.119,,0.895,-0.119,0.0,,-0.895,-11.384,0.0,,,,-11.384,0.0,,,-11.384,0.0,-11.384,0.0,0.0,-11.384,-11.384,,28.324661,-0.4,-0.4,-0.4,28.324661,-0.4,-0.4,-0.4,
12/31/2007,1.528,,,-3.655,,-2.127,,-10.05,,,,-12.177,-0.052,,0.902,-1.745,0.0,,0.895,-12.229,0.0,,,,-12.229,0.0,,,-12.229,0.0,-12.229,0.0,0.0,-12.229,-12.229,,28.400999,-0.43,-0.43,-0.43,28.400999,-0.43,-0.43,-0.43,
03/31/2008,1.862,,,-3.242,,-1.38,,-11.264,6.421,,4.843,-12.644,-1.17,1.17,1.735,-0.565,,,0.0,-13.814,0.0,,,,-13.814,0.0,,,-13.814,0.0,-13.814,0.0,0.0,-13.814,-13.814,,29.228,-0.47,-0.47,-0.47,29.228,-0.47,-0.47,-0.47,
06/30/2008,1.982,,,-3.393,,-1.411,,-12.044,7.247,,4.797,-13.455,-1.511,1.511,1.818,-0.307,,,0.0,-14.966,0.0,,,,-14.966,0.0,,,-14.966,0.0,-14.966,0.0,0.0,-14.966,-14.966,,29.387,-0.51,-0.51,-0.51,29.387,-0.51,-0.51,-0.51,
09/30/2008,1.92,,,-3.84,,-1.92,,-12.07,6.652,,5.418,-13.99,-1.641,1.641,1.856,-0.215,,,0.0,-15.631,0.0,,,,-15.631,,,,-15.631,,-15.631,0.0,0.0,-15.631,-15.631,,29.627,-0.53,-0.53,-0.53,29.627,-0.53,-0.53,-0.53,
12/31/2008,4.074,,,-4.892,,-0.818,,-11.92,7.349,,4.571,-12.738,-1.707,1.741,1.874,-0.133,,,-0.034,-14.445,,,,,-14.445,,,,,,-14.445,0.0,0.0,-14.445,-14.445,0.0,29.701,-0.49,-0.49,-0.49,29.701,-0.49,-0.49,-0.49,
03/31/2009,5.212,5.212,,-5.475,5.475,-0.263,0.0,-11.074,7.903,3.171,0.0,-11.337,-1.805,1.805,1.928,-0.123,,,0.0,-13.142,0.0,,,,-13.142,0.0,0.0,0.0,-13.142,0.0,-13.142,0.0,0.0,-13.142,-13.3773,-0.2353,39.569,-0.33,-0.33,-0.338075,39.569,-0.33,-0.33,-0.338075,
06/30/2009,6.751,6.751,,-7.799,7.799,-1.048,0.0,-12.407,8.952,3.455,0.0,-13.455,-1.875,1.875,1.982,-0.107,,,0.0,-15.33,0.0,,,,-15.33,0.0,0.0,0.0,-15.33,0.0,-15.33,0.0,0.0,-15.33,-15.0219,0.3081,45.832,-0.33,-0.33,-0.32776,45.832,-0.33,-0.33,-0.32776,
09/30/2009,7.259,7.259,,-6.394,6.394,0.865,0.0,-12.444,8.948,3.496,0.0,-11.579,-1.944,1.944,2.037,-0.093,,,0.0,-13.523,0.0,,,,-13.523,0.0,0.0,0.0,-13.523,0.0,-13.523,0.0,0.0,-13.523,-13.523,0.0,45.919,-0.29,-0.29,-0.29,45.919,-0.29,-0.29,-0.29,
12/31/2009,10.471,10.471,,-6.364,6.364,4.107,0.0,-13.569,9.397,4.172,0.0,-9.462,-2.067,2.05,2.098,-0.048,,,0.017,-11.529,0.0,,,,-11.529,0.0,0.0,0.0,-11.529,0.0,-11.529,0.0,0.0,-11.529,-11.529,0.0,45.98,-0.25,-0.25,-0.25,45.98,-0.25,-0.25,-0.25,
