Date,Level 1 Assets,Level 2 Assets,Level 3 Assets,Total FV Assets,Level 1 Liabilities,Level 2 Liabilities,Total FV Liabilities,Level 3 Total Gains,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
03/29/2008,320.0,4642,39.0,,,67,,,2.108037,30.57971,0.256917,,0.937509,13.599742,0.114259,,
06/28/2008,284.0,4408,43.0,,,27,,,1.867929,28.99237,0.28282,,0.841756,13.064999,0.127449,,
09/27/2008,281.0,3920,78.0,,,26,,,1.916911,26.741251,0.532096,,0.848456,11.836106,0.235514,,
12/31/2008,128.0,2987,134.0,3249.0,,67,67.0,,1.346376,31.418954,1.409488,34.174819,0.459292,10.718002,0.480821,11.658115,
04/04/2009,118.0,2818,109.0,3045.0,,42,42.0,-1.0,1.259876,30.087551,1.163784,32.511211,0.458021,10.938167,0.423087,11.819276,
07/04/2009,78.0,3545,80.0,3703.0,,75,75.0,,0.810558,36.838824,0.831342,38.480723,0.310707,14.121256,0.318674,14.750637,
10/03/2009,169.0,4155,28.0,4352.0,,71,71.0,,1.704144,41.897751,0.282343,43.884239,0.674678,16.587489,0.111781,17.373947,
12/31/2009,136.0,4999,19.0,5154.0,,21,21.0,,1.3761,50.581807,0.192249,52.150157,0.531188,19.525056,0.07421,20.130453,
04/03/2010,114.0,5224,22.0,5360.0,,12,12.0,,1.134893,52.005973,0.219014,53.359881,0.451306,20.680918,0.087094,21.219319,
07/03/2010,38.0,5449,22.0,5509.0,,12,12.0,,0.37182,53.317025,0.215264,53.90411,0.153152,21.961148,0.088667,22.202966,
10/02/2010,26.0,5181,21.0,5228.0,,55,55.0,,0.246539,49.127631,0.199128,49.573298,0.100289,19.984571,0.081003,20.165863,
12/31/2010,2.0,2392,15.0,2409.0,,18,18.0,,0.018203,21.771184,0.136525,21.925912,0.00782,9.352152,0.058646,9.418618,
04/02/2011,3.0,2881,21.0,2905.0,,4,4.0,,0.046831,44.973462,0.327818,45.348111,0.018116,17.397343,0.126812,17.542271,
07/02/2011,21.0,2484,21.0,2526.0,,4,4.0,,0.307737,36.400938,0.307737,37.016413,0.134641,15.92614,0.134641,16.195422,
10/01/2011,7.0,4302,19.0,4328.0,,7,7.0,,0.113673,69.860344,0.308542,70.282559,0.04739,29.124636,0.12863,29.300657,
12/31/2011,3.0,2981,,2984.0,,8,8.0,,0.056883,56.522564,,56.579446,0.021538,21.401393,,21.422931,
03/31/2012,3.0,2084,,2087.0,,5,5.0,,0.072993,50.705596,,50.778589,0.02411,16.748373,,16.772483,
06/30/2012,40.0,1953,,1993.0,,7,7.0,,1.032791,50.426026,,51.458817,0.328057,16.017387,,16.345444,
09/29/2012,22.0,1799,,1821.0,,5,5.0,,0.564537,46.163716,,46.728253,0.183028,14.966722,,15.14975,
12/31/2012,3.0,2022,,2025.0,,7,7.0,,0.091185,61.458967,,61.550152,0.023661,15.94763,,15.971291,
