Date,Revenue,Sales & Services Revenue,Financing Revenue,Cost of Revenue,Cost of Goods & Services,Cost of Financing Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,357.53299,,,,,,,,,,,,,,,,,,,,,,,,,,,3.214,,,3.214,3.214,,0.9356,2.399999,2.399999,,0.9356,2.399999,2.399999,2.399999,
03/31/1990,193.447998,,,-166.492004,,,26.955994,,-38.696999,,,,-11.741,9.225998,,35.942001,,0.0,-45.167999,-2.515002,4.214,1.699,0.0,,,1.698998,-0.558,1.141,0.0,,1.141,1.141,,0.944167,0.3,0.3,,0.944167,0.3,0.3,0.3,
06/30/1990,319.384003,,,-276.136993,,,43.247009,,-102.663002,,,,-59.416,0.362999,,36.57,,0.0,-36.932999,-59.053001,6.712,-52.341,0.0,,,-52.341002,-0.986,-53.327,0.0,,-53.327,-53.327,,0.935534,-56.999988,-56.999988,,0.935534,-56.999988,-56.999988,-56.999988,
09/30/1990,268.510986,,,-241.580994,,,26.929993,,-211.570007,,,,-184.639999,-3.648003,,38.012001,,0.0,-34.363998,-188.288002,16.542,-171.746002,0.0,,,-171.746002,-0.533,-172.279007,0.0,,-172.279007,-172.279007,,0.935567,-180.599963,-180.599963,,0.935567,-180.599963,-180.599963,-180.599963,
12/31/1990,158.406998,,,-132.341003,,,26.065994,,-50.528999,,,,-24.462999,-11.767,,36.951,,0.0,-25.184,-36.23,-1.716,-37.945999,0.0,,,-37.946,1.956,-35.990002,0.0,,-35.990002,-35.990002,,0.9581,-38.699991,-38.699991,,0.9581,-38.699991,-38.699991,-38.699991,
03/31/1991,131.356995,,,-112.379997,,,18.976997,,-25.337999,,,,-6.361,-4.390999,,38.301998,,0.0,-33.910999,-10.751999,0.015,-10.737,0.0,,,-10.736999,-0.215,-10.952,0.0,,-10.952,-10.952,,0.9736,-11.699997,-11.699997,,0.9736,-11.699997,-11.699997,-11.699997,
06/30/1991,163.007004,,,-143.695999,,,19.311005,,-27.583,,,,-8.272,-3.302002,,37.457001,,0.0,-34.154999,-11.574002,-0.058,-11.632,0.0,,,-11.632002,0.064,-11.568,0.0,,-11.568,-11.568,,1.0009,-11.999998,-11.999998,,1.0009,-11.999998,-11.999998,-11.999998,
09/30/1991,222.983002,,,-187.162994,,,35.820007,,-30.282,,,,5.538,-3.092999,,35.411999,,0.0,-32.319,2.445002,-0.019,2.426,0.0,,,2.426002,-0.255,2.171,0.0,,2.171,2.171,,1.0129,1.5,1.5,,1.0129,1.5,1.5,1.5,
12/31/1991,172.050003,,,-146.927994,,,25.122009,,-35.675999,,,,-10.554,-5.159,,34.248001,,0.0,-29.089001,-15.713,-0.529,-16.242001,0.0,,,-16.242,-0.13,-16.372,0.0,,-16.372,-16.372,,1.012367,-16.199997,-1.2,,1.012367,-16.199997,-1.2,-1.2,
03/31/1992,158.727997,,,-142.548004,,,16.179993,,,,,,16.18,-26.311001,,,,,26.311001,-10.131001,,-10.131,,,,,,-10.131,0.0,,-10.131,-10.131,,1.0128,-10.499998,-10.499998,,1.0128,-10.499998,-10.499998,-10.499998,
06/30/1992,190.906998,,,-170.292007,,,20.61499,,,,,,20.615,-17.437,,,,,17.437,3.177999,,3.178,,,,,,3.178,0.0,,3.178,3.178,,1.0132,2.999999,2.999999,,1.0132,2.999999,2.999999,2.999999,
09/30/1992,214.102005,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23,,,3.23,3.23,,1.013334,2.999999,2.999999,,1.013334,2.999999,2.999999,2.999999,
12/31/1992,170.720001,,,-151.496002,,,19.223999,,,,,,19.224001,-23.313999,,,,,23.313999,-4.089998,,-4.09,,,,,,-4.09,0.0,,-4.09,-4.09,,1.0132,-3.899999,-3.899999,,1.0132,-3.899999,-3.899999,-3.899999,
03/31/1993,155.479004,,,-131.268997,,,24.210007,,-18.565001,,,,5.645,-6.791,,2.451,,0.0,4.34,-1.146,0.022,-1.124,-1.313,,,0.189,0.0,0.189,0.0,,0.189,0.189,,1.0132,0.3,-0.9,,1.0132,0.3,-0.9,-0.9,
06/30/1993,192.363998,,,-162.281998,,,30.082001,,-20.565001,,,,9.517,-4.103,,1.45,,0.0,2.653,5.414,-0.204,5.21,-3.43,,,8.64,0.0,8.64,0.0,,8.64,8.64,,1.0132,8.399998,5.099999,,1.0132,8.399998,5.099999,5.099999,
09/30/1993,209.509995,,,-175.098999,,,34.410996,,-29.620001,,,,4.791,-18.189,,1.672,,0.0,16.517,-13.398,-7.866,-21.264,-144.518997,,,123.254997,0.0,123.254997,0.0,,123.254997,123.254997,,1.0132,119.399976,-23.099995,-23.099995,1.0132,119.399976,-23.099995,-23.099995,
12/31/1993,240.026001,,,-206.511993,,,33.514008,,-37.490002,,,,-3.976,-5.113,,5.281,,0.0,-0.168,-9.089,2.079,-7.01,-0.84,,,-6.17,0.0,-6.17,0.0,,-6.17,-6.17,,32.120998,-0.35,-0.38,,32.120998,-0.35,-0.38,-0.38,
03/31/1994,158.645004,,,-133.934998,,,24.710007,,-21.229,,,,3.481,-4.38,,5.304,,0.0,-0.924,-0.899,0.521,-0.378,-0.617,,,0.239,0.0,0.239,0.0,,0.239,0.239,,18.551001,0.01,-0.02,,18.551001,0.01,-0.02,-0.02,
06/30/1994,217.136993,,,-181.776993,,,35.360001,,-21.806999,,,,13.553,-4.316,,5.059,,0.0,-0.743,9.237,-5.335,3.902,0.0,,,3.902,0.0,3.902,0.0,,3.902,3.902,,18.01,0.22,0.22,,18.01,0.22,0.22,0.22,
09/30/1994,233.257996,,,-196.516998,,,36.740997,,-24.191999,,,,12.549,-4.521,,5.007,,0.0,-0.486,8.028,-4.636,3.392,0.0,,,3.392,0.0,3.392,0.0,,3.392,3.392,,16.452999,0.21,0.21,,16.452999,0.21,0.21,0.21,
12/31/1994,257.053009,,,-220.542007,,,36.511002,,-26.461,,,,10.05,-4.255,,4.838,,0.0,-0.583,5.795,-3.693,2.102,-0.834,,,2.936,0.0,2.936,0.0,,2.936,2.936,,15.453,0.19,0.25,,15.453,0.19,0.25,0.25,
03/31/1995,149.492004,,,-125.510002,,,23.982002,,-19.014,,,,4.968,-3.545,,4.261,,0.0,-0.716,1.423,-0.77,0.653,-0.762,,,1.415,0.0,1.415,0.0,,1.415,1.415,,15.426,0.09,0.04,0.04,15.426,0.09,0.04,0.04,
06/30/1995,213.354996,,,-177.949005,,,35.405991,,-20.309999,,,,15.096,-3.982,,4.243,,0.0,-0.261,11.114,-6.018,5.096,-0.165,,,5.261,0.0,5.261,0.0,,5.261,5.261,,15.36,0.34,0.33,0.46,15.36,0.34,0.33,0.46,
09/30/1995,264.787994,,,-221.858002,,,42.929992,,-25.01,,,,17.92,-6.184,,4.402,,0.0,1.782,11.736,-5.873,5.863,0.0,,,5.863,0.0,5.863,0.0,,5.863,5.863,,15.373,0.38,0.38,0.38,15.373,0.38,0.38,0.38,
12/31/1995,272.571014,,,-227.807999,,,44.763015,,-33.749001,,,,11.014,-1.878,,4.26,,0.0,-2.382,9.136,-4.348,4.788,0.0,,,4.788,0.0,4.788,0.0,,4.788,4.788,,15.177,0.31,0.32,0.32,15.177,0.31,0.32,0.32,
03/31/1996,207.399994,,,-174.348999,,,33.050995,,-21.903999,,,,11.147,-3.755,,4.16,,0.0,-0.405,7.392,-3.652,3.74,0.0,,,3.74,0.0,3.74,0.0,,3.74,3.74,,15.396,0.23,0.23,0.23,15.396,0.23,0.23,0.23,
06/30/1996,284.770996,,,-245.882004,,,38.888992,,-17.438,,,,21.451,-1.88,,2.0,,0.0,-0.12,19.571,-8.561,8.77,0.0,,,11.01,0.0,8.77,0.0,,8.77,8.77,,16.374001,0.56,0.56,0.56,16.374001,0.56,0.56,0.56,
09/30/1996,318.882996,,,-271.147003,,,47.735992,,-29.127001,,,,18.608999,-2.256,,4.136,,0.0,-1.88,16.352999,-8.079,8.274,0.0,,,8.273999,0.0,8.274,0.0,,8.274,8.274,,14.017,0.58,0.58,0.58,14.017,0.58,0.58,0.58,
12/31/1996,264.303009,,,-217.126007,,,47.177002,,-34.358002,,,,12.819,-5.168,,4.075,,0.0,1.093,7.651,-2.654,4.997,0.0,,,4.997,0.0,4.997,0.0,,4.997,4.997,,14.697,0.34,0.34,0.34,14.697,0.34,0.34,0.34,
03/31/1997,245.244995,,,-207.858994,,,37.386001,,-23.007999,,,,14.378,-3.548,,4.057,,0.0,-0.509,10.83,-5.067,5.763,0.0,,,5.763,0.0,5.763,0.0,,5.763,5.763,,12.688,0.45,0.45,0.45,13.659,0.42,0.42,0.42,
06/30/1997,288.13501,,,-243.677994,,,44.457016,,-24.844,,,,19.613001,-2.618,,4.264,,0.0,-1.646,16.995001,-7.952,9.043,0.0,,,9.043001,0.0,9.043,0.0,,9.043,9.043,,11.796,0.77,0.77,0.77,12.729,0.71,0.71,0.71,
09/30/1997,323.281006,,,-273.381989,,,49.899017,,-30.886,,,,19.013,-2.087,,3.936,,0.0,-1.849,16.926,-7.92,9.006,0.0,,,9.006,0.0,9.006,0.0,,9.006,9.006,,11.682,0.77,0.77,0.77,13.213,0.68,0.68,0.68,
12/31/1997,329.721985,,,-274.480011,,,55.241974,,-39.852001,,,,15.39,-6.251,,4.153,,0.0,2.098,9.139,-4.072,5.067,0.0,,,5.067,0.0,5.067,0.0,,5.067,5.067,,11.208,0.45,0.45,0.45,12.976,0.39,0.39,0.39,
03/31/1998,291.546997,,,-249.447006,,,42.099991,,-27.705999,,,,14.394,5.766,,4.153,,0.0,-9.919,20.16,-9.3,10.86,0.0,,,10.86,0.0,10.86,0.0,,10.86,10.86,,11.453,0.95,0.95,0.95,13.487,0.81,0.81,0.81,
06/30/1998,396.421997,,,-327.480011,,,68.941986,,-38.124001,,,,30.818001,-2.054,,5.486,,0.0,-3.432,28.764001,-13.269,15.495,6.743,,,8.752001,0.0,8.752,0.0,,8.752,8.752,,11.356,0.77,1.36,1.36,13.421,0.65,1.15,1.15,
09/30/1998,452.757996,,,-374.759003,,,77.998993,,-40.168999,,,,37.830002,-0.848,,4.041,,0.0,-3.193,36.982002,-12.223,24.759001,0.006,,,24.753002,0.0,24.753,0.0,,24.753,24.753,,10.994,2.25,2.25,2.25,13.263,1.87,1.87,1.87,
12/31/1998,364.016998,,,-328.248993,,,35.768005,,-45.987,,,,-10.219,34.68,,3.848,,0.0,-38.528,24.461,-9.468,14.993,2.652,,,12.341,0.0,12.341,0.0,,12.341,12.341,,10.77,1.14,1.39,1.39,12.961,0.96,1.16,1.16,
03/31/1999,429.687,,,-358.215,,,71.472,,-39.718,37.545,,2.173,31.754,13.475,3.381,3.381,,0.0,-16.856,45.229,-19.222,26.007,0.0,,,26.007,0.0,26.007,0.0,,26.007,26.007,,10.945,2.38,2.38,2.38,12.875,2.02,2.02,2.02,
06/30/1999,492.058,,,-410.512,,,81.546,,-45.587,43.361,,2.226,35.959,13.524,3.359,3.359,,0.0,-16.883,49.483,-21.22,28.263,0.0,,,28.263,0.0,28.263,0.0,,28.263,28.263,,10.606,2.66,2.66,2.66,12.527,2.26,2.26,2.26,
09/30/1999,523.552,,,-435.458,,,88.094,,-48.896,46.655,,2.241,39.198,13.753,3.373,3.373,,0.0,-17.126,52.951,-22.61,30.341,0.0,,,30.341,0.0,30.341,0.0,,30.341,30.341,,9.9,3.06,3.06,3.06,12.018,2.52,2.52,2.52,
12/31/1999,497.363,,,-414.046,,,83.317,,-55.471,,,,27.846,9.703,3.42,3.42,,0.0,-13.123,37.549,-13.279,24.27,0.0,,,24.27,0.0,24.27,0.0,,24.27,24.27,,9.308512,2.6,2.6,2.6,10.93355,2.18,2.18,2.18,
