Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Gross Profit,Other Operating Income,Operating Expenses,Selling & Marketing,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,223.326981,,,,,,,,,,,,,,,,,,,,,,,,,,2.485,,,2.485,2.485,,62.923996,0.04,0.04,,62.923996,0.04,0.04,0.04,
03/31/1990,230.796997,,,,,,-233.468994,,,,,-2.672,-0.706,,3.385,,,-2.679,-3.378,1.318,-2.06,,,,-2.06,,-2.06,-0.99,,-3.05,-3.05,,57.556,-0.0525,-0.0525,,57.556,-0.0525,-0.0525,-0.0525,
06/30/1990,263.346985,,,,,,-246.399994,,,,,16.947001,-1.102,,2.343,,,-1.241,15.845001,-6.239,9.606,,,,9.606001,,9.606,-1.663,,7.943,7.943,,53.967999,0.1475,0.1475,,53.967999,0.1475,0.1475,0.1475,
09/30/1990,295.649994,,,,,,-263.953003,,,,,31.697001,0.823,,2.358,,,-3.181,32.52,-12.778,19.742001,,,,19.742001,,19.742001,-1.681,,18.061001,18.061001,,53.391998,0.3375,0.3375,,53.391998,0.3375,0.3375,0.3375,
12/31/1990,257.17099,,,,,,-274.723999,,,,,-17.552999,0.484,,3.156,,,-3.64,-17.068999,6.948,-10.121,,,,-10.120999,,-10.121,-1.683,,-11.804,-11.804,,52.712265,-0.225,-0.225,,52.712265,-0.225,-0.225,-0.225,
03/31/1991,246.720993,,,,,,-258.328003,,,,,-11.607,-5.029,,6.169,,,-1.14,-16.636001,6.654,-9.982,,,,-9.982001,,-9.982,-1.646,,-11.628,-11.628,,52.731998,-0.22,-0.22,,52.731998,-0.22,-0.22,-0.22,
06/30/1991,278.260986,,,,,,-264.786987,,,,,13.474,-6.327,,8.768,,,-2.441,7.147,-2.668,4.479,,,,4.479,,4.479,-1.663,,2.816,2.816,,53.740002,0.0525,0.0525,,53.740002,0.0525,0.0525,0.0525,
09/30/1991,314.419006,,,,,,-281.084015,,,,,33.334999,-4.478,,8.51,,,-4.032,28.856999,-12.121,16.736,,,,16.735999,,16.736,-1.681,,15.055,15.055,,53.743999,0.28,0.28,,53.743999,0.28,0.28,0.28,
12/31/1991,264.630005,,,,,,-265.205994,,,,,-0.576,-2.585,,8.432,,,-5.847,-3.161,2.266,-0.895,,,,-0.895,,-0.895,-1.681,,-2.576,-2.576,,52.880001,-0.0475,-0.0475,,52.880001,-0.0475,-0.0475,-0.0475,
03/31/1992,258.208008,,,,,,-278.321014,,,,,-20.113001,-6.023,,8.401,,0.0,-2.378,-26.136001,10.454,-15.682,4.567,,,-20.249,0.0,-20.249001,-1.663,,-21.912001,-21.912001,,53.132,-0.4125,-0.3275,,53.132,-0.4125,-0.3275,-0.3275,
06/30/1992,277.144989,,,,,,-296.196014,,,,,-19.051001,-6.822,,8.616,,0.0,-1.794,-25.873001,8.099,-17.774,0.0,,,-17.774001,0.0,-17.774,-1.663,,-19.437,-19.437,,53.256001,-0.365,-0.365,,53.256001,-0.365,-0.365,-0.365,
09/30/1992,321.087006,,,,,,-317.294006,,,,,3.793,-7.252,,8.794,,0.0,-1.542,-3.459,1.244,-2.215,0.0,,,-2.215,0.0,-2.215,-1.681,,-3.896,-3.896,,53.279999,-0.0725,-0.0725,,53.279999,-0.0725,-0.0725,-0.0725,
12/31/1992,258.937988,,,,,,-318.40799,,,,,-59.470001,-10.768,,11.31,,0.0,-0.542,-70.238002,25.639,-44.598999,0.0,,,-44.599002,0.0,-44.598999,-1.681,,-46.279999,-46.279999,,53.279995,-0.8675,-0.8675,,53.279995,-0.8675,-0.8675,-0.8675,
03/31/1993,250.242004,,,,,,-267.088013,,,,,-16.846001,-7.017,,9.863,,,-2.846,-23.863001,8.83,-15.033,,,,-15.033001,,-15.033,-1.645,,-16.678,-16.678,,53.335999,-0.3125,-0.3125,,53.335999,-0.3125,-0.3125,-0.3125,
