Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
04/01/1990,-7.205,12.076,4.505,0.019,,,0.019,-23.805,,,-23.805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/01/1990,30.237,15.418,5.564,0.137,,,0.137,9.118,,,9.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,3.835,6.455,6.553,1.497,,,1.497,-10.67,,,-10.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,19.638,3.881,5.809,0.667,,,0.667,9.281,,,9.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.638,
03/31/1991,-11.395,4.52,6.114,0.052,,,0.052,-22.080999,,,-22.080999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,23.669001,16.299999,5.966,-0.107,,,-0.107,1.51,,,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/29/1991,15.873,8.923,5.144,-0.068,,,-0.068,1.874,,,1.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,21.899,7.229,5.379,0.366,,,0.366,8.925,,,8.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.899,
03/29/1992,0.143,8.744,7.18,1.047,,,1.047,-16.827999,,,-16.827999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/28/1992,25.812,17.372999,7.038,-0.985,,,-0.985,2.386,,,2.386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/27/1992,14.602,13.199,6.248,0.13,,,0.13,-4.975,,,-4.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,47.358,14.469,8.944,-5.852,,,-5.852,29.797,,,29.797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.358,
03/28/1993,-2.959,-15.187,8.85,29.903999,,,29.903999,-26.525999,,,-26.525999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/27/1993,42.578999,23.795,8.751,1.809,,,1.809,8.224,,,8.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/26/1993,9.831,16.424999,8.373,2.125,,,2.125,-17.091999,,,-17.091999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,46.721,-36.918,7.298,56.703,,,56.703,19.638,,,19.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.721,
03/31/1994,-34.023998,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/26/1994,88.039001,34.599998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/25/1994,-7.769,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,34.548,25.065,10.096,0.262,,,0.262,-0.875,,,-0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.548,
03/26/1995,-13.405,23.638,9.994,1.678,,,1.678,-48.715,,,-48.715,,,-14.018,,,,-14.018,,,,,,,,,,14.018,,,,,,,,,,,,,
06/25/1995,66.530998,33.351002,11.334,0.664,,,0.664,21.181999,,,21.181999,,,-20.452,,,,-20.452,,,,,,,,,,20.452,,,,,,,,,,,,,
09/24/1995,36.361,23.712999,7.607,18.221001,,,18.221001,-13.18,,,-13.18,,,-31.764,,,,-31.764,,,,,,,,,,31.764,,,,,,,,,,,,,
