Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
02/28/2001,5474.292969,1362.487005,1342.406006,20.080999,1629.284058,,,,799.447021,0.0,0.0,799.447021,0.0,289.194,,,,,4080.412109,758.546997,,,405.578003,,229.755997,,,,229.755997,1393.880997,,185.888,185.888,,,,243.227997,243.227997,0.0,0.0,,,2790.819061,,,,2790.819061,3219.935059,97.481003,97.481003,0.0,0.0,,208.606003,,,208.606003,306.087006,3526.022064,0.0,523.784973,,,,,1424.485962,1948.270935,0.0,1948.270935,5474.292999,
05/31/2001,4929.276855,723.708008,723.708008,0.0,1587.907959,,,,807.921021,0.0,0.0,807.921021,0.0,356.028992,,,,,3475.565918,793.215027,,,382.151001,,278.345001,,,,278.345001,1453.711029,,157.740005,157.740005,,,,531.205017,531.205017,0.0,0.0,,,4181.125778,,,,4181.125778,4870.070801,31.219999,31.219999,0.0,0.0,,1283.769043,,,1283.769043,1314.989042,6185.059843,0.0,,,,,,-1255.782959,-1255.782959,0.0,-1255.782959,4929.276884,
08/31/2001,6061.355957,1880.083008,1880.083008,0.0,1498.812012,,,,731.802002,0.0,0.0,731.802002,0.0,468.940002,,,,,4579.637207,822.317993,1517.886963,-695.56897,324.139008,,335.261993,,0.0,,335.261993,1481.718994,,371.794006,371.794006,,,,190.669006,190.669006,0.0,0.0,,,3616.356812,,,,3616.356812,4178.819824,1.09,1.09,0.0,0.0,,1191.332031,,,1191.332031,1192.422031,5371.241856,0.0,1826.131958,,,,,-1543.94397,282.187988,407.925995,690.113983,6061.355839,
11/30/2001,5422.670898,1129.516968,1129.516968,0.0,1534.348022,1534.348022,,,930.388977,0.0,0.0,930.388977,0.0,479.289001,,,,,4073.542969,787.120972,,,259.906006,,302.101013,153.421997,153.421997,0.0,148.679016,1349.127991,,360.723999,360.723999,,,,218.442001,218.442001,0.0,0.0,,,2781.631119,,,,2781.631119,3360.797119,4.362,4.362,0.0,0.0,,1178.371948,,,1178.371948,1182.733948,4543.531067,0.0,1822.031982,,,,,-1469.280029,352.751953,526.388,879.139953,5422.67102,
02/28/2002,5199.069824,1313.43103,1313.43103,0.0,1385.720947,1385.720947,,,923.460999,0.0,0.0,923.460999,0.0,236.442001,,,,,3859.054932,747.197021,,,109.169998,,483.64801,153.421997,153.421997,0.0,330.226013,1340.015029,,409.678009,409.678009,,,,160.658997,160.658997,0.0,0.0,,,2437.04898,,,,2437.04898,3007.385986,4.263,4.263,0.0,0.0,,1358.062012,,,1358.062012,1362.325012,4369.710998,0.0,1847.175049,,,,,-1585.458008,261.717041,567.642029,829.35907,5199.070068,
05/31/2002,5434.961914,1113.495972,1113.495972,0.0,1426.113037,1426.113037,,,898.703979,0.0,0.0,898.703979,0.0,636.278992,,,,,4074.592041,732.53302,,,94.583,,533.254028,153.421997,153.421997,0.0,379.832031,1360.370048,,361.321014,361.321014,,,,96.184998,96.184998,0.0,0.0,,,2576.466888,,,,2576.466888,3033.9729,3.915,3.915,0.0,0.0,,1327.646973,,,1327.646973,1331.561973,4365.534873,0.0,1293.541992,,,-295.958008,,-502.705993,494.877991,574.549011,1069.427002,5434.961875,
08/31/2002,5478.948242,1316.975952,1316.975952,0.0,1330.641968,1330.641968,,,774.213989,0.0,0.0,774.213989,0.0,639.255981,,,,,4061.087891,716.504028,1569.202026,-852.697998,76.016998,,625.338989,167.602997,167.602997,0.0,457.735992,1417.860015,,450.208008,450.208008,,,,63.098999,63.098999,0.0,0.0,,,2813.755005,,,,2813.755005,3327.062012,3.428,3.428,0.0,0.0,,1190.436035,,,1190.436035,1193.864035,4520.926047,0.0,2246.069092,,,-536.596008,-1190.415039,-80.431946,438.626099,519.395996,958.022095,5478.948142,
11/30/2002,5648.016113,1473.642944,1473.642944,0.0,1377.302002,1377.302002,,,905.921021,0.0,0.0,905.921021,0.0,518.284973,,,,,4275.150879,658.122009,,,178.332993,,536.409973,169.328003,169.328003,0.0,367.08197,1372.864975,,378.815002,378.815002,,,,57.466999,57.466999,0.0,0.0,,,2762.238995,,,,2762.238995,3198.520996,4.215,4.215,0.0,0.0,,1188.722046,,,1188.722046,1192.937046,4391.458042,0.0,2294.393066,,,-572.143982,,-1139.689026,582.560058,673.997986,1256.558044,5648.016086,
02/28/2003,5851.495117,1684.57605,1684.57605,0.0,1392.494019,1392.494019,,,923.169006,0.0,0.0,923.169006,0.0,502.391998,,,,,4502.630859,665.945984,,,47.113998,,635.804016,176.035995,176.035995,0.0,459.768021,1348.863998,,363.022003,363.022003,,,,55.091,55.091,0.0,0.0,,,2881.511997,,,,2881.511997,3299.625,3.824,3.824,0.0,0.0,,1266.162964,,,1266.162964,1269.986964,4569.611964,0.0,2051.812988,,,-426.705994,,-1028.892028,596.214966,685.66803,1281.882996,5851.49496,
05/31/2003,6367.207031,1962.19397,1962.19397,0.0,1460.229004,1460.229004,,,941.164001,0.0,0.0,941.164001,0.0,608.958008,,,,,4972.544922,664.698975,,,48.936001,,681.026978,189.031006,189.031006,0.0,491.995972,1394.661954,,434.122986,434.122986,,,,55.602001,55.602001,0.0,0.0,,,3003.899036,,,,3003.899036,3493.624023,13.24,13.24,0.0,0.0,,1321.456055,,,1321.456055,1334.696055,4828.320078,0.0,2008.286987,,,-387.437012,,-893.759033,727.090942,811.796021,1538.886963,6367.207041,
