Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,11644,946,946,0.0,1269,,647,,,,,368,,,,3230,7951,16889.0,-8938.0,428.0,,35,,,,,,35,8414,,1173,1173,,,60,,,,,,1785,,,1785,3018,3948,,,,,2346,,,,2346,6294,9312,0.0,818,,,-1146,,2660,2332,0.0,2332,11644,
06/30/1990,11845,1121,1121,0.0,1182,,630,,,,,398,,,,3331,8054,17165.0,-9111.0,420.0,,40,,,,,,40,8514,,1029,1029,,,50,,,,,,1826,,,1826,2905,3930,,,,,2575,,,,2575,6505,9410,0.0,855,,,-1062,,2642,2435,0.0,2435,11845,
09/30/1990,12356,1054,1054,0.0,1617,,694,,,,,364,,,,3729,8152,17393.0,-9241.0,435.0,,40,,,,,,40,8627,,1354,1354,,,41,,,,,,1923,,,1923,3318,3937,,,,,2535,,,,2535,6472,9790,0.0,1258,,,-1050,,2358,2566,0.0,2566,12356,
12/31/1990,12130,670,670,0.0,1595,,704,,,,,353,,,,3322,8301,17573.0,-9272.0,54.0,,453,,,,,,453,8808,,1372,1372,,,59,,,,,,1479,,,1479,2910,3839,,,,,2662,,,,2662,6501,9411,0.0,1260,,,-1066,,2525,2719,0.0,2719,12130,
03/31/1991,12039,749,749,0.0,1303,,665,,,,,364,,,,3081,8380,17761.0,-9381.0,524.0,,54,,,,,,54,8958,,1174,1174,,,21,,,,,,1470,,,1470,2665,3877,,,,,2694,,,,2694,6571,9236,0.0,1263,,,-1054,,2594,2803,0.0,2803,12039,
06/30/1991,11940,381,381,0.0,1349,,705,,,,,364,,,,2799,8517,18055.0,-9538.0,567.0,,57,,,,,,57,9141,,1161,1161,,,35,,,,,,1450,,,1450,2646,3843,,,,,2680,,,,2680,6523,9169,0.0,1278,,,-1013,,2506,2771,0.0,2771,11940,
09/30/1991,12070,451,451,0.0,1303,,724,,,,,349,,,,2827,8570,18240.0,-9670.0,610.0,,63,,,,,,63,9243,,1248,1248,,,22,,,,,,1502,,,1502,2772,3855,,,,,2663,,,,2663,6518,9290,0.0,1282,,,-1007,,2505,2780,0.0,2780,12070,
12/31/1991,11473,114,114,0.0,1258,,686,,,,,401,,,,2459,8298,18484.0,-10186.0,55.0,,661,,,,,,661,9014,,1103,1103,,,123,,,,,,1377,,,1377,2603,3876,,,,,2237,,,,2237,6113,8716,0.0,1285,,,-999,,2471,2757,0.0,2757,11473,
03/31/1992,11474,121,121,0.0,1123,,688,,,,,455,,,,2387,8360,18691.0,-10331.0,665.0,,62,,,,,,62,9087,,998,998,,,119,,,,,,1386,,,1386,2503,4187,,,,,2213,,,,2213,6400,8903,0.0,1287,,,-991,,2275,2571,0.0,2571,11474,
06/30/1992,11662,197,197,0.0,1248,,686,,,,,394,,,,2525,8393,18800.0,-10407.0,680.0,,64,,,,,,64,9137,,1149,1149,,,69,,,,,,1379,,,1379,2597,4243,,,,,2205,,,,2205,6448,9045,0.0,1291,,,-981,,2307,2617,0.0,2617,11662,
09/30/1992,11663,167,167,0.0,1282,,654,,,,,289,,,,2392,8532,18946.0,-10414.0,675.0,,64,,,,,,64,9271,,1256,1256,,,84,,,,,,1356,,,1356,2696,4119,,,,,2186,,,,2186,6305,9001,0.0,1296,,,-962,,2328,2662,0.0,2662,11663,
12/31/1992,11468,131,131,0.0,1268,,664,,,,,286,,,,2349,8489,18577.0,-10088.0,62.0,,568,,,,,,568,9119,,1289,1289,,,104,,,,,,1124,,,1124,2517,3718,,,,,2176,,,,2176,5894,8411,0.0,1296,,,-960,,2362,2698,359.0,3057,11468,
03/31/1993,11414,91,91,0.0,1269,,640,,,,,317,,,,2317,8475,18698.0,-10223.0,,,622,,,,,,622,9097,,1223,1223,,,30,,,,,,1107,,,1107,2360,3796,,,,,2198,,,,2198,5994,8354,0.0,1301,,,-945,,2342,2698,362.0,3060,11414,
06/30/1993,11388,137,137,0.0,1349,,655,,,,,271,,,,2412,8370,18695.0,-10325.0,,,606,,,,,,606,8976,,1205,1205,,,37,,,,,,1156,,,1156,2398,3605,,,,,2260,,,,2260,5865,8263,0.0,1315,,,-906,,2353,2762,363.0,3125,11388,
