Date,Net Revenue,Net Interest Income,Total Interest Income,Interest Income,Investment Income,Total Interest Expense,Total Non-Interest Income,Trading Securities G/L,Trading Account Profits/Losses,Investments & Loans Income (Loss),Other Income (Loss),Commissions & Fees Earned,Other Operating Income (Losses),Provision for Loan Losses,Net Revenue after Provisions,Total Non-Interest Expense,Commissions & Fees Paid,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Other Non-Operating (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,Extraordinary & Accounting Items,Income (Loss) incl. Minority Interest,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1998,116.439999,-4.757,1.395,0.0,1.395,-6.152,121.196999,0.189,,,,117.209999,3.798,0.0,116.439999,-82.698997,0.0,82.698997,33.741001,0.0,0.0,33.741001,-10.908,22.833,0.0,,,22.833001,-1.996,20.837,0.0,,20.837,20.837,,123.502499,0.166667,0.166667,0.166667,126.435001,0.166667,0.166667,0.166667,
06/30/1998,119.455,-4.598,2.163,0.0,2.163,-6.761,124.053,-0.148,,,,122.722,1.479,0.0,119.455,-83.039001,0.0,83.039001,36.415001,0.0,0.0,36.415001,-13.131,23.284,0.0,,,23.284001,-2.213,21.070999,0.0,,21.070999,21.070999,,125.945995,0.166667,0.166667,0.166667,129.955502,0.16,0.16,0.16,
09/30/1998,125.890994,-4.657,2.52,0.0,2.52,-7.177,130.547994,-0.21,,,,129.205994,1.552,0.0,125.890994,-85.575996,0.0,85.575996,40.314999,0.0,0.0,40.314999,-14.428,25.886999,0.0,,,25.886998,-2.277,23.610001,0.0,,23.610001,23.610001,,127.774498,0.186667,0.186667,0.186667,131.5425,0.18,0.18,0.18,
12/31/1998,132.726996,-4.715,2.809,0.0,2.809,-7.524,137.441996,-0.126,,,,134.033997,3.534,0.0,132.726996,-88.393997,0.0,88.393997,44.333,0.0,0.0,44.333,-15.098,29.235001,0.0,,,29.235001,-2.384,26.851,0.0,,26.851,26.851,,127.6875,0.213333,0.213333,0.213333,131.451004,0.206667,0.206667,0.206667,
03/31/1999,133.584996,-4.603,3.079,0.0,3.079,-7.682,138.187997,0.748,,,,135.936996,1.503,0.0,133.584996,-89.274002,0.0,89.274002,44.311001,0.0,0.0,44.311001,-15.141,29.17,0.0,,,29.170001,-2.449,26.721001,0.0,0.0,26.721001,26.721001,,127.501499,0.206667,0.206667,0.206667,131.368504,0.206667,0.206667,0.206667,
06/30/1999,139.300002,-4.468,3.41,0.0,3.41,-7.878,143.768002,0.019,,,,142.233002,1.516,0.0,139.300002,-91.654999,0.0,91.654999,47.645,3.0,-3.0,50.645,-17.537001,33.108002,0.0,,,33.108,-2.591,30.517,0.0,0.0,30.517,30.517,,126.626999,0.24,0.24,0.226667,130.416,0.233333,0.233333,0.22,
09/30/1999,144.104005,-4.618001,3.475,0.0,3.475,-8.093,148.722005,0.083,,,,147.143005,1.496,0.0,144.104005,-92.346001,0.0,92.346001,51.757999,0.0,0.0,51.757999,-18.006001,33.751999,0.0,,,33.751999,-2.588,31.164,0.0,0.0,31.164,31.164,,124.6035,0.253333,0.253333,0.253333,128.462997,0.24,0.24,0.24,
12/31/1999,149.263007,-4.231,3.962,0.0,3.962,-8.193,153.494007,-0.03,,,,156.098007,-2.574,0.0,149.263007,-90.876999,0.0,90.876999,58.386002,0.0,0.0,58.386002,-20.177,38.209,0.0,,,38.209002,-2.591,35.618,0.0,0.0,35.618,35.618,,122.284504,0.293333,0.293333,0.293333,126.155994,0.28,0.28,0.28,
03/31/2000,160.484002,-3.679,4.71,0.0,4.71,-8.389,164.163002,-0.351,,,,163.858002,0.656,0.0,160.484002,-98.950996,0.0,98.950996,61.533001,0.0,0.0,61.533001,-21.351,40.181999,0.0,,,40.182001,-2.534,37.647999,0.0,0.0,37.647999,37.647999,,120.085499,0.313333,0.313333,0.313333,124.259995,0.3,0.3,0.3,
06/30/2000,159.732005,-4.204,4.351,0.0,4.351,-8.555,163.936006,0.056,,,,162.962006,0.918,0.0,159.732005,-100.403,0.0,100.403,59.328999,0.0,0.0,59.328999,-20.237,39.091999,0.0,,,39.091999,-2.462,36.630001,0.0,0.0,36.630001,36.630001,,117.9375,0.31,0.31,0.31,122.575504,0.3,0.3,0.3,
