Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1997,110.720001,-85.117996,25.602005,-15.178,10.424,-0.083,0,2.814,13.155,-5.036,8.119,0.0,0.0,8.119,0,,8.119,,8.119,0.39,0.39,0.39,20.614,0.39,0.39,0.39,21.080999,
06/30/1997,111.179001,-85.611,25.568001,-16.625,8.943,-0.142,0,3.066,11.867,-3.992,7.875,0.0,0.0,7.875,0,,7.875,,7.875,0.32,0.39,0.39,20.41,0.31,0.38,0.38,20.909,
09/30/1997,87.842003,-61.252998,26.589005,-16.584999,10.004,-0.063,0,1.794,11.735,-4.556,7.179,-0.382,0.0,6.797,0,,6.797,,7.179,0.35,0.35,0.33,20.354,0.35,0.35,0.33,20.839001,
12/31/1997,81.587997,-59.938,21.649998,-7.967,13.683,,0,12.412,26.094999,-10.26,15.835,0.269,,16.104,0,,16.104,,15.834999,0.37,0.78,0.8,20.202,0.35,0.76,0.78,20.722,
03/31/1998,71.924004,-53.671001,18.253002,-12.397,5.856,-0.07,0,9.572,15.357999,-5.912,9.446,0.307,0.0,9.753,0,,9.753,,9.445999,0.47,0.47,0.49,19.886,0.46,0.46,0.48,20.205999,
06/30/1998,75.688004,-56.404999,19.283005,-13.683,5.6,-0.401,0,1.067,6.266,-2.413,3.853,0.101,0.0,3.954,0,,3.954,,3.853,0.19,0.19,0.2,19.493999,0.19,0.19,0.2,19.789,
09/30/1998,72.760002,-51.521999,21.238003,-14.211,7.027,-0.673,0,1.947,8.301,-3.195,5.106,-12.794,0.0,-7.688,0,,-7.688,,5.106,0.27,0.27,-0.41,18.926001,0.27,0.27,-0.4,19.087999,
12/31/1998,76.137001,-55.417999,20.719002,-13.734,6.985,-0.842,0,4.032,10.175,-3.92,6.255,-2.182,0.0,4.073,0,,4.073,,6.255,0.3,0.33,0.22,18.715,0.3,0.33,0.22,18.830999,
03/31/1999,69.844002,-50.349998,19.494003,-13.192,6.302,-0.948,0,2.132,7.486,-2.845,4.641,0.0,0.0,4.641,0,,4.641,,4.641,0.25,0.25,0.25,18.392,0.25,0.25,0.25,18.535,
06/30/1999,80.341003,-58.202,22.139004,-13.796,8.343,-0.538,0,1.023,8.828,-3.355,5.473,0.0,0.0,5.473,0,,5.473,,5.473,0.3,0.3,0.3,18.254999,0.3,0.3,0.3,18.5,
09/30/1999,79.275002,-54.514,24.761002,-15.414,9.347,-0.435,0,0.496,9.408,-3.446,5.962,0.0,0.0,5.962,0,,5.962,,5.962,0.33,0.33,0.33,18.152,0.32,0.32,0.32,18.410999,
12/31/1999,82.325996,-57.051998,25.273998,-15.636,9.638,-0.224,0,0.817,10.230999,-3.834,6.397,0.646,0.0,7.043,0,,7.043,,6.396999,0.35,0.35,0.38,18.17,0.35,0.35,0.38,18.433001,
03/31/2000,98.369003,-73.492996,24.876007,-15.857,9.019,-0.661,0,0.944,9.302,-3.489,5.813,9.656,0.0,15.469,0,,15.469,,5.813,0.34,0.34,0.91,16.976999,0.34,0.34,0.9,17.094,
06/30/2000,101.027,-74.565002,26.461998,-16.747999,9.714,-0.74,0,0.719,9.693,-3.634,6.059,0.0,0.0,6.059,0,,6.059,,6.059,0.38,0.38,0.38,15.738,0.38,0.38,0.38,15.839,
09/30/2000,92.950996,-71.751999,21.198997,-15.799,5.4,-0.755,0,3.599,8.244,-3.092,5.152,0.0,0.0,5.152,0,,5.152,,5.152,0.34,0.34,0.34,15.253,0.33,0.33,0.33,15.47,
12/31/2000,91.242996,-68.102997,23.139999,-18.242001,4.898,-0.61,0,4.639,8.927,-3.348,5.579,0.0,0.0,5.579,0,,5.579,,5.579,0.38,0.38,0.38,14.685,0.38,0.38,0.38,14.779,
03/31/2001,91.674004,-69.564003,22.110001,-16.98,5.13,-0.839,0,4.948,9.239,-3.464,5.775,0.0,0.0,5.775,0,0.0,5.775,,5.775,0.41,0.41,0.41,14.156,0.4,0.4,0.4,14.359,
06/30/2001,89.009003,-72.214996,16.794006,-17.334999,-0.541,-0.802,0,-25.728001,-27.071001,10.151,-16.92,0.0,0.0,-16.92,0,,-16.92,18.6,1.68,0.1,-1.19,-1.19,14.172,0.1,-1.19,-1.19,14.172,
09/30/2001,61.528999,-48.150002,13.378998,-15.693,-2.314,-0.413,0,1.103,-1.624,0.609,-1.015,0.0,0.0,-1.015,0,0.0,-1.015,1.558,0.543,0.04,-0.07,-0.07,14.168,0.04,-0.07,-0.07,14.168,
