Date,Level 1 Assets,Level 2 Assets,Total FV Assets,Level 1 Liabilities,Level 2 Liabilities,Total FV Liabilities,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
09/30/2008,147.513,,147.513,,,,20.12538,,20.12538,7.414837,,7.414837,
12/31/2008,148.903,,148.903,,,,21.771068,,21.771068,7.676437,,7.676437,
03/31/2009,139.528,,139.528,,,,20.04946,,20.04946,7.296871,,7.296871,
06/30/2009,192.449,,192.449,,,,24.246765,,24.246765,9.404446,,9.404446,
09/30/2009,223.791,,223.791,,,,26.256811,,26.256811,10.598669,,10.598669,
12/31/2009,94.543,45.522,140.065,,,,10.518276,5.064499,15.582776,4.391548,2.114509,6.506057,
03/31/2010,197.104,,197.104,0.599,,0.599,21.763648,,21.763648,9.107076,,9.107076,
06/30/2010,181.013,,181.013,,0.915,0.915,19.650699,,19.650699,8.214724,,8.214724,
09/30/2010,172.321,0.009,172.33,,29.15,29.15,17.832853,0.000931,17.833785,7.868424,0.000411,7.868835,
12/31/2010,196.058,0.884,,,,,19.430902,0.087611,,8.814472,0.039743,,
03/31/2011,172.515,0.278,172.793,,,,16.905015,0.027242,16.932256,7.767632,0.012517,7.78015,
06/30/2011,118.682,0.143,118.825,,0.872,,11.621761,0.014003,11.635764,5.25332,0.00633,5.259649,
09/30/2011,39.617,,,,41.669,41.669,4.06933,,,1.774365,,,
12/31/2011,155.814,,,,48.829,,16.773853,,,6.458614,,,
03/31/2012,84.017,,84.017,,36.538,36.538,9.113026,,9.113026,3.370983,,3.370983,
06/30/2012,515.121,,515.121,,48.829,,55.826361,,55.826361,18.192571,,18.192571,
09/30/2012,140.906,,140.906,,48.829,48.829,14.988469,,14.988469,5.739201,,5.739201,
12/31/2012,207.393,,207.393,,,,21.392609,,21.392609,8.452022,,8.452022,
03/31/2013,268.037,,268.037,,817.7,817.7,26.755033,,26.755033,10.653561,,10.653561,
06/30/2013,370.057,,370.057,,786.7,786.7,35.200412,,35.200412,14.152288,,14.152288,
09/30/2013,396.595,,396.595,,787.4,787.4,36.082695,,36.082695,14.925808,,14.925808,
