Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,13.826,6.801,6.783,0.018,3.377,,,1.515,,,,,0.802,,,,,12.495,1.148,1.841,-0.693,0.0,0.183,,,,0.183,1.331,,1.81,1.81,,,,0.519,,,,,0.409,,,,0.409,2.738,0.282,,,,0.096,,,,,0.096,0.378,3.116,0,16.996,,,0.0,,-6.286,10.710001,0.0,10.710001,13.826,
06/30/1990,13.845,6.525,6.519,0.006,2.833,,,1.725,,,,,1.21,,,,,12.293,1.389,2.162,-0.773,0.0,0.163,,,,0.163,1.552,,1.851,1.851,,,,0.234,,,,,0.553,,,,0.553,2.638,0.244,,,,0.091,,,,,0.091,0.335,2.973,0,17.007,,,0.0,,-6.135,10.872,0.0,10.872,13.845,
09/30/1990,14.25,5.037,5.033,0.004,3.794,,,2.256,,,,,1.368,,,,,12.455,1.653,2.521,-0.868,0.0,0.142,,,,0.142,1.795,,2.383,2.383,,,,0.268,,,,,0.115,,,,0.115,2.766,0.398,,,,0.095,,,,,0.095,0.493,3.259,0,17.023001,,,0.0,,-6.032,10.991001,0.0,10.991001,14.250001,
12/31/1990,15.40703,5.724637,5.711586,0.013051,3.258164,,,3.048036,,,,,1.063079,,,,,13.09392,1.708042,2.682733,-0.974691,0.0,0.605071,,,,0.605071,2.313113,,1.61133,1.61133,,,,0.133929,,,,,1.536388,,,,1.536388,3.281647,0.260942,,,,0.180302,,,,,0.180302,0.441244,3.722891,0,17.027149,,,0.0,,-5.343011,11.684138,0.0,11.684138,15.407029,
03/31/1991,15.575,5.297,5.295,0.002,3.648,,,2.332,,,,,1.603,,,,,12.88,1.821,2.878,-1.057,0.0,0.874,,,,0.874,2.695,,2.306,2.306,,,,0.218,,,,,0.296,,,,0.296,2.82,0.443,,,,0.073,,,,,0.073,0.516,3.336,0,17.038,,,0.0,,-4.799,12.239,0.0,12.239,15.575,
06/30/1991,17.136999,7.99,7.918,0.072,2.368,,,2.298,,,,,1.34,,,,,13.996,1.939,3.106,-1.167,0.0,1.202,,,,1.202,3.141,,2.673,2.673,,,,0.248,,,,,0.204,,,,0.204,3.125,0.399,,,,0.071,,,,,0.071,0.47,3.595,0,17.737,,,0.0,,-4.195,13.541999,0.0,13.541999,17.136999,
09/30/1991,18.997,8.768,8.626,0.142,2.316,,,2.609,,,,,1.629,,,,,15.322,1.934,3.213,-1.279,0.0,1.741,,,,1.741,3.675,,2.997,2.997,,,,0.259,,,,,0.213,,,,0.213,3.469,0.367,,,,0.349,,,,,0.349,0.716,4.185,0,18.353001,,,0.0,,-3.541,14.812001,0.0,14.812001,18.997001,
12/31/1991,21.212919,7.736271,7.463113,0.273158,4.941609,,,2.858017,,,,,1.553065,,,,,17.088961,2.18462,3.586179,-1.401559,0.068621,1.87072,,,,1.87072,4.123961,,1.502952,1.502952,,,,0.186243,,,,,3.093035,,,,3.093035,4.78223,0.327577,,,,0.508602,,,,,0.508602,0.836179,5.618409,0,18.46183,,,0.0,,-2.867312,15.594518,0.0,15.594518,21.212927,
03/31/1992,22.722,8.394,7.488,0.906,5.808,,,2.648,,,,,1.506,,,,,18.356001,2.274,3.808,-1.534,0.047,2.045,,,,2.045,4.366,,4.121,4.121,,,,0.19,,,,,0.938,,,,0.938,5.249,0.342,,,,0.526,,,,,0.526,0.868,6.117,0,18.764999,,,0.0,,-2.16,16.604999,0.0,16.604999,22.721999,
06/30/1992,26.656,8.238,7.2,1.038,7.017,,,3.429,,,,,2.344,,,,,21.028,2.381,4.105,-1.724,0.047,3.2,,,,3.2,5.628,,5.37,5.37,,,,0.23,,,,,1.164,,,,1.164,6.764,0.315,,,,0.574,,,,,0.574,0.889,7.653,0,19.664,,,0.0,,-1.083,18.581,0.422,19.003,26.656,
