Date,Total Assets,Cash & Cash Equivalents,Interbanking Assets,ST And LT Investments,Available for Sales/FVTOCI,Held to Maturity/Amortized at Cost,Other Investments,Total Commercial Loans,Commercial RE Loans,Other Commercial Loans,Total Consumer Loans,Credit Card Loans,Home Equity Loans,1-4 Family Residential Loans,Auto Loans,Student Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Total Derivative Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Demand Deposits,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Total Deposits,ST Borrowings & Repos,Secs Sold Under Repo,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,LT Borrowings,Pension Liabilities,Total Deferred Tax Liabilities,Total Derivative Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2000,83072.0,3602.0,558.0,5388.0,,,,45122.0,,,19775.0,,,,,,,0.0,64897.0,-1011.0,63886.0,867.0,,3158.0,,,,,104.0,5509.0,,14723.0,36292.0,36292.0,0.0,0.0,51015.0,3273,,,,,,18217.0,,,,,,,,2822.0,75327.0,0,2409.0,,,-188.0,5607.0,-83.0,7745.0,0.0,7745.0,83072.0,
06/30/2000,74429.801,3502.277,0.0,14764.155,,,,36975.232,,,12139.275,,,,,,,3032.344,52146.851,-717.631,51429.22,1008.17,,,,,,,15.913,3710.066,,9842.403,26348.623,19488.514,6860.109,16531.506,52722.532,0,,,,,,4481.685,,,,,,,,11019.103,68223.32,0,1889.145,,,-531.854,4971.621,-122.431,6206.481,0.0,6206.481,74429.801,
09/30/2000,74506.369,3139.746,0.0,14042.712,,,,37141.805,,,12578.601,,,,,,,3643.804,53364.21,-717.615,52646.595,987.262,,,,,,,18.779,3671.275,,9440.49,27556.312,19035.92,8520.392,16286.393,53283.195,0,,,,,,4143.765,,,,,,,,10887.518,68314.478,0,1875.549,,,-764.243,5126.242,-45.657,6191.891,0.0,6191.891,74506.369,
12/31/2000,164921.0,8475.0,657.0,19159.0,,,,79260.0,,,43105.0,,,,,,,0.0,122365.0,-1787.0,120578.0,1836.0,,5309.0,4312.0,997.0,,,183.0,8724.0,,26633.0,82902.0,42397.0,40505.0,0.0,109535.0,11833,,,,,,23276.0,,,,,,,,5109.0,149753.0,0,4295.0,,,-880.0,11658.0,95.0,15168.0,0.0,15168.0,164921.0,
03/31/2001,160274.0,7252.0,523.0,18532.0,,,,78309.0,,,41340.0,,,,,,,0.0,119649.0,-1729.0,117920.0,1787.0,,5211.0,,,,,145.0,8904.0,,24797.0,80045.0,43129.0,36916.0,0.0,104842.0,11665,,,,,,23125.0,,,,,,,,5399.0,145031.0,0,3519.0,,,-38.0,11711.0,51.0,15243.0,0.0,15243.0,160274.0,
06/30/2001,165156.0,7032.0,1045.0,24289.0,,,,76614.0,,,41898.0,,,,,,,0.0,118512.0,-1716.0,116796.0,1746.0,,5202.0,3937.0,1265.0,,,151.0,8895.0,,26122.0,80822.0,43137.0,37685.0,0.0,106944.0,14012,,,,,,23464.0,,,,,,,,5280.0,149700.0,0,3553.0,,,-26.0,11916.0,13.0,15456.0,0.0,15456.0,165156.0,
09/30/2001,167830.0,7570.0,763.0,28781.0,,,,72794.0,,,41773.0,,,,,,,0.0,114567.0,-2458.0,112109.0,1773.0,,7448.0,,,,,150.0,9236.0,,27074.0,76731.0,43704.0,33027.0,0.0,103805.0,12614,,,,,,28996.0,,,,,,,,5598.0,151013.0,0,4938.0,,,-62.0,11585.0,356.0,16817.0,0.0,16817.0,167830.0,
12/31/2001,171390.0,9120.0,625.0,30410.0,,,,71703.0,,,42702.0,,,,,,,0.0,114405.0,-2457.0,111948.0,1741.0,,7412.0,5488.0,1924.0,,,178.0,9956.0,,31212.0,74007.0,44723.0,29284.0,0.0,105219.0,21459,,,,,,21753.0,,,,,,,,6498.0,154929.0,0,4926.0,,,-478.0,11918.0,95.0,16461.0,0.0,16461.0,171390.0,
03/31/2002,164745.0,6499.0,538.0,27413.0,,,,71504.0,,,43243.0,,,,,,,0.0,114747.0,-2462.0,112285.0,1737.0,,7425.0,5427.0,1998.0,,,118.0,8730.0,,28146.0,74316.0,45189.0,29127.0,0.0,102462.0,10644,,,,,,29874.0,,,,,,,,5873.0,148853.0,0,4914.0,,,-1322.0,12306.0,-6.0,15892.0,0.0,15892.0,164745.0,
06/30/2002,172956.0,7531.0,1113.0,33307.0,,,,69791.0,,,44779.0,,,,,,,0.0,114570.0,-2466.0,112104.0,1718.0,,7618.0,5442.0,2176.0,,,157.0,9408.0,,31272.0,73784.0,43260.0,30524.0,0.0,105056.0,9156,,,,,,35902.0,,,,,,,,6192.0,156306.0,0,4895.0,,,-1341.0,12756.0,340.0,16650.0,0.0,16650.0,172956.0,
