Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
05/02/1993,71.310997,,,-53.693001,,17.617996,,-15.766,,,1.852,-0.627,,0.714,,0.0,,-0.087,1.225,-0.518,0.707,-0.233,,,0.94,0.0,0.94,-0.545,,0.395,0.395,,65.648998,0.013333,0.01,,65.648998,0.013333,0.01,0.01,
08/01/1993,74.639,,,-56.299999,,18.339001,,-16.222,,,2.117,-0.688,,0.815,,0.0,,-0.127,1.429,-0.509,0.92,0.0,,,0.92,0.0,0.92,0.0,,0.92,0.92,,60.882002,0.016667,0.016667,,60.882002,0.016667,0.016667,0.016667,
10/30/1993,92.502998,,,-70.973,,21.529999,,-19.672001,,,1.858,-0.136,,0.809,,0.0,,-0.673,1.722,-0.758,0.964,0.0,,,0.964,0.0,0.964,0.0,,0.964,0.964,,89.408998,0.01,0.01,,89.408998,0.01,0.01,0.01,
01/30/1994,92.305,,,-69.024002,,23.280998,,-20.284,,,2.997,-0.202,,0.807,,0.0,,-0.605,2.795,-0.766,2.029,0.0,,,2.029,0.0,2.029,0.0,,2.029,2.029,,81.936001,0.016667,0.016667,,81.936001,0.016667,0.016667,0.016667,
04/30/1994,169.363998,,,-124.719002,,44.644997,,-44.110001,,,0.535,-11.166,,1.448,,0.0,,9.718,-10.631,2.314,-8.317,0.0,,,-8.317,0.0,-8.317,0.0,,-8.317,-8.317,,146.388004,-0.056667,-0.056667,,146.388004,-0.056667,-0.056667,-0.056667,
07/31/1994,177.904007,,,-133.431,,44.473007,,-43.058998,,,1.414,-0.459,,1.465,,0.0,,-1.006,0.955,0.128,1.083,0.0,,,1.083,0.0,1.083,0.0,,1.083,1.083,,151.665001,0.006667,0.006667,,151.665001,0.006667,0.006667,0.006667,
10/30/1994,148.811005,,,-115.110001,,33.701004,,-30.187,,,3.514,-0.751,,1.347,,0.0,,-0.596,2.763,-0.939,1.824,0.0,,,1.824,0.0,1.824,-0.276,,1.548,1.548,,90.063,0.02,0.02,,90.063,0.02,0.02,0.02,
01/29/1995,321.476013,,,-234.212006,,87.264007,,-84.627998,,,2.636,-4.679,,2.287,,0.0,,2.392,-2.043,-2.377,-4.42,0.0,,,-4.42,0.0,-4.42,-0.877,,-5.297,-5.297,,102.0,-0.043333,-0.043333,-0.043333,102.0,-0.043333,-0.043333,-0.043333,
04/30/1995,233.319,,,-175.623001,,57.695999,,-54.115002,,,3.581,-1.517,,1.862,,0.0,,-0.345,2.064,-2.407,-0.343,0.0,,,-0.343,0.0,-0.343,0.0,,-0.343,-0.343,,148.23,-0.002333,-0.002333,,148.23,-0.002333,-0.002333,-0.002333,
07/30/1995,233.376999,,,-176.072006,,57.304993,,-48.102001,,,9.203,-41.809998,,1.571,,0.0,,40.238998,-32.606998,17.122999,-15.484,0.0,,,-15.483999,0.0,-15.484,0.0,,-15.484,-15.484,,98.942001,-0.155,-0.155,,98.942001,-0.155,-0.155,-0.155,
10/29/1995,251.709,,,-188.917999,,62.791,,-52.626999,,,10.164,-7.974,,2.072,,0.0,,5.902,2.19,-1.46,0.73,0.0,,,0.73,0.0,0.73,-0.152,,0.578,0.578,,105.596001,0.005,0.005,,105.596001,0.005,0.005,0.005,
01/28/1996,449.651001,,,-319.205994,,130.445007,,-114.938004,,,15.507,-2.031,,3.429,,0.0,,-1.398,13.476,-3.815,9.661,0.0,,,9.661,0.0,9.661,-1.43,,8.231,8.231,,105.627998,0.145,0.145,0.145,105.627998,0.145,0.145,0.145,
