Date,Revenue,Sales & Services Revenue,Cost of Revenue,Gross Profit,Other Operating Income,Operating Expenses,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,1138.300049,,,,,-934.700012,,,,203.600006,16.700001,,14.5,,0.0,,-31.200001,220.300007,-80.099998,,,,140.199997,0.0,,,140.200008,,140.199997,0.0,,140.199997,140.199997,,502.613983,0.28,0.28,,502.613983,0.28,0.28,0.28,
06/30/1990,1179.400024,,,,,-951.900024,,,,227.5,19.499998,,15.6,,0.0,,-35.099998,246.999998,-91.099998,,,,155.899994,0.0,,,155.9,,155.899994,0.0,,155.899994,155.899994,,492.246002,0.316667,0.316667,,492.246002,0.316667,0.316667,0.316667,
09/30/1990,1175.0,,,,,-961.299988,,,,213.699997,13.100002,,21.299999,,0.0,,-34.400002,226.799999,-83.900002,,,,142.899994,0.0,,,142.899998,,142.899994,0.0,,142.899994,142.899994,,480.900009,0.296667,0.296667,,480.900009,0.296667,0.296667,0.296667,
12/31/1990,1124.300049,,,,,-961.0,,,,163.300003,17.999998,,26.6,,0.0,,-44.599998,181.300001,-64.199997,,,,117.099998,0.0,,,117.100004,,117.099998,0.0,,117.099998,117.099998,,469.503021,0.25,0.25,0.25,469.503021,0.25,0.25,0.25,
03/31/1991,1065.300049,,,,,-913.099976,,,,152.199997,7.0,,23.299999,,0.0,,-30.299999,159.199997,-59.200001,,,,100.0,0.0,,,99.999996,,100.0,0.0,,100.0,100.0,,459.548996,0.216667,0.216667,,459.548996,0.216667,0.216667,0.216667,
06/30/1991,1113.5,,,,,-908.799988,,,,204.699997,9.0,,24.5,,0.0,,-33.5,213.699997,-79.699997,,,,134.0,0.0,,,134.0,,134.0,0.0,,134.0,134.0,,447.755997,0.3,0.3,,447.755997,0.3,0.3,0.3,
09/30/1991,1167.599976,,,,,-925.400024,,,,242.199997,-4.299999,,25.5,,0.0,,-21.200001,237.899998,-87.599998,,,,150.300003,0.0,,,150.299999,,150.300003,0.0,,150.300003,150.300003,,436.779007,0.34,0.34,,436.779007,0.34,0.34,0.34,
12/31/1991,1104.900024,,,,,-912.0,,,,192.899994,-660.100012,,26.4,,0.0,,633.700012,-467.200018,112.599998,,,,-354.600006,0.0,,,-354.60002,,-354.600006,0.0,,-354.600006,-354.600006,,429.127488,-0.826667,-0.826667,-0.826667,429.127488,-0.826667,-0.826667,-0.826667,
03/31/1992,1098.199951,,,,,-885.5,,,,212.699997,-1.6,,28.6,,0.0,,-27.0,211.099997,-72.400002,,,,138.699997,0.0,,,138.699995,,138.699997,0.0,,138.699997,138.699997,,427.859985,0.323333,0.323333,,427.859985,0.323333,0.323333,0.323333,
06/30/1992,1146.900024,,,,,-916.900024,,,,230.0,-1.299999,,26.9,,0.0,,-25.6,228.700001,-83.699997,,,,145.0,0.0,,,145.000004,,145.0,0.0,,145.0,145.0,,425.078979,0.343333,0.343333,,425.078979,0.343333,0.343333,0.343333,
09/30/1992,1188.199951,,,,,-951.799988,,,,236.399994,-5.0,,26.9,,0.0,,-21.9,231.399994,-85.599998,,,,145.800003,0.0,,,145.799995,,145.800003,0.0,,145.800003,145.800003,,423.107986,0.343333,0.343333,,423.107986,0.343333,0.343333,0.343333,
12/31/1992,1173.300049,,,,,-965.900024,,,,207.399994,-3.300001,,26.6,,0.0,,-23.299999,204.099993,-75.900002,,,,128.199997,0.0,,,128.199991,,128.199997,0.0,,128.199997,128.199997,,421.471482,0.303333,0.303333,0.303333,421.471482,0.303333,0.303333,0.303333,
03/31/1993,1115.5,,,,,-921.900024,,,,193.600006,27.400002,,25.799999,,0.0,,-53.200001,221.000008,-82.099998,,,,138.899994,-223.300003,,,362.200012,,362.200012,0.0,,362.200012,362.200012,,420.449982,0.86,0.33,,420.449982,0.86,0.33,0.33,
06/30/1993,1170.400024,,,,,-979.599976,,,,190.800003,7.5,,24.4,,0.0,,-31.9,198.300003,-43.099998,,,,155.199997,0.0,,,155.200005,,155.199997,0.0,,155.199997,155.199997,,418.97699,0.37,0.37,,418.97699,0.37,0.37,0.37,
09/30/1993,1088.900024,,,,,-863.5,,,,225.399994,7.599998,,24.5,,0.0,,-32.099998,232.999992,-137.800003,,,,95.199997,0.0,,,95.199989,,95.199997,0.0,,95.199997,95.199997,,417.507019,0.23,0.23,,417.507019,0.23,0.23,0.23,
12/31/1993,1085.300049,,,,,-834.700012,,,,250.600006,-4.3,,23.9,,0.0,,-19.6,246.300006,-86.900002,,,,159.399994,0.0,,,159.400004,0.0,159.399994,0.0,,159.399994,159.399994,,416.039979,0.383333,0.383333,0.383333,416.039979,0.383333,0.383333,0.383333,
03/31/1994,1076.800049,,,,,-854.5,,,,222.300003,3.0,,23.700001,,0.0,,-26.700001,225.300003,-80.400002,,,,144.899994,0.0,,,144.900002,,144.899994,0.0,,144.899994,144.899994,,414.47699,0.35,0.35,,414.47699,0.35,0.35,0.35,
