Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2003,,,,,,,,,,,,,,,,,,,,,,,,,,1072,,,,,,,,,,,,148,,,,,,-148,,,,-148,,489,,,,,,,,,489,,,,,,,,,,,,,
03/31/2005,8403.0,1738.0,1738.0,0.0,998.0,998.0,,641.0,133.0,28.0,480.0,,735.0,,,,,4112.0,1839.0,2375.0,-536.0,567.0,,1885.0,1175.0,779,396.0,,,710.0,4291.0,,778.0,778.0,,,,139,,,,,,1882,,,,1882,2799.0,3300,,,,,1710.0,,,1710.0,5010,7809.0,0.0,352.0,,,,-263.0,-28.0,61.0,533.0,594.0,8403.0,
06/30/2005,7396.0,959.0,959.0,,955.0,955.0,,586.0,122.0,22.0,442.0,,707.0,,,,,3207.0,1756.0,2319.0,-563.0,543.0,,1890.0,1202.0,813,389.0,,,688.0,4189.0,,682.0,682.0,,,,140,,,,,,990,,,,990,1812.0,3253,,,,,1682.0,,,1682.0,4935,6747.0,,350.0,,,,-196.0,-28.0,126.0,523.0,649.0,7396.0,
09/30/2005,7340.0,401.0,401.0,,947.0,947.0,,625.0,140.0,24.0,461.0,,637.0,,,,,2610.0,1982.0,2839.0,-857.0,551.0,,2197.0,1435.0,1042,393.0,,,762.0,4730.0,,698.0,698.0,,,,181,,,,,,1053,,,,1053,1932.0,3315,,,,,1885.0,,,1885.0,5200,7132.0,,344.0,,,,-151.0,-134.0,59.0,149.0,208.0,7340.0,
12/31/2005,7445.0,390.0,390.0,,919.0,919.0,,650.0,119.0,27.0,504.0,,609.0,,,,,2568.0,2031.0,2506.0,-475.0,775.0,,2071.0,1430.0,949,481.0,,,641.0,4877.0,,811.0,811.0,,,,155,,,,,,1047,,,,1047,2013.0,3282,,,,,1851.0,,,1851.0,5133,7146.0,,337.0,,,,24.0,-126.0,235.0,64.0,299.0,7445.0,
03/31/2006,7521.0,312.0,312.0,0.0,1000.0,1000.0,,678.0,137.0,28.0,513.0,,694.0,,,,,2684.0,2035.0,2535.0,-500.0,793.0,,2009.0,1415.0,928,487.0,,,594.0,4837.0,,750.0,750.0,,,,212,,,,,,1023,,,,1023,1985.0,3306,,,,,1823.0,,,1823.0,5129,7114.0,0.0,343.0,,,,132.0,-133.0,342.0,65.0,407.0,7521.0,
06/30/2006,7568.0,354.0,354.0,0.0,997.0,997.0,,655.0,146.0,30.0,479.0,,704.0,,,,,2710.0,2082.0,2632.0,-550.0,815.0,,1961.0,1394.0,906,488.0,,,567.0,4858.0,,744.0,744.0,,,,174,,,,,,980,,,,980,1898.0,3320,,,,,1864.0,,,1864.0,5184,7082.0,0.0,348.0,,,0.0,226.0,-156.0,418.0,68.0,486.0,7568.0,
09/30/2006,7626.0,513.0,513.0,,987.0,987.0,,639.0,126.0,33.0,480.0,,701.0,,,,,2840.0,2085.0,2667.0,-582.0,787.0,,1914.0,1345.0,876,469.0,,,569.0,4786.0,,741.0,741.0,,,,205,,,,,,1001,,,,1001,1947.0,3244,,,,,1819.0,,,1819.0,5063,7010.0,,356.0,,,,326.0,-136.0,546.0,70.0,616.0,7626.0,
12/31/2006,7895.0,791.0,791.0,,1001.0,1001.0,,653.0,120.0,33.0,500.0,0.0,666.0,,,,,3111.0,2155.0,2842.0,-687.0,763.0,,1866.0,1338.0,875,463.0,,,528.0,4784.0,,823.0,823.0,,,,309,,,,,,1084,,,,1084,2216.0,3189,,,,,1629.0,,,1629.0,4818,7034.0,0.0,362.0,,,0.0,394.0,31.0,787.0,74.0,861.0,7895.0,
03/31/2007,7887.0,1115.0,1115.0,0.0,910.0,910.0,,584.0,135.0,24.0,425.0,0.0,628.0,,,,,3237.0,2047.0,2727.0,-680.0,733.0,,1870.0,1320.0,869,451.0,,,550.0,4650.0,,731.0,731.0,,,,184,,,,,,826,,,,826,1741.0,3305,,,,,1857.0,,,1857.0,5162,6903.0,0.0,388.0,,,0.0,600.0,-9.0,979.0,5.0,984.0,7887.0,
